date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,2335686,500,2195513,-1761.0,18803.0,529749,57636,-146140,644863,134134,442960,220901,-144379,35505,,,,211221,30000,18453,265947,22827,374894,966306,2013年03月31日,1317053,,3405044,3316831,0,878460,1951959,1866051,1665778,0,,821261.0,192612.0,325061,966306,,,3123972.0,301152,,301152.0,,,6529016.0,,436897,13623,65206,715430,88213,1172013,4662965,73041,0
2013-08-07,2,2013,2380881,500,1589297,-2404.0,18160.0,1425310,43067,-163446,637729,149000,443242,232900,-161042,31556,96631.0,,,240906,22000,17926,243193,19084,357706,966306,2013年06月30日,474450,,2774811,2693309,0,966306,2809894,1866189,1671398,148541,,629820.0,114615.0,351408,1062937,,,3799922.0,204521,,204521.0,,,6574733.0,,649630,11010,65159,535776,81502,990028,4708544,82679,0
2013-11-07,3,2013,2484153,500,1805717,-2725.0,17839.0,600777,35248,-193893,291389,132735,438979,282151,-191168,31710,,,1392922.0,222631,39000,22746,199174,25046,354830,1062937,2013年09月30日,690870,,3063652,2982581,0,966306,1363511,1614213,1645350,148541,,865955.0,66818.0,111000,1062937,,,3382104.0,307820,,204521.0,103299.0,,6445756.0,9150.0,245555,978,64559,185714,81071,2018593,4831543,60951,0
2014-03-17,4,2013,2614414,500,2159216,-2967.0,17597.0,726383,34750,-216432,363937,213221,439113,281659,-213465,39216,,,1398362.0,259232,19000,15432,253720,12364,332411,1062937,2013年12月31日,1044369,,3394895,3313541,0,966306,1636596,2102343,1654541,148541,,886326.0,129364.0,115500,1062937,,,3645958.0,307820,,204521.0,103299.0,,7040853.0,7748.0,583919,458,54985,171429,81354,2009362,4938510,61230,0
2014-05-07,1,2014,2870212,500,2455936,-4413.0,16151.0,613140,32407,-162330,352911,198920,443200,304274,-157917,36556,,,1403823.0,236315,23400,26396,224061,20008,345492,1062937,2014年03月31日,1341089,,3745141,3664363,0,966306,1566914,2056509,1686165,148541,803361.0,,191404.0,118000,1062937,,,3571602.0,307820,,204521.0,103299.0,,7316743.0,5348.0,625152,522,53591,157143,80778,2004688,5260234,99893,0
2014-07-31,2,2014,2990193,500,1800339,-4092.0,16472.0,1497242,30302,-193316,350869,112992,443405,305055,-189224,36652,106294.0,0.0,1409306.0,277033,24000,24223,213611,25170,342777,1062937,2014年06月30日,520970,,3063137,2977780,0,1062937,2412509,2128977,1650847,216432,816568.0,,121394.0,113000,1169231,,,4408599.0,201526,,98227.0,103299.0,,7471736.0,4748.0,772265,522,53387,142857,85357,1996090,5342759,104945,0
2014-11-05,3,2014,3147050,500,2023168,-4172.0,16392.0,557759,28553,-177518,337793,68977,437953,302667,-173346,40084,,0.0,1414810.0,269488,183000,21718,216240,11535,322442,1169231,2014年09月30日,743799,,3305945,3216407,0,1062937,1730251,1517716,1676385,216432,748717.0,,53595.0,302000,1169231,,,3713642.0,201526,,98227.0,103299.0,,7019587.0,4898.0,285093,2057,52827,128571,89538,1983391,5501871,102125,0
2015-03-25,4,2014,3190847,500,2396930,2739.0,23303.0,644992,126336,-121914,442406,140035,443622,300923,-124653,44265,,0.0,1420336.0,293032,40000,9701,236004,10957,305929,1169231,2014年12月31日,1117561,,3742004,3645773,0,1062937,1623472,1751686,1738032,216432,730177.0,,115293.0,76000,1169231,,,3602128.0,201526,,98227.0,103299.0,,7344132.0,2048.0,351455,412,56215,114286,96231,1978656,5592446,89154,0
2015-04-29,1,2015,3300792,500,2696212,0.0,0.0,522635,123100,-119494,395329,191290,439518,301215,-119494,61215,,0.0,1425883.0,290396,42500,21923,249332,5771,300118,1169231,2015年03月31日,1416843,182150.0,4045609,3947475,0,1062937,1530681,1862866,1715933,216432,,610427.0,,74000,1169231,7542103.0,3496494.0,,201526,,98227.0,103299.0,7542103.0,,1748.0,535481,412,60679,100000,98134,1965813,5679237,86250,0
2015-08-06,2,2015,3262709,500,1871620,0.0,0.0,1677819,37529,-166273,352859,155973,436180,299607,-166273,55545,98227.0,0.0,1431452.0,270042,35500,9664,219292,11586,289971,1169231,2015年06月30日,580476,125033.0,3179926,3076104,0,1169230,2556015,2087904,1689255,121914,,615192.0,,76000,1267458,7689699.0,4509773.0,,103299,,0.0,103299.0,7689699.0,,9098.0,911901,412,59753,85714,103822,1953758,5601795,80886,0
