date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,商標權淨額,商譽,存入保證金,存出保證金,存貨合計,專門技術淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,長期遞延收入,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-23,1,2013,,,7280,799966,26550,748142,150583,17179,-2252,46107,38827,3776,,,,,47713,,127349,,8000,30570,4292,412114,,0.0,,,,,230138,1843,276688,326110,,110,49422,17143.0,8355,628213,2013年03月31日,472876,,,1402413,1386372,0,275266,883850,1373215,,9074,,78453.0,0.0,,495663.0,70065.0,186.0,287346,628213,,97768,,974203.0,12269,,2376616.0,,,19096,32107,23544.0,120557,120557,,1074,16041,90353,1003401,,39624,2500,,,0
2013-08-08,2,2013,,,7271,809769,26550,542201,490788,17576,-2030,32395,25124,5473,,,,,47290,,126434,,8000,30749,4224,437353,,,21987.0,,,,297257,1506,358737,411026,,36,52289,16541.0,8329,628213,2013年06月30日,229365,,,1214562,1202640,0,312836,1196672,1471593,,23377,,40981.0,0.0,,532641.0,47457.0,180.0,218026,650200,,109243,,1284574.0,12269,,2499136.0,,,18890,33084,21722.0,117227,117227,,15377,11922,87902,1027543,2981.0,26327,2002,,,0
2013-10-29,3,2013,,,7248,819438,49531,679222,153153,16359,-3760,20608,13360,3419,,,,,45482,,112843,,8000,29570,4251,499642,,,,,,,233807,1687,389876,443904,,178,54028,15912.0,8304,650200,2013年09月30日,366386,,,1349209,1337931,0,312836,1015913,1394698,,22810,,42459.0,0.0,,358830.0,36173.0,660.0,433524,650200,,136961,,1098583.0,12269,,2447792.0,,,17293,40168,19895.0,108294,108294,,14810,11278,82670,1053094,,29247,298,,,0
2014-03-04,4,2013,,,550,851939,35341,830294,209445,12239,-3108,27313,26763,8061,,,,,44964,,106343,,8000,29805,4781,475775,,,,,,,227615,1280,376623,432876,,27,56253,15159.0,8278,650200,2013年12月31日,517458,,,1499869,1489655,0,312836,907684,1410723,,23258,,37451.0,0.0,,423435.0,71163.0,190.0,260391,650200,,110477,,971524.0,12269,,2471393.0,,,18784,35511,92.0,101298,101298,,15258,10214,63840,1060670,,20669,264,,,0
2014-05-06,1,2014,,,517,874287,35341,983532,183992,14354,-4579,41638,41121,2791,,,,,44982,,104549,,14065,30470,4707,536656,,,,0.0,,,258313,2381,441920,501632,20.0,20,59712,14512.0,8252,650200,2014年03月31日,670696,,,1667863,1641422,0,312836,853094,1498157,,30478,,34041.0,,381224.0,,102197.0,145.0,150125,650200,,114448,,917446.0,12269,,2585309.0,,,19370,34245,0.0,99590,99590,,16413,26441,64352,1087152,,27294,252,,,0
2014-07-31,2,2014,,,375,883098,35341,695221,648576,12914,-5281,34364,33989,2931,,,,,43835,,91458,,14065,29865,5044,525259,,,3251.0,0.0,,,216677,1906,413163,473626,79.0,79,60463,13970.0,8226,650200,2014年06月30日,328529,,,1381634,1355660,0,363584,1142638,1500629,,30771,,32865.0,3108.0,427319.0,,69897.0,515.0,72241,653451,,98977,,1203767.0,12269,,2585401.0,,,17294,35878,0.0,85304,85304,,16706,25974,61129,1084772,0.0,25121,1110,,,0
2014-11-04,3,2014,,,234,945610,39841,826426,155952,14494,-3428,32769,32535,3589,,,,,43873,,80219,,14065,30420,5021,543276,,,0,0,,804798,201683,601,435001,496731,151,151,61730,13453,8201,653451,2014年09月30日,459734,,,1562810,1532136,0,363584,918811,2213836,,30367,,479521,3108,648705,,35657,144,405444,653451,,86705,,1786689,55687,,3349499,,425,19207,31000,0,72988,72988,,16302,30674,867878,1135663,0,27225,2210,,,0
2015-03-10,4,2014,,,91,1030902,30891,962465,181287,13451,-1792,27955,27864,9564,,,,,45492,,70354,,14065,31650,5390,511441,,,,0.0,,808716.0,216552,823,434943,495136,,86,60193,13842.0,8175,653451,2014年12月31日,595773,,,1702559,1669811,0,363584,651992,2029089,,29826,,480755.0,3108.0,491040.0,,50536.0,147.0,115306,653451,,59533,,1527460.0,55687,,3230019.0,,170.0,21260,30612,0.0,61319,61319,,15761,32748,875468,1200930,,27469,3645,,,0
2015-05-05,1,2015,,,0,1123110,30891,1072075,160700,19118,-1976,35099,35099,11478,,,,,35149,,69859,,14065,21910,5421,526751,,,,0.0,,812634.0,236080,1645,494649,550526,166.0,166,55877,,8150,653451,2015年03月31日,705383,78730.0,144.0,1814035,1779237,0,363584,683057,2058934,13239.0,30383,274024.0,,3108.0,,644240.0,,,111438,653451,3362895.0,59365,1548860.0,,55687,3362895.0,,,255.0,18020,41313,,64295,64295,,16318,34798,865803,1303961,,32487,143,,,0
2015-08-04,2,2015,,,412,1160274,30891,715981,690832,16180,-4188,46382,45970,7200,,,,,34275,,62529,,14065,21602,5473,551457,,,22871,0,816552,816552,207289,1544,502545,551147,23,23,48602,,8124,653451,2015年06月30日,292593,60608,132,1480033,1443802,0,421596,1184918,2195212,12673,29575,310302,,1792,,727441,,,114325,676322,3534656,63938,2054623,,55687,3534656,,,170,17300,47881,1578,55908,55908,,15510,36231,869705,1339444,,31330,1148,,,0
2015-11-05,3,2015,,,375,1180432,80891,919830,159416,26212,-777,30215,29840,6018,,,,,35116,,54972,,14065,23009,5732,627783,,,,,,820523.0,248161,2381,550872,592076,161.0,161,41204,,8098,676322,2015年09月30日,496442,48288.0,140.0,1687640,1651062,0,421596,1082530,2245195,12107.0,28899,303077.0,,1792.0,,649870.0,,,500102,676322,3651302.0,93967,1963662.0,,55687,3651302.0,,,255.0,24148,52560,1345.0,48892,48892,,14834,36578,881132,1406107,,39858,348,,,0
2016-03-10,4,2015,,,385,1253347,80891,1063717,189178,13316,-6510,33877,33492,14240,,,,,37211,,48196,,14065,22978,5678,629641,,,,0.0,,824518.0,223743,2525,508028,543228,,54,35200,,8073,676322,2015年12月31日,640329,79623.0,1282.0,1824934,1789216,0,421596,953232,2178695,14233.0,28403,302278.0,,1792.0,,643507.0,,,329653,676322,3661976.0,94633,1837042.0,,55687,3661976.0,,,85.0,20799,64286,1282.0,41804,41804,,14338,35718,883810,1483281,,31149,714,,,0
2016-05-05,1,2016,,,414,1290098,80891,1181770,171046,25152,-5616,70894,70480,5298,,,,,36316,,51809,,14065,22706,6422,668271,,,,,,828512.0,266874,1423,513813,548591,,0,34778,,57897,676322,2016年03月31日,758382,102900.0,1279.0,1947413,1908163,0,421596,812012,2071674,13610.0,27696,301830.0,,1792.0,,479821.0,,,109640,676322,3642861.0,89235,1695448.0,,55687,3642861.0,,,85.0,17332,62711,1276.0,44619,44619,,13631,39250,883436,1571187,,41432,768,,,0
2016-07-25,2,2016,,,402,1413181,87075,809821,733398,16031,-7954,34952,34550,4542,,,,,29384,,58499,,14065,16314,7006,613167,,,16908.0,,,832507.0,232289,895,518787,550817,,0,32030,,57764,676322,2016年06月30日,320067,69232.0,1491.0,1595631,1550784,0,483244,1290104,2058484,13070.0,26988,147493.0,,6510.0,,676771.0,,,113599,693230,3766074.0,105739,2170443.0,,55687,3766074.0,,,0.0,17310,64083,1138.0,39433,39433,,12923,44847,880339,1707590,,48172,12060,,,0
2016-11-11,3,2016,836556,138363,974919,1496180,87075,897450,283117,17545,-24663,1243209,157154,46548,9274,648741,37274,29991,148996,2395,85459,630336,1659100,15856,8501,814866,199920,,,,,0,391538,2451,740607,769367,,0,28760,,57645,693230,2016年09月30日,407696,33972,1487,1668074,1621743,0,483244,4115404,2284832,12530,3154651,35295,,6510,,542108,,,2057100,693230,7357822,104017,5689748,,55726,7357822,,85,0,17293,191980,1408055,33360,33360,118215,16554,46331,1574344,5072990,,57531,13607,111136,111136,0
