date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收所得稅退稅款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,934725,827791,-175620,124391,158836,69862,-35292,,947693,12968,3594,431,20560,98590,1946,34505,,-35292.0,132,6859,717640,0.0,0.0,,,,173360,14016,,0.0,275130,48346,,219,20428.0,153292,1368073,2013年03月31日,-196560,,,1321194,1318566,0,0.0,1700641,1953576,,431,,20940,,643265.0,,259.0,441181,1368073,,,1746632.0,161405,,3067826.0,,426.0,7005,34146,18000,43628,2628,45991,1114250,36425,1920,46157,0
2013-08-14,2,2013,820000,822168,-197965,142660,142879,70774,-23848,-23848.0,831464,11464,2295,2920,21376,132813,2119,35633,,0.0,132,18168,949697,0.0,0.0,,,,185587,21732,,0.0,306477,51718,,1661,21244.0,151678,1368073,2013年06月30日,-218905,,,1315026,1307665,0,0.0,1800603,2010228,,2920,,20940,,446900.0,,263.0,619160,1368073,,,1841696.0,161405,,3156722.0,,282.0,7435,36915,12000,43402,7361,41093,1146494,37564,1931,69124,0
2013-11-14,3,2013,18000,838810,-239175,126305,175526,106152,-62275,-62275.0,29250,11250,1473,18798,21059,133740,1761,58156,,,132,12272,749724,,0.0,,,,170834,30499,,0.0,447572,24295,,471,20927.0,147581,1368073,2013年09月30日,-260115,,,1235072,1228028,0,0.0,1025732,1900958,,18798,,20940,,335649.0,,36.0,668675,1368073,,,1846929.0,161405,,3082001.0,169.0,0.0,7728,42114,792410,42304,7044,821197,1181043,60060,1904,77403,0
2014-03-18,4,2013,12000,903075,-221155,147089,193623,83846,-54716,-54716.0,19216,7216,1896,21093,17852,99579,5520,42924,,,138,19452,729665,,0.0,,,,141689,10112,,0.0,312492,68144,50.0,10252,17714.0,104551,1368073,2013年12月31日,-242095,,,1265678,1253607,0,0.0,924217,1850887,,21093,,20940,,406076.0,2695.0,50.0,603327,1368073,,,1749021.0,161405,,3014699.0,89.0,0.0,8224,35514,798728,42159,12071,824804,1163812,44843,1919,32448,0
2014-05-15,1,2014,18000,896805,-73720,98893,150976,91196,-17436,-17436.0,37465,19465,1361,21135,18769,118904,4902,63974,,,132,14081,765422,,,0.0,,,113319,47623,,,317754,61259,,10045,18637.0,370256,1368073,2014年03月31日,-94660,,,1461021,1438322,0,,980629,1863247,,21135,,20940,399245.0,,2254.0,53.0,681010,1368073,,,1846065.0,161405,,3307086.0,65.0,0.0,73702,36739,772965,42610,22699,865436,1443839,65936,1962,57311,0
2014-08-14,2,2014,12000,885299,-130608,90543,127591,89360,-48806,-48806.0,28020,16020,2084,20433,18140,123221,5274,59398,,,132,22801,806453,,,0.0,,,123019,66195,,,345678,54872,,19854,18008.0,347930,1368073,2014年06月30日,-151548,,,1373347,1350064,0,,996211,1808741,,20433,,20940,301123.0,,177.0,405.0,688257,1368073,,,1848717.0,161405,,3222064.0,0.0,0.0,68939,36440,765427,41283,23283,852506,1413323,61321,1923,53863,0
2014-11-14,3,2014,0,872313,-134002,89699,136478,91548,-20929,-20929,38261,38261,4127,20402,18588,144071,3713,74798,,,132,23416,716103,,,0,,,123989,31914,,,485250,43678,,6573,18456,346431,1368073,2014年09月30日,-154942,,,1395306,1374547,0,,1036782,1877939,,20402,,20940,316505,,15,921,752904,1368073,,,1896927,161405,,3292233,0,,69664,31077,771893,41561,20759,860145,1414294,76756,1958,75381,0
2015-03-26,4,2014,112056,910506,-169054,74615,117975,105868,39460,39460.0,123037,10981,4178,20742,17656,132204,3254,63503,,,132,24003,709851,,0.0,0.0,,,132320,32256,,0.0,354448,64412,70.0,1139,17524.0,352309,1438073,2014年12月31日,-189994,,,1623222,1610441,0,,984127,1922235,,20742,,20940,498753.0,,1500.0,70.0,620399,1438073,,,1747494.0,301962,,3370716.0,0.0,0.0,71544,32720,674167,42732,12781,763367,1448481,65541,2038,62215,0
2015-05-12,1,2015,112056,893353,-196830,77660,83418,92937,11563,11563.0,126383,14327,5538,20186,13781,127514,3576,63085,,,145,13258,713032,,,0.0,,,106601,33536,,,278393,73644,,1262,,348668,1438073,2015年03月31日,-217770,0.0,118.0,1564331,1554768,0,,979861,1879168,13636.0,20186,,20940,,565726.0,,,635681,1438073,3301300.0,1736969.0,,301962,3301300.0,,0.0,,73238,32411,670089,41755,9563,757108,1422132,65100,2015,68925,0
2015-08-11,2,2015,112056,877048,-221036,70862,81456,90454,-10845,-10845.0,125749,13693,7621,19640,13784,145967,2537,83811,,,145,22381,734595,,,0.0,,,103204,41575,,,279645,76292,,4043,,344091,1438073,2015年06月30日,-241976,0.0,361.0,1510308,1506595,0,,1048578,1833954,13639.0,19640,,20940,,473635.0,,,707188,1438073,3252205.0,1741897.0,,300403,3252205.0,,0.0,,70600,31505,608935,42065,3713,693319,1418251,85852,2041,78984,0
