date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,544672,102837,55110,12321,407,1546,1546.0,1746,1746.0,18,0.0,63862,35773,407.0,407,18,2420,307881,307881.0,,,138732,67329,393392,346.0,788000,2013年03月31日,6220,,892608,892608,0,96617,613301,757428,128654,,9404.0,1756.0,348300,788000,,528,19133,,634316.0,1364,1364,,1526924.0,1864,32308,,0.0,21015,769496,32338,25669,0
2013-08-12,2,2013,,547395,124352,47506,17261,688,812,812.0,1745,1745.0,18,0.0,61727,34956,688.0,688,18,2420,301542,301542.0,0.0,,128979,135901,597974,230.0,788000,2013年06月30日,27735,,914404,914404,0,96617,786971,956972,124993,,14449.0,4302.0,468750,788000,,721,19952,,808553.0,1364,1364,,1722957.0,1612,31870,,0.0,21582,765985,23771,24351,0
2013-11-11,3,2013,,562669,109250,61604,18770,448,4545,4545.0,1687,1687.0,18,0.0,42662,34398,448.0,448,18,1854,338731,338731.0,0.0,,208544,141142,610124,349.0,788000,2013年09月30日,12633,,899062,899062,0,96617,842386,1003714,121400,,12910.0,0.0,425800,788000,,751,20813,,863919.0,1364,1364,,1762981.0,702,32536,,0.0,21533,759267,21143,6410,0
2014-03-24,4,2013,,536023,86727,57957,17557,278,8366,,3712,,18,0.0,45843,33869,,278,18,1738,387134,,,,221349,148585,587179,76.0,788000,2013年12月31日,-9890,,876369,876369,0,96617,890482,1041487,117965,,23277.0,58.0,453400,788000,,767,20764,,912994.0,1364,1364,,1789363.0,1730,48045,,,22512,747876,22552,10236,0
2014-05-12,1,2014,,547534,126059,58397,17677,1310,11619,,2860,,18,,39813,33034,,1310,18,2622,352129,,0.0,0.0,212576,171985,774040,16.0,788000,2014年03月31日,29442,,916733,916733,0,96617,991313,1190208,114580,15080.0,,58.0,535800,788000,,878,22440,,1016483.0,1364,1364,,1933216.0,2712,41081,,0.0,25170,743008,28406,4157,0
2014-08-12,2,2014,,537433,135593,66393,18558,-732,20656,20656.0,4434,4434.0,18,,40819,32517,-732.0,-732,18,3647,421912,,0.0,0.0,215468,258330,821704,25.0,788000,2014年06月30日,38976,,924225,924225,0,96617,1095551,1315073,111022,17477.0,,58.0,533700,788000,,946,22863,,1119040.0,1364,1364,,2043265.0,608,38918,,0.0,23489,728192,30963,4655,0
2014-11-11,3,2014,,526394,184206,69411,21106,916,2137,,3509,,18,,40120,33911,,916,18,3930,419601,,,0.0,193709,275557,901351,0.0,788000,2014年09月30日,87589,,974486,974486,0,96617,1079815,1376723,107800,11845.0,,601.0,538400,788000,,0,25041,,1108116.0,1364,1364,,2082602.0,3242,31565,,0.0,28301,705879,19311,2279,0
2015-03-23,4,2014,,521274,246537,79430,23588,4533,6135,,729,,18,0.0,37395,32061,,4533,18,3930,403170,,,0.0,178527,232275,941909,0.0,788000,2014年12月31日,149920,,1040434,1040434,0,96617,1025984,1412771,104758,23946.0,,0.0,528170,788000,,1447,23817,,1057175.0,1364,1364,,2097609.0,7356,21411,,,31191,684838,19429,1404,0
2015-05-11,1,2015,,514043,280311,73872,18495,3620,9918,,2829,,18,,38129,31027,,3620,18,3930,415732,,0.0,,190482,206128,882663,0.0,788000,2015年03月31日,183694,12574.0,1073295,1073295,0,96617,934523,1358234,101195,,18685.0,,440040,788000,2031714.0,1509,23101,958419.0,,1364,1364,2031714.0,,777,20113,,0.0,23896,673480,19830,3172,0
2015-08-11,2,2015,,507094,185408,214987,17378,2243,11247,,1174,1174.0,18,,37374,30033,2243.0,2243,18,3930,431790,,0.0,0.0,204209,221628,837543,721.0,788000,2015年06月30日,73799,16734.0,977015,977015,0,111609,1029131,1374160,97641,,58370.0,,358800,788000,2031105.0,1526,24464,1054090.0,,1364,1364,2031105.0,,477,14836,,0.0,24959,656945,27184,3411,0
