date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,天然資源淨額,存貨合計,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,3012181,139462,593721,1338282,2237332,,205919,4465,1338282,265104,575089,255193,44546,,,115764.0,487424,,1467248,916561,149932,575273,1339796,165093,773671,317473,153889,,1350000,2013年03月31日,414982,,3952418,3829485,0,178739,5164000,5133832,31583,,,962686.0,73963.0,1510000,1350000,,,6762282.0,547482,22482.0,,525000,,,10714700.0,152635,,1190454,122933,1598282,5580868,354246,0
2013-08-12,2,2013,3095269,139462,576874,1258818,2132327,,535304,4640,1258818,348048,564692,255552,29837,29837.0,,115504.0,551747,,1682002,802773,149885,856452,1511693,797492,948743,530013,253296,,1350000,2013年06月30日,369274,,3861876,3733174,0,207600,6228786,5998292,30184,,,558614.0,84322.0,1770000,1350000,,,7678999.0,547482,22482.0,,525000,,,11540875.0,127418,,1067243,128702,1450213,5542583,277362,0
2013-11-14,3,2013,3245811,139462,893999,1493303,2385932,,350347,6709,1493303,271766,555567,255982,29985,29985.0,,115096.0,440778,,1856522,1413781,199985,909685,1311439,693685,287759,551553,981739,,1350000,2013年09月30日,686399,,4420274,4284784,0,207600,7117586,6782927,27931,,,1703074.0,95500.0,2020000,1350000,,,8306870.0,547482,22482.0,,525000,,,12727144.0,145557,,787745,135490,1189284,5944217,250624,0
2014-03-17,4,2013,3223972,139462,1242699,1542322,2703887,,396830,10628,1542322,282919,558180,257129,35383,35383.0,,0.0,405606,,1942755,950433,199740,1153143,1486842,1184286,405894,622316,85814,,1350000,2013年12月31日,1035099,,4824446,4682503,0,207600,7132802,6823789,143300,,,1883180.0,156982.0,2050000,1350000,,,8245347.0,547482,22482.0,,525000,,,13069793.0,136723,,718693,141943,1112545,6246004,181043,0
2014-05-14,1,2014,3247614,139462,1446072,1388707,2794462,0.0,240899,16023,1388695,269899,541335,270090,101475,,-12.0,,411453,0.0,2170167,1206778,269826,590393,1454833,724721,528684,355184,533625,,1350000,2014年03月31日,1238472,,5038527,4705222,0,207600,6921018,6664377,141377,,1882792.0,,203056.0,1970000,1350000,,,8050240.0,520455,0.0,,520455,,,13088767.0,165549,,693583,333305,1129222,6424390,215727,0
2014-08-12,2,2014,3207507,210280,742214,1525378,2939724,0.0,1196131,9773,1525208,157363,539842,271864,36903,,-170.0,,399912,0.0,2312102,1518834,199862,699018,1492360,935546,580591,252204,197406,,1350000,2014年06月30日,431104,,5148189,4217867,0,311110,7227403,7247336,146194,,2639481.0,,74093.0,1070000,1350000,,,8639755.0,600445,0.0,,520455,79990.0,,13787944.0,172119,,968369,930322,1412352,6540608,200221,0
2014-11-13,3,2014,3172078,210280,1156385,1229018,2586095,0.0,364725,10203,1229133,66742,511339,272415,32202,,115.0,,386492,0.0,2321995,890703,59963,717616,1488412,900767,588521,241505,425320,,1350000,2014年09月30日,845275,,5353061,4352887,0,311110,5273669,6179729,146096,,1420076.0,,31925.0,820000,1350000,,,6973419.0,617369,0.0,18858.0,520455,78056.0,,12326480.0,120974,,1306361,1000174,1699750,6146751,207094,0
2015-03-24,4,2014,3298308,210280,1446479,1218381,2557299,0.0,457194,7671,1218938,60877,424637,279375,91327,,557.0,,330578,0.0,2514833,610944,29982,670664,1444015,1200613,630668,264376,447447,45696.0,1350000,2014年12月31日,1135369,,5690041,4632786,0,311110,4925530,6182178,144706,,1265487.0,,81036.0,500000,1350000,,,6839753.0,617369,0.0,18858.0,520455,78056.0,,12529794.0,117443,,1517405,1057255,1914223,6347616,166686,0
2015-05-13,1,2015,3283157,210280,1579888,1225629,2608419,0.0,235805,7189,1224088,90130,367378,289349,87172,,-1541.0,,316237,0.0,2261815,810749,19998,365505,1806546,1218588,450928,146054,448449,41033.0,1350000,2015年03月31日,1268778,114698.0,5862225,4771345,0,311110,4398700,5841006,144681,,,914610.0,,500000,1350000,12215748.0,6353523.0,,617369,0.0,18858.0,520455,78056.0,12215748.0,,159116,,1506358,1090880,1954823,6374742,165027,0
2015-08-12,2,2015,3236989,210280,663840,1307450,2685189,0.0,1354720,4536,1302990,112707,304328,292090,86653,,-4460.0,,326199,0.0,2172762,849896,49981,346960,1540607,1054436,506735,179394,97736,40301.0,1350000,2015年06月30日,239651,64507.0,4915814,3934199,0,424189,5451533,6042248,221354,,,1896898.0,,500000,1350000,12523014.0,7607200.0,,617369,0.0,18858.0,520455,78056.0,12523014.0,,152697,,1710880,981615,2155667,6480766,131379,0
