date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－其他設備,累計減損－待出售非流動資產,累計減損－房屋及建築,累計減損－機器設備,累計減損－辦公設備,累計減損－運輸設備,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
1923-05-09,1,2013,1396829,820.0,313594,,1506948,168748,2756,372367,81854,22742,69154,158732,1074,364,384104,61514,58608,30959,7988,-99594,625776,625776,3892,22971,1052836,0.0,,,,291467,91435,0.0,2071,645647,583.0,121221,0.0,54716.0,772651,406904,316194,399253,3241511,2013年03月31日,772711,24856,,2011609,271190,5016770,4997058,0,608228,701271,2971254,,0,,0.0,0.0,,126009.0,,877799.0,6400.0,69312,322590,365747,1722457,20817,9049,0.0,,0.0,17962,0.0,0.0,3241511,,,,830176.0,179445,,5846946.0,25169,4352,217661,11286,2237,40297,46496,30000.0,19712,128905,2875692,28825,157658,0
1923-08-08,2,2013,1413057,820.0,312617,,1421025,153965,2543,373288,154328,6762,19668,145497,1029,342,383296,57650,58720,33586,8728,-134297,639745,639745,3892,24858,959148,0.0,,,,374078,70991,0.0,2462,650814,844.0,126737,0.0,54828.0,774635,403878,316814,378586,3241511,2013年06月30日,612702,46221,,2001921,259503,4879973,4861649,0,615494,828341,2960238,,0,,0.0,0.0,,192829.0,,982484.0,1857.0,79128,325646,370757,1724809,21070,9251,0.0,,0.0,17609,0.0,0.0,3241511,,,,958696.0,179445,,5838669.0,25095,4025,204805,11286,2035,41635,50483,30000.0,18324,130355,2878431,24939,144468,0
2013-11-07,3,2013,1348812,820.0,333456,,1449685,178087,2518,402714,92644,22299,24528,141225,948,304,383809,54090,58834,25597,7028,-153559,639736,639736,3892,18569,788472,,,,,298728,70691,0.0,9684,735658,1143.0,91303,0.0,54942.0,775240,399461,362065,373185,3241511,2013年09月30日,641362,1514,,2002669,248575,4911827,4895169,0,615494,681123,2828923,,0,,0.0,0.0,,192829.0,,928336.0,287.0,67864,329719,375779,1736829,21544,9453,,,,17265,,,3241511,,,,814026.0,179445,,5725853.0,25147,3603,214291,11286,1833,44069,51101,30000.0,16658,132903,2896930,43779,140277,0
2014-03-27,4,2013,1220541,0.0,316123,,1449280,193693,2603,417216,98876,17427,39514,133309,1966,1031,373309,48571,74935,30241,13063,-154179,553275,553275,2652,17178,867603,,136206.0,92611.0,,333351,92066,0.0,796,703146,0.0,83587,0.0,72283.0,728113,377316,247811,317212,3241511,2013年12月31日,640957,917,,1920086,235689,4923537,4909750,0,615494,730577,3190753,,0,,0.0,0.0,,192829.0,,1158447.0,2510.0,69669,324738,350797,1672656,20485,9656,,43595.0,,11741,,,3241511,,,,867173.0,179445,,5790710.0,23573,3088,241238,11341,1685,31661,50813,30000.0,13787,136596,2599957,23060,131343,0
2014-05-08,1,2014,1200803,0.0,321810,,1541576,157907,3026,376417,87605,16528,10026,152503,2190,1537,372994,45025,75249,181007,156293,-147881,553275,553275,2729,24714,804072,0.0,,91632.0,0.0,414388,2008,0.0,360,763805,0.0,89882,0.0,72520.0,729890,374343,248005,323056,3241511,2014年03月31日,733253,917,,1920411,224066,4985815,4972558,0,615494,734652,3162252,,0,,0.0,0.0,,192829.0,1094588.0,,2609.0,75179,327969,355547,1684927,20785,7906,0.0,,0.0,11418,0.0,0.0,3241511,,,,872092.0,179445,,5857907.0,23573,2788,257391,8295,389,32191,44557,30000.0,13257,137440,2695655,39791,150313,0
2014-08-07,2,2014,1191373,0.0,408667,,1370597,164410,2962,379537,342893,194248,7402,144231,1976,1061,376728,45149,75364,184247,167353,-157008,553275,553275,2729,16894,798797,0.0,,0.0,0.0,251081,1623,0.0,231,581304,0.0,114549,0.0,72635.0,729890,369569,249146,316804,3241511,2014年06月30日,749966,6912,,1921516,213457,4819740,4798955,0,620631,851133,3011921,,67,,0.0,0.0,,0.0,1039482.0,,5508.0,105566,331579,360321,1696965,21089,7948,0.0,,0.0,11094,0.0,0.0,3241511,,,,958571.0,179445,,5778311.0,23753,2664,243669,8295,347,32074,36549,0.0,20785,107438,2766390,35849,142255,0
2014-11-06,3,2014,1167943,0.0,393912,,1415617,196842,23151,560102,79781,21012,23266,152374,1991,246,376583,41722,75480,141757,78658,-173576,553275,553275,2728,63099,853338,,,0.0,0.0,234534,0,0.0,5038,636724,0.0,97160,0.0,72752.0,730098,362411,282420,304550,3241511,2014年09月30日,794986,552,,1924383,206991,4881698,4859839,0,620631,500166,2607232,,62,,0.0,0.0,,0.0,728214.0,,8329.0,20110,334861,365086,1709222,21394,7995,,,2601.0,8170,,,3241511,,,,609712.0,179445,,5491410.0,23753,2359,214386,8628,633,34066,33432,0.0,21859,109546,2884178,33001,150383,0
2015-03-26,4,2014,1157636,0.0,437431,,1451500,204106,21915,562920,103091,17012,38837,103594,960,101,376860,38943,74200,72146,50368,-165269,553275,553275,2729,21778,917664,,0.0,0.0,0.0,236698,993,0.0,189,505885,0.0,79438,0.0,71471.0,730099,357643,291115,341363,3241511,2014年12月31日,830869,700,,1933241,204374,4921311,4911293,0,620631,483765,2598980,,56,,0.0,0.0,,0.0,826847.0,,12038.0,27162,337917,369855,1721016,21701,7206,,0.0,2601.0,7851,,,3241511,,,,598207.0,179445,,5519518.0,23822,2121,200135,7786,580,40242,57871,0.0,10018,114442,2920538,29983,102634,0
2015-04-30,1,2015,1138714,0.0,431374,,1475785,223702,20602,588934,115195,51944,29298,137123,995,103,377648,36245,74220,122180,78003,-194404,553275,553275,2729,44177,833043,0.0,,0.0,0.0,221833,24756,0.0,1736,607062,0.0,72229,0.0,,730099,352885,290833,318707,3241511,2015年03月31日,855154,700,12302.0,1933753,193250,4935899,4926039,0,620631,544811,2643403,71491.0,51,0.0,,,0.0,0.0,,850933.0,,31866,341403,374613,1733009,21989,7260,0.0,,2601.0,7494,0.0,0.0,3241511,5594821.0,,658922.0,,179445,5594821.0,,23822,1833,181939,7786,526,39891,60625,0.0,9860,114111,2951418,25548,136128,0
2015-07-30,2,2015,1122518,0.0,445816,,1301724,155341,19420,463516,278526,23476,-47219,201261,937,99,380148,35215,74313,121150,104964,-202560,553275,553275,2729,16186,764494,0.0,,0.0,0.0,189109,1204,0.0,2,537953,0.0,98866,0.0,,730099,348126,291732,315659,3241511,2015年06月30日,655978,700,5348.0,1935337,183122,4684889,4675461,0,645746,703407,2677083,71584.0,45,0.0,,,0.0,0.0,,970163.0,,27957,344933,379372,1745040,22213,7315,0.0,,2601.0,7175,0.0,0.0,3241511,5503751.0,,818862.0,,179445,5503751.0,,23822,1609,229316,7786,471,41142,66232,,9428,115455,2826668,33296,200324,0
