date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,土地淨額,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－房屋及建築,累計折舊－模具設備,累計折舊－機器設備,累計折舊－辦公設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,80025,1740466,28841,127222,472987,182713,227645,13,12095,80131,381355,301330,167929,152929,15000,217258,114329,15104,618805.0,183,526859,526859,0.0,,382872,19983.0,,138746,,561689,7007,311,12109,217258.0,1295293.0,755898.0,16638,1814735,2013年03月31日,,775840.0,202473.0,486253.0,117607.0,2048298,2022521,0,2496769,2636561,,73114,,299532.0,,1321577,539395.0,573367.0,368646.0,173834.0,1814735,,24578,,2849433.0,433,,4897731.0,219517.0,45683.0,576043,50406,105069,85000,10909,25777,352664,2261170,88133.0,0
2013-08-09,2,2013,80263,1497396,28841,234913,472196,148418,232150,70,29289,54997,264969,184706,138092,123092,15000,213349,112280,12953,,183,513316,513316,0.0,,394225,29897.0,,121677,,610156,10092,402,11213,213349.0,,,16815,1814735,2013年06月30日,,,,,,2130940,2105078,0,2075861,2578855,,73408,,221617.0,,1011293,,,,,1814735,,21580,,2431544.0,433,,4562484.0,,,572482,19893,106471,122441,11011,25862,355683,1983629,88133.0,0
2013-11-07,3,2013,66944,1494164,28841,251718,431337,184487,252838,278,25306,116578,184859,117915,93222,78222,15000,209409,337166,13628,,183,560159,560159,0.0,,562090,29899.0,,147517,,828607,13367,539,3087,209409.0,,,16256,1814735,2013年09月30日,,,,,,2209326,2183464,0,2489088,2795223,,73326,,266261.0,,1288195,,,,,1814735,,23412,,2823166.0,433,,5032492.0,,,573338,15160,103029,109509,10797,25862,334078,2237269,312558.0,0
2014-03-25,4,2013,62536,1490641,28841,322152,129408,294557,269503,315,305941,237339,190581,128045,119758,103025,16733,203032,22354,11273,,183,558385,558385,0.0,,508759,29901.0,,177309,,782765,15905,444,15705,203032.0,,,15217,1814735,2013年12月31日,,,,,,2400060,2374659,0,2566263,3266714,,72622,,753978.0,4977.0,1351115,,,,,1814735,,33803,,2892316.0,433,,5292376.0,,,584425,20068,101430,102953,10898,25401,326053,2025662,0.0,0
2014-05-08,1,2014,155088,1729360,28841,332449,140278,214341,229266,27,11747,170766,298215,143127,108306,91534,16772,198986,103661,20872,,183,605313,605313,,0.0,388538,29904.0,,136304,,625926,18162,332,13246,198986.0,,,15257,1814735,2014年03月31日,,,,,,2343199,2318383,0,2251176,2839767,,72125,497334.0,,4977.0,1142019,,,,,1814735,,21926,,2759587.0,433,,5102786.0,,,819123,20263,99434,289162,82606,24816,508411,2263019,0.0,0
2014-08-07,2,2014,171805,1835910,16093,238441,72038,195033,326673,559,93776,121005,318389,146584,125541,123804,1737,194975,106303,24368,,183,564810,564810,,0.0,439326,29904.0,,142592,,634791,41595,285,7797,194975.0,,,15737,1814735,2014年06月30日,,,,,,2199514,2174614,0,2500765,2855585,,71989,716383.0,,9539.0,1218127,,,,,1814735,,15656,,2994814.0,433,,5194328.0,,,598569,18161,97678,280913,81752,24900,494049,2338743,0.0,0
2014-11-06,3,2014,181457,2031646,15035,294592,69219,152996,243143,11,18785,93527,293284,111827,177225,76570,100655,191067,103386,19853,,183,573686,573686,,0.0,571966,29907.0,,175135,,915959,35176,90,5347,191067.0,,,15851,1814735,2014年09月30日,,,,,,2227975,2203287,0,2667126,2885464,,74061,456808.0,,9539.0,1305938,,,,,1814735,,38203,,3136547.0,433,,5364522.0,,,633169,21625,86083,256729,83350,24688,469421,2479058,0.0,0
2015-03-24,4,2014,181509,2240386,9385,362838,67027,175725,270550,39,31415,163947,296280,114771,183593,78305,105288,200244,111408,24126,,183,582022,582022,,0.0,609329,29912.0,,227757,,966990,28100,373,13636,200244.0,,,16032,1814735,2014年12月31日,,,,,,2365957,2341953,0,2899034,2996688,,74385,461575.0,,6831.0,1406849,,,,,1814735,,51487,,3347910.0,433,,5713867.0,,,661957,37299,89858,211333,87099,24004,448876,2717179,,0
2015-05-11,1,2015,183228,2300763,9385,380082,76423,187946,238041,42,22532,168328,289727,106499,156493,52755,103738,196107,119793,34082,,183,561790,561790,,0.0,369345,0.0,,171535,,678795,12570,3055,11799,,,,16158,1814735,2015年03月31日,1238.0,,,,,2386877,2363578,0,2702101,2668241,196107.0,92887,,515366.0,,1569193,,,,,1814735,5484220.0,62980,3097343.0,,433,5484220.0,,,,629418,30157,89047,168978,85528,23299,395242,2815979,,0
2015-08-11,2,2015,213176,2320765,8212,369195,66714,140776,242962,30,20863,100031,311822,98646,171851,69102,102749,179909,129700,44891,,183,567204,567204,,0.0,337996,0.0,,142286,,598839,12735,3939,10275,,,,15450,1814735,2015年06月30日,15005.0,,,,,2308485,2284394,0,2477092,2622021,179909.0,91161,,522871.0,,1374346,,,,,1814735,5415982.0,52645,3107497.0,,433,5415982.0,,,,646730,28295,87897,422201,84626,24091,630405,2793961,,0
