date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應付薪資,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2014-08-08,2,2014,56667,56667,826455,,239731,,169398,5719,0,19073,119579,62912,76766,48445,28321,4155,27847,23692,19073,243201,,0,204826,18251,53032,45094,71272,353892,132373,126,662901,2014年06月30日,206455,925908,925908,0,27040,1133311,1261895,6236,455537,,615538,662901,,,1203642,4203,,2129550,5331,13353,65000,70331,867655,0,0
2014-10-30,3,2014,76667,76667,862618,,289150,,143788,1199,1,29845,132257,55590,64184,31733,32451,4230,24717,20487,,250081,,0,208682,22207,,57992,85796,371382,132095,188,662901,2014年09月30日,,986099,986099,0,,1142342,1276123,,458192,,634209,662901,,,1190712,4203,,2176811,7537,13353,40833,48370,900688,0,0
2015-03-19,4,2014,96667,96667,885823,,347219,,142408,624,0,55136,177346,80679,86095,46741,39354,3461,23216,19755,,262913,,0,223159,,,59060,83348,353068,164082,113,731901,2014年12月31日,,1290487,1290487,0,,977512,1384539,,518268,,433975,731901,,,1010511,156231,,2300998,16333,7420,16666,32999,916459,0,0
2015-05-08,1,2015,78204,78204,929757,545,393001,,183917,388,0,46472,154687,76483,85429,37713,47716,3461,27387,23926,,254234,,0,193130,,,62073,121844,332825,109537,274,731901,2015年03月31日,,1327605,1327605,0,,932072,1321627,,,539328,399950,731901,2286736,959131,,156231,2286736,,14559,7420,12500,27059,965109,,0
2015-08-06,2,2015,59741,59741,891417,545,315014,,255694,269,,39844,118674,58933,86205,45740,40465,3493,44894,41401,,287755,,0,190881,,117104,55348,83242,299616,125710,12,731901,2015年06月30日,,1242990,1242990,0,,1005408,1325656,,,526358,439890,731901,2269932,1026942,,156231,2269932,,13201,7420,8333,21534,944276,,0
2015-11-11,3,2015,,41278,947729,545,382946,2280,170058,236,,58697,120938,79660,79376,46477,32899,3493,27537,24044,,256479,48100,0,177449,,,74579,95479,401893,121186,43,731901,2015年09月30日,,1281675,1281675,1748000,,1067426,1387117,,,525860,598745,731901,2370348,1088673,,156231,2370348,,17080,7420,4167,21247,983231,,0
2016-03-16,4,2015,22815,22815,975143,545,438025,2230,174157,63,0,40092,114964,92149,39763,33654,6109,3493,61292,57799,,266217,71286,0,203169,,,66897,107260,430218,105602,0,731901,2015年12月31日,,1294963,1294963,2500000,,1088428,1347149,,,503119,596075,731901,2394333,1099370,,156231,2394333,,10942,10204,0,10942,1047184,0,0
2016-05-03,1,2016,,3000,936695,32850,466779,2040,137072,94,,28346,93162,90162,30905,26866,4039,3543,28301,24758,,261771,71286,0,174229,,,61416,75656,377687,94287,96,731901,2016年03月31日,,1311971,1311971,2500000,,1048937,1373433,,,606647,644380,731901,2381483,1069512,,156231,2381483,,8575,10204,12000,20575,1008050,,0
2016-08-10,2,2016,,4500,898489,52850,404978,2150,256373,63,,9537,75916,71416,40598,38456,2142,5238,28945,23707,,313657,71286,0,204846,,113104,72160,71109,403113,67454,500,731901,2016年06月30日,,1231361,1231361,2500000,,1182541,1438614,,,611142,645343,731901,2429102,1197741,,156231,2429102,,4700,10204,10500,15200,990488,,0
2016-11-09,3,2016,,6000,848168,52850,456179,2150,143082,94,,-19758,75798,69798,36507,34440,2067,5238,34821,29583,,269642,71286,0,239895,,,85551,57531,522411,91502,2893,731901,2016年09月30日,,1253267,1253267,2500000,,1214421,1529345,,,604240,755552,731901,2476688,1223421,,156231,2476688,,0,11504,9000,9000,947343,,0
