date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,專利權淨額,專門技術淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付款,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,196370.0,240039,436409,1677806,1305848,82187,562448,349690,166241,205760,592604,2959,397069,107079,37025,289990,41538,14935,,207730,8338,283409,6430,118943,1314979,159985.0,9639.0,0.0,,,1406882,541420,259783,5862.0,3821109,119277,161616,8505.0,205521.0,580932,722473,2013年03月31日,884662,,,4789949,4087349,0,414773,5183754,7723297,,500067,6413,,1599433.0,109046.0,44727.0,1916961,722473,,,6758479.0,1853268,,11548428.0,1506.0,16659.0,172301,90627,1387489.0,1387489,0.0,0.0,37957.0,37957.0,,10009.0,702600,1574725,3825131,,954.0,153236,0
2013-08-06,2,2013,197122.0,237764,434886,1849010,1141149,49171,507299,637450,189336,188867,484840,7914,527834,194054,29899,333780,49841,11583,0.0,167587,16317,297442,3500,95480,1299894,150957.0,7337.0,0.0,21674.0,,1633779,557249,89942,5157.0,4385438,90122,118776,8083.0,198849.0,610714,722473,2013年06月30日,663667,,,4982333,3927431,0,476205,6052133,8710866,,494105,1277,,2005685.0,128715.0,44610.0,2513678,744147,,,7650690.0,1853268,,12633023.0,1323.0,0.0,180224,94593,,1406750,0.0,0.0,5949.0,5949.0,,8470.0,1054902,1598557,3922157,,0.0,42040,0
2013-11-08,3,2013,0,12000,12000,1971071,1289631,75132,496321,501763,203770,173860,73027,4533,421613,164036,27268,257577,76870,11162,0,331488,8265,296636,3500,92392,1280880,141665,6868,,,,1537661,233551,59995,4415,4443562,62290,115266,7662,192178,622268,744147,2013年09月30日,812149,,,5133246,4057241,0,476205,5376632,7942654,,480224,1277,,1291439,121275,48702,2844945,744147,,,6996751,1849603,,12129997,0,0,178926,93793,1430031,1430031,0,0,0,0,,7787,1076005,1620119,4187343,146143,7818,56494,0
2014-03-20,4,2013,0.0,24500,24500,2315867,1313999,83668,467375,521895,117724,186892,73430,9161,372194,171672,161995,200522,141854,11247,0.0,479482,14036,291292,5973,99776,1286333,,,,,,1484020,323764,59995,160.0,4631476,44256,102397,5274.0,185506.0,648734,794147,2013年12月31日,836517,,,5632429,4458812,0,476205,5210562,7745668,,453287,1277,,1059987.0,123581.0,47633.0,2623717,794147,,,6849423.0,2163774,,12481852.0,0.0,0.0,210228,185933,1417386.0,1417386,0.0,0.0,0.0,0.0,223816.0,,1173617,1638861,4736184,,,39769,0
2014-05-09,1,2014,0.0,24500,24500,3252582,1428920,68484,456949,497950,104516,241549,83469,6847,398817,193295,152847,205522,81751,41747,,418939,9954,293082,2505,104051,1313899,,,,,0.0,1334674,218646,309981,201.0,4357863,11231,59371,39242.0,0.0,603585,794147,2014年03月31日,951438,,,5806337,4628390,0,476205,5984328,7991052,,445929,1277,1629160.0,,138707.0,47711.0,3400700,794147,,,7703535.0,2163774,,13509872.0,0.0,0.0,207651,340836,1469809.0,1469809,,,0.0,0.0,223183.0,,1177947,1719207,5518820,,,52122,0
2014-08-06,2,2014,0.0,24500,24500,3184214,1253806,56546,409950,706793,62003,156672,125524,7721,466404,260882,169041,205522,82773,41408,,399484,12380,291939,2455,83547,1264029,,,,0.0,0.0,1500491,300251,209960,135.0,4933895,5456,48234,38953.0,0.0,631018,794147,2014年06月30日,732228,,,5480654,4368399,0,520301,6261211,8107488,,460980,1277,1226336.0,,63927.0,44585.0,3354130,794147,,,8108167.0,2163774,,13588821.0,0.0,,191829,395687,1613719.0,1613719,,,0.0,0.0,220784.0,,1112255,1846956,5481333,,,93303,0
2014-11-06,3,2014,,24500,24500,3319151,1331132,39333,388991,591780,252570,180198,92434,7449,511653,259557,153890,252096,88309,41210,,531436,14038,292886,2501,80011,1264544,,,,,0,1657335,249045,329995,90,5071970,7424,82758,38709,0,653683,794147,2014年09月30日,809554,,,5871792,4548519,0,520301,6712358,8451585,,446776,1277,1167668,,52380,48187,3738764,794147,,,8376415,2243042,,14248207,535,5478,208869,456585,1413978,1413978,,,128653,128653,220425,,1323273,1664057,5796622,0,,60485,0
2015-03-25,4,2014,,37000,37000,3301276,1484187,51833,404942,620180,185831,248571,97608,8476,674684,277293,136990,397391,69843,7174,,574714,13847,291778,2617,82174,1256641,,,150716.0,,0.0,1685668,293084,129875,259.0,4924974,705,111536,4557.0,0.0,720486,794147,2014年12月31日,962609,,,6256658,4709444,2289000,520301,5657582,8440618,,428768,1277,1189846.0,,39200.0,44568.0,2791708,794147,,,8083813.0,2333255,,14340471.0,,,235242,469667,2183815.0,2183815,,,97214.0,97214.0,221521.0,,1547214,2426231,5899853,,90115.0,52132,0
2015-05-13,1,2015,,37000,37000,3504279,1576755,37327,441918,588769,225119,252993,110559,5272,508698,276870,123752,231828,70960,6917,,383044,9236,290512,2577,19208,1312030,,,0.0,,,1421511,193511,129875,3300.0,4663850,489,125598,,,707459,769777,2015年03月31日,1055177,67755.0,44687.0,7108430,4952012,0,520301,4968599,8597732,4340.0,414264,1277,,1679601.0,,,2453319,769777,14497551.0,7389121.0,,2352487,14497551.0,,,333.0,242711,448855,2170894.0,2170894,,,65319.0,65319.0,216917.0,,2156418,2420522,5899819,,1404.0,68287,0
2015-08-05,2,2015,,37000,37000,2553608,1978603,165192,451629,879073,197405,234177,102746,5512,466680,235292,68231,231388,74275,10210,,378324,20850,112445,6099,36679,1064104,,,0.0,,,1362262,148784,29999,0.0,3808262,22051,79197,,145476.0,2047429,769777,2015年06月30日,1415310,90705.0,2766.0,7020092,5343789,0,562016,4605337,7593489,4111.0,180676,1277,,1785674.0,,,1991768,769777,13631235.0,6611143.0,,2361232,13631235.0,,,2158.0,202836,280604,1792760.0,1792760,,,32965.0,32965.0,213555.0,,1676303,2005806,6037746,,0.0,60234,0
