date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,4839,4839,721989,,262863,-6392,52773,0.0,104026,-5900,11361,6522,37932,,,60190,,101416,18983.0,18983,,492,0.0,577.0,422445,0.0,,0.0,229752,,,0.0,,282.0,421565,65253,55861.0,1183032,2013年03月31日,54354,,1473279,1463714,0,129439,578398,1349029,,4357,1000.0,79070,,317766.0,15053.0,215000,1183032,,,,737750.0,23719,,2211029.0,3206,30295,37643,34238,61519,282.0,81856.0,9565,159352,862000,0
2013-08-08,2,2013,4861,4861,710939,,281544,-6342,24229,0.0,150305,9971,12050,7189,76930,37827.0,39103.0,60525,4047.0,102289,102289.0,102289,,16313,0.0,,361922,0.0,,0.0,195880,,,0.0,,259.0,498269,48995,56219.0,1183032,2013年06月30日,69651,,1501631,1492351,0,132823,603991,1422685,,4077,,79070,,391793.0,14617.0,230000,1183032,,,,771640.0,17804,,2273271.0,1139,20547,46827,33281,60297,259.0,,9280,167649,850586,0
2013-10-29,3,2013,4885,4885,692970,,324185,-4963,25731,0.0,116284,-1011,10026,5141,80586,31256.0,49330.0,60858,4047.0,101623,101623.0,101623,,3952,0.0,,335147,0.0,,0.0,207568,0.0,,0.0,,234.0,472591,65177,56577.0,1183032,2013年09月30日,112292,,1533360,1524010,0,132823,533021,1401970,,4029,,79070,,372700.0,19143.0,180000,1183032,,,,700439.0,17804,,2233799.0,0,50038,47896,33207,58664,234.0,,9350,167418,831829,0
2014-03-21,4,2013,4907,4907,689710,,363340,-4034,26738,0.0,83910,16639,52854,47947,84641,34451.0,50190.0,60291,4047.0,99930,99930.0,99930,,20673,0.0,,343839,0.0,,0.0,224365,,,0.0,,209.0,445426,89364,56035.0,1183032,2013年12月31日,151447,,1591776,1580815,0,132823,555960,1467926,,3591,,79070,,335758.0,26947.0,167000,1183032,,,,722408.0,17804,,2314184.0,884,142160,48728,53027,57429,209.0,,10961,166448,846258,0
2014-05-12,1,2014,4930,4930,674503,,376316,-939,25038,,68004,21086,56358,51428,129146,30145.0,99001.0,60603,4047.0,97619,97619.0,97619,,22025,,,391145,0.0,0.0,,242508,,,,,183.0,414963,84795,56373.0,1183032,2014年03月31日,164423,,1609526,1598238,0,132823,552474,1494032,,3182,,79070,331832.0,,25071.0,160000,1183032,,,,716355.0,17804,,2325881.0,533,117113,47090,56545,56188,183.0,,11288,163881,831849,0
2014-08-13,2,2014,4947,4947,649472,,302990,2458,18945,,218172,4094,58038,53091,103879,37392.0,66487.0,59253,4047.0,95134,95134.0,95134,,1636,,,390603,0.0,0.0,,243963,,,,,155.0,508294,78270,55051.0,1183032,2014年06月30日,79238,,1519410,1507920,0,147968,736010,1610655,,2717,,75784,331219.0,,23671.0,192000,1183032,,,,895731.0,17804,,2415141.0,166,179445,45521,57163,54947,155.0,,11490,159721,804486,0
2014-11-10,3,2014,4976,4976,643577,,345244,2871,9127,,135932,30494,13038,8062,110176,42704.0,67472.0,4173,4047.0,97904,97904.0,97904,55016.0,27623,,,383924,0.0,0.0,,244063,,,107.0,,126.0,519098,108222,,1183032,2014年09月30日,121492,,1600426,1576574,0,147968,802988,1770344,,2716,,75784,366950.0,,8872.0,400000,1183032,,55016.0,,966535.0,17804,,2566961.0,976,272847,50670,52420,53688,126.0,,23852,163547,796617,0
2015-03-18,4,2014,4999,4999,659974,,373440,3749,5095,,118453,69999,10976,5977,100440,36797.0,63643.0,4144,4047.0,97142,97142.0,97142,59072.0,66250,,,375493,0.0,0.0,,255411,,,,,97.0,509089,82697,,1183032,2014年12月31日,149688,,1668748,1644275,0,147968,715065,1749940,,2290,,75784,418970.0,,10832.0,318000,1183032,,59072.0,,892949.0,17804,,2561697.0,1393,258156,62239,52351,52429,97.0,,24473,177884,811757,0
2015-05-13,1,2015,5023,5023,668942,,385319,2737,4083,,100748,57233,13549,8460,102339,32765.0,69574.0,63184,4047.0,93385,93385.0,93385,,54496,,,374624,0.0,0.0,,262203,,,,66.0,0.0,462896,127464,,1183032,2015年03月31日,161567,12570.0,1667849,1643388,0,147968,704262,1730860,59137.0,1837,,75784,,450624.0,,315000,1183032,2546357.0,,878508.0,,17804,2546357.0,,192,208830,59897,51333,51165,0.0,,24461,174246,815497,0
2015-08-06,2,2015,5046,5046,656247,1230.0,309425,1995,3341,,221939,39470,17886,12807,68437,29626.0,38811.0,63328,4047.0,94885,94885.0,94885,,37475,,,359573,0.0,0.0,,246773,,,,33.0,0.0,528165,85485,,1183032,2015年06月30日,72490,9986.0,1574084,1549731,0,161151,801591,1743665,59281.0,1366,,75784,,457473.0,,305000,1183032,2547169.0,,973085.0,,17804,2547169.0,,7,241191,58271,49776,49895,0.0,,24353,171494,803504,0
