date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,58658,4220590,0.0,3578017,420918,28493,-1730,,151104,92446,264851,267820,191636,66318,2682243,2682243,0.0,,,1001390,468138,1597999,16512,201502.0,,2460288,2013年03月31日,3075343,,7197851,7188813,0,476803,3384444,6384340,,26581,25871.0,,1793138.0,422380.0,917059,2460288,,,3668109.0,1152238,,10865960.0,3455.0,1104.0,2424,42813,13421,9038,283665,4481620,,0
2013-08-09,2,2013,40301,4161813,0.0,2932845,1712706,21760,9176,,130890,90589,263299,268588,554782,66318,3227816,3227816,0.0,49206.0,,1188410,621440,2240109,16552,202270.0,,2460288,2013年06月30日,2215219,,6613056,6603753,0,655917,4906027,7017409,,24565,61709.0,,1246097.0,284931.0,967650,2509494,,,5192687.0,1152238,,11805743.0,0.0,1776.0,4572,47174,13500,9303,286660,4788334,,0
2013-11-08,3,2013,42385,4579253,0.0,3655765,1930716,18256,-15609,,176170,133785,307193,269363,542746,66318,3244786,3244786,0.0,,,1097134,295538,2162171,12169,203045.0,,2509494,2013年09月30日,2938139,,7311528,7301888,0,655917,4886491,7271031,,22320,61709.0,,1525351.0,232845.0,1154088,2509494,,,5155854.0,1152238,,12467382.0,0.0,1105.0,0,52032,0,9640,269363,5196351,0.0,0
2014-03-21,4,2013,24142,4984971,0.0,4444803,752267,61095,734,734.0,233832,209690,238986,258609,511393,54318,3233387,3233387,,,,1141521,329490,2226584,7651,204291.0,,2509494,2013年12月31日,3727177,,8117381,8107269,0,655917,4167095,6979300,,24180,61709.0,,1210487.0,380086.0,1329899,2509494,,,4428972.0,1152238,,12546353.0,0.0,1110.0,3268,46509,0,10112,261877,5567053,,0
2014-05-09,1,2014,13712,5431334,0.0,5103149,517373,49876,52209,52209.0,217146,203434,279179,260311,622266,54318,3334529,3334529,,,0.0,1240014,207643,2171168,10436,205993.0,,2509494,2014年03月31日,4385523,,8827458,8817090,0,655917,4312142,7281255,,21815,61709.0,1434488.0,,522064.0,1607902,2509494,,,4575721.0,1152238,,13403179.0,0.0,1579.0,3268,46509,0,10368,263579,6121924,,0
2014-08-08,2,2014,13439,5859393,0.0,3799673,2321355,16536,5483,5483.0,128614,115175,355117,261300,572641,54418,3341303,3341303,,100380.0,0.0,1253513,284451,2463246,7968,206882.0,10602.0,2509494,2014年06月30日,2869947,,7567268,7567268,0,929726,6138942,7460012,,21621,0.0,1273363.0,,332362.0,1818647,2609874,,,6403510.0,1152238,,13970778.0,,2479.0,3268,46509,0,0,264568,6510766,,0
2014-11-07,3,2014,0,6360478,0.0,4665643,643399,12196,52884,52884.0,153499,153499,339616,262206,243690,54418,3400235,3400235,,,0.0,1356198,402272,2729501,6990,207788.0,12520.0,2609874,2014年09月30日,3735917,,8480639,8480639,0,929726,5159541,7222750,,19707,0.0,734212.0,,246514.0,2357659,2609874,,,5425015.0,1152238,,13905654.0,,0.0,3268,46509,0,0,265474,6682904,,0
2015-03-19,4,2014,20232,6563445,0.0,5583418,790174,13135,132161,132161.0,124961,104729,327602,263364,218785,52053,3099275,3099275,,,0.0,1213888,254568,2771241,3859,211311.0,13056.0,2609874,2014年12月31日,4653692,,9477691,9477691,0,929726,5072923,8064983,,22525,0.0,1849871.0,,445818.0,2228864,2609874,,,5446991.0,1152238,,14924682.0,14650.0,0.0,36619,41888,74085,0,374068,6859699,,0
2015-05-07,1,2015,34941,6475278,,6281568,528126,32477,102327,102327.0,155523,120582,400270,255560,224055,42418,3726001,3726001,,,0.0,1468880,268768,2319584,2285,,13904.0,2609874,2015年03月31日,5351842,604191.0,10146007,10146007,0,929726,5306789,9027333,213142.0,20850,0.0,,2546716.0,,2281301,2609874,15803308.0,5657301.0,,1152238,15803308.0,,0.0,0.0,36619,41888,58333,0,350512,6775975,,0
2015-08-06,2,2015,34450,6432381,,5185587,2696922,40608,63658,63658.0,165285,130835,273287,256472,251177,42418,4099180,4099180,,0.0,0.0,1545897,440598,3367499,26456,,13535.0,2609874,2015年06月30日,3955509,430331.0,9011357,9011357,0,1230078,7486541,10119854,214054.0,20000,0.0,,2312824.0,,2207508,2609874,16878835.0,7867478.0,,1152238,16878835.0,,0.0,0.0,36619,41888,87846,0,380937,6758981,,0
