date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,商譽,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,152200,7000,929323,0.0,,,,88664,,12585,-34444,9963,1392,,72358,9370,187365,390966,,0.0,,240859,,0.0,53775,225055,95461,45,72358.0,0.0,1148399,2013年03月31日,461712,,,2832598,2832596,0,453891,431503,2964535,,194406,,177780.0,701.0,,13720,,764507.0,25292.0,0.0,1148399,,12238,,524018.0,789318,,3356616.0,712.0,1275184,20157,28404,7041,2,92515,392081,21560,0
2013-08-12,2,2013,152560,7000,827491,0.0,,,,278674,,16626,-38284,13928,3037,,72676,12239,187365,463156,,,,316982,,0.0,87724,236462,203287,1765,72676.0,0.0,1148399,2013年06月30日,326190,,,2726926,2726924,0,475429,735601,3160317,,193989,,173023.0,701.0,,25872,,727229.0,22559.0,4690.0,1148399,,13967,,829787.0,789318,,3556713.0,1767.0,1310614,21510,29907,6624,2,94186,396396,20428,0
2013-11-12,3,2013,153115,7000,894433,0.0,,,,99753,,13477,-40797,11855,4459,,72999,9658,187365,395689,,,,180495,,36.0,73381,223349,262091,1413,72999.0,0.0,1148399,2013年09月30日,393132,,,2791355,2791353,0,475429,394987,2884979,,193161,,173023.0,701.0,,25872,,609255.0,14626.0,2273.0,1148399,,14841,,489345.0,789318,,3280700.0,0.0,1187730,21359,32086,5796,2,94358,395721,12220,0
2014-03-27,4,2013,153061,4568,949979,0.0,,,,116530,,8220,-45276,7051,2221,,77403,9885,187365,476012,476012.0,,,226054,,0.0,72504,241746,153612,0,77403.0,0.0,1148399,2013年12月31日,448677,,,2842422,2842420,0,475429,469703,3019190,,192482,,105323.0,701.0,,25873,,693885.0,30815.0,2474.0,1148399,,15959,,570490.0,789318,,3412912.0,790.0,1318856,23384,33025,5117,2,100787,393722,16841,0
2014-05-13,1,2014,151008,4568,1025987,,,,,107788,107788.0,6756,-37722,27363,2900,0.0,68699,9027,187365,514317,514317.0,,0.0,217100,,793.0,78243,257992,141852,0,68699.0,,1148399,2014年03月31日,524685,,,2925984,2925982,0,475429,490156,3119099,,191827,,105378.0,701.0,,25873,709431.0,,41196.0,2520.0,1148399,,17527,,583805.0,789318,,3509789.0,146.0,1351556,24950,33559,4462,2,93649,390690,26397,0
2014-08-12,2,2014,148706,4568,893512,,,,,322003,322003.0,8665,-43068,7230,3036,,69088,7571,187365,510694,510694.0,,0.0,150131,17.0,17.0,98492,270573,165551,89,69088.0,,1148399,2014年06月30日,347472,,,2788163,2788161,0,500764,624888,3120290,,191149,,105378.0,701.0,,45276,663450.0,,28535.0,2475.0,1148399,,18480,,719836.0,789318,,3507999.0,0.0,1378341,25860,35014,3784,2,94948,387709,12038,0
2014-11-11,3,2014,147826,4568,979018,,,,,114590,,5729,-48178,6518,5020,,69488,30360,187365,499592,499592.0,9413.0,0.0,202452,,0.0,69198,339464,61667,0,69488.0,,1148399,2014年09月30日,432978,,,2859146,2859144,251000,500764,441502,2989189,,191621,,105378.0,701.0,,45276,756009.0,,28060.0,2521.0,1148399,,19622,,539558.0,789318,,3398704.0,1062.0,1199327,28568,34439,4256,2,98056,409515,14482,0
2015-03-24,4,2014,145670,590,1075587,0.0,,,,138999,,7529,-47138,11059,1272,,75882,124229,187365,473513,473513.0,62601.0,0.0,231230,,,73685,337345,56951,1748,75882.0,,1148399,2014年12月31日,529547,,,2903567,2903565,1766000,500764,520353,3030943,,193397,,105378.0,701.0,,45276,841901.0,,44429.0,0.0,1148399,,20951,,628665.0,789318,,3532232.0,0.0,1187853,32430,36702,6032,2,108312,501289,17453,0
2015-05-12,1,2015,142768,590,1148484,,,,,126644,,9276,-54932,34421,8591,,76264,420764,187365,532298,532298.0,5349.0,0.0,278437,,0.0,81245,353342,70079,1,,,1148399,2015年03月31日,602444,51832.0,0.0,3027818,3027816,151000,500764,594306,2933633,76264.0,193378,136689.0,,,701.0,45276,,882749.0,,,1148399,3730772.0,21727,702954.0,,791214,3730772.0,,0.0,913578,32384,38938,6013,2,108648,797139,27030,0
2015-08-12,2,2015,567511,590,943084,,,,,431227,,15109,-61968,37154,1885,,76632,14273,187365,562620,562620.0,5349.0,,259038,,0.0,118998,403897,183906,0,,,1148399,2015年06月30日,361453,43905.0,0.0,2815382,2815380,151000,534493,913503,3020684,76632.0,193173,136324.0,,,701.0,47138,,660850.0,,,1148399,3841055.0,22906,1025673.0,,791214,3841055.0,,275.0,1034759,35538,44123,5808,2,112170,820371,21334,0
2015-11-10,3,2015,564214,590,1063267,,,,0.0,134648,,7757,-32554,8425,3237,,77022,34129,187365,469444,469444.0,5349.0,,191278,,,67625,389041,155475,1749,,,1148399,2015年09月30日,481636,24684.0,0.0,2964979,2964977,151000,534493,451540,2698525,77022.0,192359,121934.0,,,701.0,47138,,755859.0,,,1148399,3535129.0,23970,570150.0,,791214,3535129.0,,910.0,774370,41588,44611,4994,2,118610,836604,19659,0
2016-03-24,4,2015,567624,572,1132879,,,,0.0,164056,,13755,-41242,8573,1627,,69226,34443,187365,403468,,5349.0,,281409,,,63674,369511,125610,1,,,1148399,2015年12月31日,551248,36917.0,,3025903,3025901,151000,534493,579423,2870322,69226.0,195048,121839.0,,,701.0,47138,,857722.0,,,1148399,3712857.0,24794,686954.0,,791214,3712857.0,,,950847,38305,44147,7683,2,107531,842535,25942,0
2016-05-03,1,2016,591947,572,1281580,,,30501.0,,118381,,9592,-27359,46450,2103,,46725,6843,187365,418726,,5349.0,,454491,,426.0,96931,547234,132778,1900,,,1148399,2016年03月31日,699949,69317.0,,3188487,3188485,151000,534493,812447,3217453,46725.0,199769,121578.0,,,701.0,47138,,891520.0,,,1148399,4086295.0,26451,897808.0,,791214,4086295.0,,,1068737,38636,38509,12404,2,85361,868842,23285,0
2016-08-08,2,2016,584042,572,1091044,,33723.0,33723.0,,488686,,17803,-10628,44731,2099,,47024,7016,187365,405933,405933.0,5349.0,,453384,,,115388,419580,226706,1,,,1148399,2016年06月30日,479410,59138.0,,3014682,3014680,151000,570392,1189740,3428037,47024.0,198572,121605.0,,,701.0,41242,,952362.0,,,1148399,4290841.0,28413,1276159.0,,791214,4290841.0,,0.0,1254871,39395,38178,11207,2,86419,862804,27077,0
