date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,4373134,10210351,36295,56533,391222,2510771,392117,34779,814006,2063840,466888,1437235,-1516,6477666,0.0,,5222644,19000,5328273,6307,102338,,,204093,6261374,2013年03月31日,6989207,,21102148,21092781,0,2794790,10629019,25104729,92091,35128.0,79966.0,,426354,,9209600.0,131172.0,1462828,6261374,,468598,,11109059.0,4586277,,4586277,,32211207.0,0.0,1535265,144360.0,13152,282039,,9367,480040,7106478,0
2013-08-14,2,2013,4371116,9412040,29480,63024,421585,2902246,343384,116469,1746602,2632612,428109,2103109,86989,7498790,0.0,,6789087,32701,5125440,11390,108419,,147120.0,197817,6262534,2013年06月30日,6035639,,20388196,20377747,0,2950047,14688082,27726358,75436,,67156.0,,426354,,11180327.0,233916.0,2427997,6262534,,555533,,15129629.0,4586704,0.0,4586704,,35517825.0,0.0,871391,,13438,299709,0.0,10449,441547,7791467,0
2013-11-14,3,2013,4277034,10307815,21021,58227,374593,3289325,366557,51437,718187,3555349,419677,2097457,30416,8278396,0.0,,6087964,30949,5932958,11709,117921,,145440.0,321169,6263234,2013年09月30日,6931414,,21218570,21209379,0,2950047,13813998,27747331,65514,,42262.0,,426354,,8319729.0,272147.0,2845359,6263234,,570067,,14241385.0,4586893,0.0,4586893,,35459955.0,0.0,1224406,,7710,271234,0.0,9191,427387,7712624,0
2014-03-18,4,2013,4212396,10718290,126011,83610,509384,2884329,476788,267119,824553,3161356,451095,2140848,141108,8365361,0.0,,5423326,37511,5435125,10991,142029,,148410.0,306284,6265714,2013年12月31日,7341889,,21849702,21838685,0,2950047,12680871,27198448,45002,,19662.0,,426354,,8146406.0,342925.0,2605649,6265714,,562578,,13147700.0,4587562,0.0,4587562,,34997402.0,0.0,1518811,,15734,274939,0.0,11017,466829,7798954,0
2014-05-15,1,2014,4357203,11443128,108861,74970,525396,3518908,407925,220319,807062,3176496,440727,1561841,111458,8657802,,0.0,6106737,46564,6440929,6508,189926,,147360.0,301066,6268229,2014年03月31日,8066727,,22531364,22519917,0,2950047,13867203,29382829,58244,0.0,20030.0,,426354,9145026.0,,436611.0,2391867,6268229,,559454,,14320012.0,4588241,0.0,4588241,,36851376.0,,1473173,0.0,12082,307481,,11447,452809,7468547,0
2014-08-14,2,2014,4224754,10055806,131565,93125,433403,3576175,454844,143136,2577704,2276656,397063,1254663,11571,8533090,,0.0,5130125,131438,5752017,5718,188311,,144690.0,297274,6268229,2014年06月30日,6443851,,21063730,21055412,0,3185601,12787329,27380279,43481,,0.0,,426354,8936596.0,,295812.0,558323,6268229,,516747,,13191248.0,4588241,0.0,4588241,,34254978.0,1005.0,1328233,,6856,288123,0.0,8318,403919,6874699,0
2014-11-14,3,2014,4215332,10739713,87029,83154,357560,3968028,463693,238435,686875,1282929,398761,1351317,151406,9220977,,0.0,5652777,59010,6854291,8769,188497,,148650.0,305784,6268329,2014年09月30日,7127758,,21851198,21834737,0,3185601,11166304,26547090,34656,,0.0,,426354,7173267.0,,218389.0,91459,6268329,,489766,,11577897.0,4588260,0.0,4588260,,33429095.0,,1460010,,12832,280209,0.0,16461,411593,6882005,0
2015-03-16,4,2014,4231520,11243132,87941,87763,345828,3376700,439128,435986,850512,820425,436357,1313314,348045,8866121,,0.0,5487917,50204,6093288,7238,191719,,153480.0,298306,6288829,2014年12月31日,7631177,,22578114,22560102,0,3185601,10653629,26841912,49730,,0.0,,426354,9336355.0,,281914.0,71326,6288829,,535056,,11114512.0,4592155,,4592155,,33692626.0,,1191594,,24526,266817,,18012,460883,6850714,0
2015-05-15,1,2015,4153100,11667000,72371,84001,323553,3474508,437452,347829,644377,1520576,441750,1026127,275458,9322364,,,5020160,65854,6151553,6609,190404,,151950.0,296821,6290129,2015年03月31日,8055045,395414.0,22924698,22906283,0,3185601,10261671,27170324,43540,,,0.0,426354,,8336355.0,,86128,6290129,33636135.0,575230,10711437.0,,4601325,8923.0,4592402,33636135.0,,,1311414,,8016,280316,,18415,449766,6465811,0
2015-08-14,2,2015,4052537,10324227,30780,64623,351228,3567051,427088,239949,2360604,1985640,432277,319014,209169,7851788,,0.0,5404402,50321,5419561,8718,189071,150300.0,0.0,280275,6290629,2015年06月30日,6472562,296999.0,21471952,21456225,0,3425311,12335666,28723148,55193,,,,426354,,11493338.0,,86163,6290629,34250156.0,570126,12778204.0,,4601420,8923.0,4592497,34250156.0,,0.0,1322092,,10261,279690,,15727,442538,5527008,0
