year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 2403 友尚      ,916000,18.05,1.37,35.51,166640,-3756,2217961,114611,0.72
200002,2403,916000.0,20.2105,1.27,32.5336,424161.0,-7565.0,5449466,310542,0.69
200003,2403,1041000,30.9143,1.73,53.2152,659143,-31469,9005279,471452,0.91
200004,2403,1041000,31.1889,1.71,52.5849,736940,-75649,11679496,501124,0.86
200101,2403,1041000,32.0354,1.81,56.1129,105752,-18622,2377023,66561,0.79
200102,2403,1270000,24.4438,1.54,51.1595,161610,-92905,4596654,34823,0.81
200103,2403,1270000,24.3187,1.59,53.1427,233711,-130319,7058031,62817,0.91
200104,2403,1270000,24.2913,1.6,51.6748,335878,-225400,10064270,70111,0.92
200201,2403,1270000,25.714000000000002,1.58,49.6966,264194,-38244,4831336,175026,0.96
200202,2403.0,1423882,23.4875,1.65,51.7217,433688.0,-62742.0,9372545.0,282346,1.06
200203,2403.0,1423882.0,24.4175,1.63,51.9911,610171.0,-93875.0,14344684.0,397198,1.06
200204,2403.0,1733882,28.8588,3.13,74.2107,703163.0,-140375.0,19579600.0,437678,2.02
200301,2403.0,1733882,28.8133,2.8,71.8418,153669.0,-832.0,4767519.0,117998,1.85
200302,2403.0,1935000,25.0763,2.3,66.086,304875.0,-8478.0,9405386.0,217951,1.44
200303,2403.0,1935000,26.0762,2.13,62.2461,528506.0,-5250.0,16270904.0,385568,1.26
200304,2403.0,1959900,26.5873,1.91,56.263999999999996,728029.0,-23724.0,24172269.0,508143,1.12
200401,2403.0,1959900,27.5025,1.84,55.5631,261011.0,1372.0,7820447.0,199853,1.04
200402,2403.0,2198180,22.5697,1.58,47.6187,442884.0,-11180.0,15476852.0,317105,0.97
200403,2403.0,2198180,22.8901,1.67,51.2127,631726.0,14200.0,22830752.0,483292,0.91
200404,2403.0,2215150,23.71,1.97,60.448,730266.0,-110354.0,30463367.0,442498,1.02
200501,2403.0,2215150,23.84,1.8,55.6026,102239.0,-50038.0,7235295.0,39706,1.0
200502,2403.0,2421159,22.96,1.52,46.6025,248714.0,-115676.0,14770985.0,87994,0.85
200503,2403.0,2421876,21.97,1.54,48.9017,502913.0,-116923.0,24119443.0,280984,0.78
200504,2403.0,2421876.3,22.3,1.57,,683726.0,-194116.0,34398019.0,360467,0.7
200601,2403.0,2412939,22.34,1.49,46.3184,139232.0,-114915.0,9837659.0,23951,0.71
200602,2403.0,2595252,21.64,1.4,,301278.0,-209363,19732275.0,74024,0.65
200603,2403.0,2598739.0,20.75,1.48,45.8449,592016.0,-251768,31268361.0,258618.0,0.61
200604,2403,2600852.0,21.5,1.49,48.6351,855488.0,-279457,43727041.0,436852.0,0.53
200701,2403,2600852.0,22.1,1.43,45.0712,279422.0,-122750,10721871.0,119615.0,0.5
200702,2403,2710895.0,21.76,1.35,,617817.0,-203932,23045852.0,309924.0,0.43
200703,2403,2982969.0,21.82,1.22,,1043073.0,-248961,39164120.0,629106.0,0.46
200704,2403,2983319.0,22.05,1.29,45.3092,1253293.0,-355148,52422884.0,729026.0,0.6455
200801,2403,2983319.0,22.38,1.25,41.4266,242832.0,-13618,13483836.0,210851.0,0.47
200802,2403,3281985,19.9492,1.17,32.5881,592561,-95957,32151921,420243,0.38
200803,2403,3281985,21.36,1.19,34.8566,1069968,-172836,52057895,761207,0.43
200804,2403,3281985,21.71,1.33,47.7886,1175390,-225514,63788584,800875,0.5728
200901,2403,3281985,22.34,1.38,52.1857,270565,-73232,11750543,150829,0.49
200902,2403,3673886,21.77,1.34,49.4938,489433,-26844,26073236,372072,0.46
200903,2403,3673886,20.45,1.3,45.1606,889404,75076,44626639,794439,0.59
200904,2403,3699642,21.49,1.3134000000000001,45.1082,1245270,179770,65866433,1190331,0.9061
201001,2403,3700182,22.7,1.23,37.6057,339863,164981,22621181,453530,0.59
201002,2403,4152906,22.96,1.22,36.8505,739675,427766,44003836,1071254,0.39
201003,2403,4161692,21.4335,1.24,39.1759,1008763,667775,65666519,1548175,0.28
