year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200001, 1806 信    益  ,3293000,12.86,1.42,68.78,18847,-3740,365371,24406,0.55,
200002,1806,3446754.0,11.84,1.16,63.3174,60655.0,4138.0,831607,72394,0.52,
200003,1806,3446754,11.8081,1.16,64.07,133814,-59203,1330279,72525,0.53,
200004,1806,3446754,9.5646,0.95,58.9924,68653,-868329,1722935,-769545,0.32,
200101,1806,3446754,9.4997,0.91,60.8047,26197,-60487,307785,-33851,0.32,
200102,1806,3446754,9.3477,0.84,60.6552,-21484,-155901,636782,-157390,0.32,
200103,1806,3446754,9.1192,0.83,59.861999999999995,-54557,-192440,978163,-232095,0.32,
200104,1806,3446754,8.2333,0.79,58.2366,-142842,-507857,1295338,-675234,0.28,
200201,1806,3446754,8.0562,0.79,59.0122,9021,-30200,253904,-18864,0.27,
200202,1806.0,3446754,7.8489,0.8,58.2555,27728.0,-83184.0,585457.0,-53560,0.33,
200203,1806.0,2501754.0,10.7593,0.78,58.7989,49972.0,-157946.0,889115.0,-113622,0.3,
200204,1806.0,2501754,10.8597,0.73,59.4879,76506.0,-148187.0,1214231.0,-82939,0.3,
200301,1806.0,2501754,10.8183,0.76,60.6899,36169.0,-46521.0,301122.0,-10356,0.33,
200302,1806.0,2501754,10.8219,0.79,60.4628,74261.0,-79788.0,639777.0,-5087,0.35,
200303,1806.0,2501754,10.8602,0.82,60.2353,134588.0,-100708.0,1023662.0,35283,0.38,
200304,1806.0,2501754,10.9332,0.89,59.9003,209459.0,-151968.0,1482799.0,44021,0.41,
200401,1806.0,2501754,10.8181,0.92,60.1191,50896.0,-49097.0,396197.0,1689,0.38,
200402,1806.0,2501754,11.1262,0.93,60.1211,122934.0,-76878.0,905887.0,48310,0.56,
200403,1806.0,2851754,10.9,0.92,62.3179,217637.0,-133672.0,1407097.0,84605,0.51,
200404,1806.0,3153754,10.36,0.99,61.583,304984.0,-191213.0,1979057.0,111505,0.43,
200501,1806.0,3153754,10.49,1.01,63.4231,80768.0,-50500.0,499740.0,27958,0.37,
200502,1806.0,3153754,10.78,1.1,65.2738,178955.0,-101802.0,1046230.0,86494,0.43,
200503,1806.0,3153754,11.3,1.03,66.9869,280702.0,-93458.0,1587410.0,156542,0.43,
200504,1806.0,3153754.0,11.4,1.23,,403996.0,-146499.0,2203691.0,191084,0.56,
200601,1806.0,3153754,11.56,1.29,67.6981,87933.0,-37537.0,581812.0,33173,0.58,
200602,1806.0,3153754,11.8,1.36,,218268.0,1992,1279563.0,158430,0.63,
200603,1806.0,3153754.0,12.15,1.43,69.9224,324052.0,50552,1924879.0,273140.0,0.69,
200604,1806,3153754.0,12.93,1.21,69.2001,442274.0,51602,2564800.0,398180.0,0.55,
200701,1806,3153754.0,12.93,1.7,68.9934,85016.0,-71032,643814.0,10881.0,0.74,
200702,1806,3153754.0,13.49,1.56,,206756.0,22519,1385272.0,168575.0,0.81,
200703,1806,3153754.0,13.6364,1.97,,306139.0,151377,2052260.0,373380.0,1.04,
200704,1806,3383754.0,14.15,2.11,69.0546,411261.0,322258,2863636.0,585451.0,1.4756,
200801,1806,3383754.0,14.2313,1.9,70.014,56834.0,17705,564783.0,62202.0,1.14,
200802,1806,3569023,14.19,1.6,68.5416,160207,135863,1400244,194984,0.94,
200803,1806,3569023,14.65,1.41,68.1143,227944,158981,2151631,248702,0.79,
200804,1806,3569023,14.13,1.67,71.8691,312992,19596,2781355,240824,1.0499,
