stock,99年1-3月,稅後純益,99年1-3月,增減(%),期末股本,稅後純益,99年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,99年1-3月,增減(%),營業利益,99年1-3月,營業外
01,2424094,3915812,2329289,68.11,95013503,0.41,0.26,24.3386804715536,79.4948482048978,1.89303978868849,1.52509509122834,01,水泥類,10939669,10452049,4.67,14617,76525,4017642
1101,913926,1320057,924955,42.72,36921759,0.36,0.28,27.06,91.0157,2.97,2.53,1101,台泥,5834409,5517415,5.75,102818,87736,1272239
1102,1602151,2227245,1614305,37.97,30753075,0.72,0.54,26.63,71.879,1.4,1.06,1102,亞泥,2431250,2430412,0.03,31221,80290,2247188
1103,-38447,334269,-93002,,7322354,0.55,-0.16,30.23,68.4262,1.24,1.15,1103,嘉泥,430353,464494,-7.35,-42100,-18922,406527
1104,-37021,122120,-111315,,6038919,0.2,-0.18,21.37,76.7107,1.71,1.49,1104,環泥,839539,729601,15.07,-6858,-73809,127291
1108,-23214,-76582,-33371,,4047380,-0.19,-0.08,9.94,51.7924,0.75,0.41,1108,幸福,738237,663348,11.29,-49473,-22411,-41870
1109,4162,-34538,9234,,4210008,-0.08,0.02,13.93,91.6285,10.89,7.86,1109,信大,313034,304809,2.7,-35933,3688,-4683
1110,2537,23241,18483,25.74,5720008,0.04,0.03,14.48,88.5719,3.29,2.08,1110,東泥,352847,341970,3.18,14942,19953,10950
02,3545195,4740153,5227755,-9.33,97633987,0.49,0.57,16.9799394753796,68.0247860280463,1.57684230761001,0.950150286134929,02,食品類,46097604,41121126,12.1,2350331,2224408,2824914
1201,-48906,219999,190397,15.55,5060629,0.43,0.38,13.5,48.0875,1.11,0.69,1201,味全,3101970,2922260,6.15,241547,239500,-13256
1203,30487,30246,42342,-28.57,2400000,0.13,0.19,17.38,80.5015,2.03,1.18,1203,味王,521068,476455,9.36,18693,28854,23326
1210,114712,360490,240699,49.77,4946679,0.79,0.55,22.75,65.0504,1.3,0.79,1210,大成,5719614,5222159,9.53,177545,164831,226813
1213,-343,-3701,4107,,514751,-0.07,0.08,11.25,81.7372,2.72,2.43,1213,大飲,151731,167646,-9.49,-2449,7111,-59
1215,832,35288,87666,-59.75,2320268,0.15,0.38,17.98,63.0818,1.59,0.71,1215,卜蜂,3554377,3290206,8.03,32331,108736,11569
1216,2970307,2274128,3090867,-26.42,42871402,0.53,0.79,16.54,67.745,1.11,0.67,1216,統一,12311216,10791722,14.08,460670,290682,1896339
1217,13110,32632,23748,37.41,4476893,0.07,0.05,10.82,58.2414,1.43,0.81,1217,愛之味,755140,964838,-21.73,5543,20592,27899
1218,43048,13384,59561,-77.53,3330531,0.04,0.19,11.97,47.9917,1.63,1.01,1218,泰山,1775463,1640959,8.2,-65559,16606,85539
1219,7141,13893,30545,-54.52,2839087,0.05,0.11,13.2,65.3754,3.38,1.86,1219,福壽,2295243,2095268,9.54,20977,35400,-2689
1220,-1314,45350,4116,+++++,1770779,0.26,0.02,10.88,72.7028,3.16,2.03,1220,台榮,682237,509804,33.82,42028,5009,5325
1225,708,42035,38237,9.93,1749049,0.24,0.24,13.15,51.6827,2.46,1.28,1225,福懋油,2259337,1975040,14.39,44088,44465,4842
