stock,89年1-6月,稅後純益,89年1-6月,增(減)(%),期末股本,稅後純益,89年1-6月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-6月,增(減)(%),營業利益,89年1-6月,營業外
11,783409,-579376,1126248,,78500603,-0.07,0.15,14.4834,51.8718,1.03,0.72,11,水泥類,20341100,22703472,-10.41,-1123423,416019,658014
1101,855996,-328634,956400,,24433866,-0.13,0.4,16.5889,41.8834,0.88,0.67,1101,台泥,9761724,8642713,12.95,-354566,126404,63432
1102,128425,211809,655661,-67.7,20886864,0.1,0.32,16.0097,64.2992,1.03,0.71,1102,亞泥,4822011,5666027,-14.9,108435,533175,173697
1103,-130233,-277705,11694,,6996391,-0.4,0.02,13.9729,43.0594,1.04,0.84,1103,嘉泥,1141195,1388590,-17.82,16518,128715,-153026
1104,126591,-9297,138942,,3933004,-0.02,0.33,14.2009,64.2116,1,0.49,1104,環泥,1128764,1531982,-26.32,-193567,15919,167959
1107,-136869,60334,-629397,,8409598,0.07,-0.75,9.0979,50.2758,1.25,0.62,1107,建台,1343612,2576467,-47.85,-395857,-477144,422178
1108,-61958,-187100,-77971,139.96,4047380,-0.46,-0.19,10.2673,52.1743,0.72,0.42,1108,幸福,1072249,1446758,-25.89,-222918,-17806,-44535
1109,61998,8147,110483,-92.63,4207140,0.02,0.26,12.436,85.4852,2.71,2.22,1109,信大,504898,739782,-31.75,-38859,76986,47732
1110,-60541,-56930,-39564,43.89,5586360,-0.1,-0.07,13.1099,75.5053,1.46,0.81,1110,東泥,566647,711153,-20.32,-42609,29770,-19423
12,1946802,519767,2918915,-82.19,101713846,0.05,0.29,10.8193,50.1238,0.94,0.51,12,食品類,62438158,62156109,0.45,1002551,1099524,-114786
1201,-113029,-27843,43684,,5060629,-0.06,0.09,7.8938,30.4678,0.69,0.46,1201,味全,4344150,4703912,-7.65,58575,151059,-86418
1203,-167589,-38836,-182740,-78.75,2092537,-0.19,-0.87,11.078,35.3082,0.79,0.32,1203,味王,1285518,1615042,-20.4,18146,-15151,-56982
1204,-1536,-40396,-23356,72.96,600000,-0.67,-0.39,8.4081,46.5662,0.95,0.5,1204,津津,390637,414285,-5.71,-30067,-21818,-10350
1207,83228,-825117,107917,,12842278,-0.64,0.08,9.9339,35.0356,0.85,0.22,1207,嘉食化,4300471,4848172,-11.3,-163076,15580,-758844
1210,31879,173057,202117,-14.38,4521389,0.38,0.47,11.6508,58.8865,1.2,0.76,1210,大成,6657755,6024641,10.51,215763,179609,-15719
1212,-81747,-149191,-197623,-24.51,2731664,-0.55,-0.72,5.1143,20.7567,0.54,0.34,1212,中日,2814979,2428157,15.93,-9032,-115876,-140159
1213,16692,577,13788,-95.82,389963,0.01,0.35,14.3836,79.3813,2.03,1.31,1213,大飲,310332,314163,-1.22,-6737,-1054,9215
1214,26955,12730,-21778,,700000,0.18,-0.31,5.0744,21.8556,0.7,0.55,1214,尚德,289398,250385,15.58,-36690,-48733,49420
1215,-112823,68517,13007,426.77,2300268,0.3,0.06,11.1619,57.9912,1.83,1.14,1215,卜蜂,5916420,5867549,0.83,142684,157676,-59608
1216,1962856,1420751,2226828,-36.2,33476572,0.42,0.71,12.0779,57.5832,1.06,0.63,1216,統一,16551937,15678931,5.57,336098,197291,1245758
1217,-61427,-78689,50890,,3639628,-0.22,0.15,9.5025,50.685,0.8,0.42,1217,愛之味,1215089,1321023,-8.02,15349,67874,-104052
1218,-64913,-29505,69064,,3232980,-0.09,0.21,10.0075,48.3625,1.11,0.64,1218,泰山,2047148,2263544,-9.56,83130,167803,-60635
1219,-12919,9810,30169,-67.48,2463300,0.04,0.12,11.1535,66.8011,2.99,1.82,1219,福壽,1987047,2054939,-3.3,33993,41504,-17521
1220,-10885,-22789,-706,+++++,1790779,-0.13,(<<<<<),11.9348,72.7276,2.11,1.38,1220,台榮,914389,878102,4.13,-4842,-7490,-23123
