year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200901,1773.0,1335000.0,20.4313,2.4,75.0283,98781.0,-7183.0,935174.0,66330.0,1.55,
200902,1773.0,1335000.0,19.89,1.94,71.7469,249606.0,19378.0,2075196.0,198497.0,1.32,
200903,1773.0,1335000.0,20.79,1.95,70.7221,408272.0,25123.0,3332133.0,323623.0,1.23,
200904,1773.0,1335000.0,21.9,2.1713,73.4135,532495.0,70047.0,4686749.0,460564.0,1.2824000000000002,
201001,1773.0,1335000.0,22.99,1.95,70.9523,175178.0,7911.0,1363981.0,147515.0,1.05,
201002,1773.0,1335000.0,21.99,1.64,69.0546,353606.0,61434.0,3077997.0,339998.0,1,
201003,1773.0,1335000.0,22.92,1.95,73.2253,505691.0,67826,4681110.0,472448.0,1.2,
201004,1773.0,1335000.0,24.23,2.1472,74.3607,660626.0,113531,6390388.0,650241.0,1.1732,
201101,1773.0,1335000.0,25.28,2.36,75.6848,147080.0,17227.0,1749036.0,138265.0,1.32,
201102,1773.0,1335000.0,22.38,1.69,68.7995,298207.0,57158,3359771.0,292229.0,0.94,
201103,1773.0,1335000.0,23.23,1.81,70.14,391429.0,76314,5021863.0,387535.0,0.98,
201104,1773.0,1335000.0,23.97,2.1909,75.497,450785.0,128306,6594872.0,484178.0,1.3057,
201201,1773.0,1335000.0,24.93,2.28,75.7944,155887.0,8538,1667770.0,137734.0,1.41,
201202,1773.0,1335000.0,23.44,1.77,70.5404,280121.0,63490,3346214.0,282912.0,1.01,
201203,1773.0,1335000.0,24.36,1.96,72.491,424852.0,71360,4964012.0,411176.0,1.13,
201204,1773.0,1335000.0,25.35,2.3312,77.1058,545420.0,106426,6524845.0,542614.0,1.3931,
201301,1773.0,1335000.0,26.21,2.64286756687195,76.8916571581277,130264.0,33229,1577084.0,137876.0,1.51775778304327,
201302,1773.0,1335000.0,24.24,1.84605001731649,69.8352447571159,269647.0,62735,3216932.0,271586.0,1.1255172162374,
201303,1773.0,1335000.0,25.24,1.90821661908434,69.9566779778129,413773.0,83108,4997482.0,409178.0,1.13429394611334,
201304,1773.0,1335000.0,26.45,2.01670076633988,71.1046725264946,559906.0,96023,6716622.0,541150.0,1.09509096818117,
201401,1773.0,1335000.0,27.35,2.26330786325307,73.94792720062429,120890.0,26307,1749982.0,123447.0,1.23075486823546,
201402,1773.0,1500000.0,26.12,1.93177605641456,70.4928391284583,243976.0,41758,3536537.0,238641.0,1.04736777190605,
201403,1773.0,1500000.0,24.39,2.03020405250396,71.584273237013,402428.0,66718,5482071.0,390244.0,1.16959351376567,469146.0
201404,1773.0,1500000.0,25.37,2.45415983182033,76.2664195558498,529073.0,94606.0,7283315.0,524255.0,1.3636432589453,623679.0
201501,1773.0,1500000.0,26.23,2.8028627888123196,78.31254239933241,149786.0,12565.0,1625921.0,135634.0,1.7532301378192099,162351.0
201502,1773.0,1500000.0,24.58,2.09371000448404,72.4263908576314,327556.0,23522.0,3306908.0,288838.0,1.2678040748452801,351078.0
201503,1773.0,1500000.0,25.85,2.66572966719605,77.9292093135252,452829.0,89861,4940369.0,449169.0,1.76381143985022,542690.0
201504,1773.0,1500000.0,26.76,3.0887565619583,79.4732238351247,627406.0,116509,6498135.0,611908.0,2.17214580486509,743915.0
201601,1773.0,1500000.0,27.8,3.37659434739164,83.6861216098664,209420.0,-6286,1471508.0,168397.0,2.37329582599294,203134.0
201602,1773.0,1500000.0,26.03,2.25148493006811,75.9472863911342,446729.0,8812,2982843.0,370983.0,1.60762107593269,455541.0
201603,1773.0,1500000.0,27.22,2.66167028150679,79.2000252953975,672782.0,18790,4513337.0,570283.0,1.92903358742744,691572.0
