stock,95年1-12月,稅後純益,95年1-12月,增減(%),期末股本,稅後純益,95年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,95年1-12月,增減(%),營業利益,95年1-12月,營業外
01,12156533,20383504,18435269,10.57,86260030,2.47,2.23,24.4635606979916,74.3371526282255,1.56549915767749,0.653594283069193,01,水泥類,48107097,50830231,-5.36,4455509,6728195,17147264
1101,3699281,8255133,6877643,20.03,32486372,2.55,2.17,25.5,75.5695,1.6,1.3608000000000002,1101,台泥,24564712,26067527,-5.77,2244930,3244227,6394203
1102,5364173,10100422,7206555,40.16,27346909,3.69,2.64,26.45,74.3113,1.14,0.7363,1102,亞泥,10745510,10811363,-0.61,1733252,2370737,8750967
1103,2739604,979821,2734749,-64.17,6736871,1.8,5.27,30.84,70.1727,1.86,1.7916999999999998,1103,嘉泥,2864024,2710729,5.66,115348,140639,1188026
1104,439375,402663,634927,-36.58,5591592,0.72,1.13,20.31,69.3324,1.53,1.0038,1104,環泥,2783970,3194002,-12.84,-123165,-38840,524907
1108,-45201,127263,271168,-53.07,4047380,0.31,0.67,10.76,53.7754,0.86,0.5494,1108,幸福,3274516,3890660,-15.84,83432,318511,37845
1109,59534,249627,642447,-61.14,4290898,0.58,1.5,14.44,90.6044,9.75,8.4717,1109,信大,1964710,2285844,-14.05,269550,467654,78109
1110,-100233,268575,67780,296.25,5760008,0.47,0.12,14.72,84.8471,2.58,1.3452000000000002,1110,東泥,1909655,1870106,2.11,132162,225267,173207
02,2643650,15969948,6765279,136.06,86324067,1.91,0.81,16.2571008093537,65.7484117335249,1.41621658925316,0.743269984484832,02,食品類,151398203,131473788,15.15,6203815,4715259,10658158
1201,-229822,451084,449430,0.37,5060629,0.89,0.89,8.84,43.7784,1.05,0.6463,1201,味全,10928712,10574005,3.35,598660,702094,-146162
1203,-209105,10472,-138506,,2092537,0.12,-0.75,15.73,56.336,1.04,0.18,1203,味王,1793420,1704373,5.22,37049,53796,-12591
1210,535775,1083841,811318,33.59,4218966,2.8,2.28,21,63.4018,1.53,0.8691,1210,大成,17800905,14723255,20.9,585599,413037,658169
1213,4248,5555,-955,,514751,0.11,-0.02,11.27,73.7758,2.32,2.1347,1213,大飲,665683,731068,-8.94,-8299,-3030,15810
1215,-12569,297060,157561,88.54,2320268,1.28,0.68,11.59,66.5521,2.1,1.1455,1215,卜蜂,11031498,8544959,29.1,451366,200583,-67967
1216,2150834,11016987,3607081,205.43,35553733,3.1,1.01,17.78,66.3167,1.08,0.5932999999999999,1216,統一,46025940,42844649,7.43,1659204,1588441,9362318
1217,-365161,-239427,-257080,,3776893,-0.63,-0.69,9.42,47.4156,0.69,0.4017,1217,愛之味,4210399,4517078,-6.79,-92430,45241,-227153
1218,-106300,50043,-80830,,3202434,0.17,-0.27,11.69,46.926,1.75,0.9984000000000001,1218,泰山,5931696,4659040,27.32,177452,56241,-135427
1219,17256,169255,95251,77.69,2663184,0.63,0.36,13.11,63.7808,3.12,2.0295,1219,福壽,7620849,5575579,36.68,237077,110102,-7030
1220,14406,-34774,90363,,1770779,-0.2,0.51,9.7,70.6211,2.3,1.5323,1220,台榮,2647364,2405270,10.07,4549,39044,-29813
1225,-64428,183350,-26272,,1627000,1.13,-0.16,12.37,45.3994,1.1,0.7676999999999999,1225,福懋油,7934600,5535000,43.35,223785,26352,3806
1227,-205970,381168,247712,53.88,3209184,1.2,0.78,14.23,74.8479,2.05,0.9365000000000001,1227,佳格,6730825,5925441,13.59,847099,560447,-310853
1229,1198649,1482143,1200983,23.41,7091616,2.09,1.78,22.4,86.1265,1.53,0.7646,1229,聯華,2966792,2223964,33.4,162983,24447,1370281
1231,-80337,81057,47932,69.11,1154190,0.7,0.42,14.68,62.1762,2.47,1.0298,1231,聯華食,3448183,3248386,6.15,207399,138104,-100343
1232,42015,514257,382464,34.46,1599749,3.21,2.39,16.09,71.6774,1.83,1.1777,1232,大統益,12658402,9467379,33.71,719018,456439,-26145
1233,3499,132393,144627,-8.46,905919,1.49,1.65,13.42,70.8703,1.9,1.1473,1233,天仁,1786789,1708752,4.57,164699,159628,-12006
1234,74936,149888,113507,32.05,5358281,0.28,0.21,17.38,88.5909,3.53,2.8761,1234,黑松,3096925,3203507,-3.33,89161,53521,140727
1235,15581,75900,14224,433.61,450898,1.75,0.33,16.66,72.933,2.87,2.4228,1235,興泰,523735,628296,-16.64,-24440,-1057,107723
1236,-84248,139601,47944,191.18,811726,1.72,0.59,13.88,59.92,1.16,0.7309,1236,宏亞,1995475,1801006,10.8,231232,177695,-46218
1702,-55609,20095,-141475,,2941330,0.08,-0.58,9.96,50.1465,1.94,1.15,1702,南僑,1600011,1452781,10.13,-67348,-85866,121032
03,76733693,165445133,118628026,39.47,261315463,6.37,4.56,35.0855381765784,69.4545045460506,2.39656941366634,0.601119626134196,03,塑膠類,796182328,634112002,25.56,85882004,49963545,95747484
1301,21153537,47810639,30889316,54.78,57204716,8.36,5.4,43.58,73.203,2.96,2.5066,1301,臺塑,181606814,147458205,23.16,18463012,10956369,32226093
1303,34483601,59046642,47501265,24.31,76235909,7.75,6.23,37.84,69.0285,2.16,1.6655000000000002,1303,南亞,228699995,181652407,25.9,36743637,17574588,30566037
1304,267509,1462968,595894,145.51,7714032,2.01,0.82,17.24,73.4273,3.51,2.8158999999999996,1304,臺聚,11914045,8799916,35.39,1130312,347951,469233
1305,-119789,46566,63545,-26.72,4248035,0.11,0.15,11.35,49.1678,2.43,1.9747,1305,華夏,8748669,7399648,18.23,197989,200085,-141539
1307,434381,514942,438177,17.52,2504083,2.06,1.75,15.17,57.594,0.93,0.4378,1307,三芳,4743930,4183160,13.41,13816,14057,515675
1308,253399,785693,368206,113.38,2609316,3.01,1.41,23.91,84.7088,3.66,3.0937,1308,亞聚,6061111,4549982,33.21,759536,182817,241562
1309,104150,212001,107676,96.89,2705005,0.78,0.4,16.29,58.3377,1.57,0.9768000000000001,1309,臺達化,10425462,8693528,19.92,28191,2687,238457
1310,-51394,386046,455164,-15.19,5889693,0.76,0.89,16.05,80.0795,1.62,1.1996,1310,台苯,16875475,12795145,31.89,509879,642792,15308
1312,147906,1186191,894721,32.58,7326891,1.82,1.4,15.22,53.8761,1.8,1.4377000000000002,1312,國喬,17516744,14064313,24.55,611606,789165,609874
1313,1765517,1954642,1747272,11.87,8048257,2.47,2.23,18.29,74.2162,2.17,1.012,1313,聯成,7594778,6328579,20.01,468844,403867,1861931
1314,58492,2867651,1778323,61.26,16899995,1.7,1.05,13.94,51.7433,2.18,1.3311000000000002,1314,中石化,36049347,32371683,11.36,2912638,1822756,249123
1315,127078,352802,276436,27.63,2295000,1.59,1.25,28.99,84.5476,6.91,5.683,1315,達新,3610969,3326313,8.56,210740,178238,185118
1316,73808,8851,42793,-79.32,701661,0.13,0.61,11.79,88.6168,3.83,2.8106999999999998,1316,上曜,359369,324817,10.64,-16322,-28684,25494
1319,-38861,993179,632061,57.13,4259475,2.41,1.53,20.41,62.7623,1.09,0.8249,1319,東陽,8534687,7568816,12.76,994952,764221,130356
1321,-640346,-228940,-24836,,2272282,-1.04,-0.11,13.1,64.7499,1.58,0.7781999999999999,1321,大洋,5697112,5240565,8.71,156997,213756,-341502
1323,9157,72313,47991,50.68,750918,0.97,0.64,13.66,53.1523,1.5,0.9737,1323,永裕,1282354,1242538,3.2,37122,42770,46295
1324,12685,-33784,-10947,,751219,-0.45,-0.14,11.54,74.0696,2.04,1.3822,1324,地球,1239918,1153738,7.47,-22448,-28693,6464
1325,2957,105612,31697,233.19,891110,1.19,0.36,14.2,88.7949,7.55,5.6238,1325,恒大,1110779,901424,23.22,105570,63740,11759
1326,18584950,47692651,32478349,46.84,55247302,8.63,5.88,47.12,69.4458,2.35,1.7772999999999999,1326,臺化,240005159,181980850,31.88,22465859,15592245,28719278
1715,104956,208468,314923,-33.8,2760564,0.82,1.22,16.77,62.9698,1.24,0.8778,1715,亞化,4105611,4076375,0.72,110074,228818,112468
04,14700233,25003954,14542837,71.93,189725462,1.34,0.78,16.4132901347488,65.5094529823697,1.56688224187521,0.662578490154106,04,紡織纖維類,273940806,242896796,12.78,7037498,1310294,19432594
1402,8728555,11367097,8337183,36.34,44803469,2.54,1.86,20.52,63.1524,1.7,1.166,1402,遠紡,49153990,39629540,24.03,1036402,-418582,10237412
1409,455766,638117,152943,317.23,14540738,0.46,0.12,12.5,54.1936,1.37,0.807,1409,新纖,25418739,23423723,8.52,511977,-307738,107814
1410,31279,13637,297,+++++,900000,0.15,(<<<<<),12.68,81.4735,6.66,6.119299999999999,1410,南染,342454,369798,-7.39,-18428,-8738,31839
1413,11171,23700,-216429,,2836457,0.08,-0.77,6.58,55.5833,1.07,0.3,1413,宏洲,4905733,4185697,17.2,50257,-214799,24292
1414,13796,25860,-57146,,2200000,0.12,-0.26,8.19,35.8017,0.59,0.1832,1414,東和,4259436,3928790,8.42,135916,-70942,-110056
