stock,89年1-12月,稅後純益,89年1-12月,增減,期末股本,稅後純益,89年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-12月,增減,營業利益,89年1-12月,營業外
11,-1852895,-758138,-2271547,,79637643,-0.1,-0.29,14.7969116815775,52.5727620129717,1.11559460264744,0.773923213560813,11,水泥類,41561170,45212153,-8.08,-1658173,-361769,988622
1101,1232110,190575,1081640,-82.38,26073866,0.07,0.46,16.9298,45.0297,1.17,0.74,1101,台泥,20244735,17965395,12.69,-285833,34530,509408
1102,-553232,301930,175721,71.82,20383904,0.15,0.09,16.268,61.6696,1.23,0.89,1102,亞泥,9958340,10905103,-8.68,163769,728953,190733
1103,-728729,34013,-434331,,6996391,0.05,-0.62,14.4321,45.5027,1.25,1.12,1103,嘉泥,2291102,2850264,-19.62,72842,230294,-58791
1104,110704,-163101,59922,,3933004,-0.41,0.14,17.7166,57.4489,0.84,0.42,1104,環泥,2309570,2917390,-20.83,-313203,-63833,148242
1107,-1418810,-788417,-2597500,,8409598,-0.94,-3.09,8.1175,49.382,0.95,0.37,1107,建台,2051458,5104253,-59.81,-846370,-1190783,229702
1108,-341684,-268540,-437293,,4047380,-0.66,-1.08,10.0669,49.7974,0.54,0.36,1108,幸福,2354732,2760029,-14.68,-350254,-148280,-30549
1109,139461,30708,161162,-80.95,4207140,0.07,0.38,12.4932,87.9422,3.39,2.85,1109,信大,1057203,1377039,-23.23,-49741,66826,73489
1110,-292715,-95306,-280868,,5586360,-0.17,-0.5,13.0921,72.8357,1.21,0.69,1110,東泥,1294030,1332680,-2.9,-49383,-19476,-73612
12,-505314,443332,1352660,-67.23,99714589,0.04,0.14,11.0955956505021,50.9654653876468,0.993315010463473,0.580254898353647,12,食品類,128938039,128895685,0.03,1946603,2112810,-1077911
1201,-446767,-391424,3399,,5060629,-0.77,<<<<<,7.1763,30.1041,0.75,0.54,1201,味全,9173904,9728743,-5.7,235725,450166,-627149
1203,-359580,-117528,-460225,,2092537,-0.56,-2.2,10.6703,34.5378,0.75,0.29,1203,味王,2443315,3291971,-25.78,-4782,-46645,-83046
1204,-12957,-98454,-49630,,600000,-1.64,-0.83,7.5112,51.7963,1.25,0.55,1204,津津,726069,900100,-19.33,-46221,-37574,-52233
1207,-525449,-1926757,-759196,,12842278,-1.5,-0.59,9.062,33.2263,0.63,0.17,1207,嘉食化,8848062,9723348,-9,-506545,-369297,-1571878
1210,111478,468381,491593,-4.72,4521389,1.04,1.14,12.3943,60.9345,1.33,0.8,1210,大成,13525154,12346676,9.54,448321,420588,65095
1212,-528321,-293191,-793244,,2731664,-1.07,-2.9,5.4981,22.2096,0.55,0.36,1212,中日,5713920,5021963,13.78,-29311,-264923,-263880
1213,25809,6030,15673,-61.53,389963,0.15,0.4,14.5235,81.6235,2.36,1.55,1213,大飲,625235,646246,-3.25,-7894,-9491,17373
1215,-250980,121818,101352,20.19,2300268,0.53,0.45,11.4216,61.2211,1.94,1.2,1215,卜蜂,11524198,12036242,-4.25,218378,362686,-112334
1216,2893836,3013760,3385195,-10.97,33476572,0.9,1.07,12.6307,58.5939,1.55,1.03,1216,統一,33348556,32159019,3.7,162274,355890,2878612
1217,-350427,-206682,-242293,,3639628,-0.57,-0.67,9.2061,49.0319,0.94,0.52,1217,愛之味,2985523,2706929,10.29,96749,86425,-336552
1218,-133356,-117367,36495,,3232980,-0.36,0.11,10.0145,48.4544,1.1,0.68,1218,泰山,4245747,4519212,-6.05,102489,212402,-161856
1219,-29115,34279,28485,20.34,2463300,0.14,0.12,11.2676,66.3808,2.2,1.42,1219,福壽,3968030,4103018,-3.29,66467,52823,-11201
1220,44356,-49981,51778,,1770779,-0.28,0.29,11.8463,73.273,1.85,1.2,1220,台榮,1861148,1839932,1.15,19292,-11832,-39067
1221,141979,384986,191373,101.17,1760000,2.19,1.21,12.8534,51.9527,1.44,1.16,1221,久津,5327355,2029015,162.56,352109,78394,85977
1222,-370320,-368760,-813675,,469215,-7.86,-6.34,2.1444,7.0446,0.05,0.04,1222,源益,367589,846525,-56.58,-98557,-289933,-270034
1224,-430180,-387591,-418907,,949421,-4.08,-4.41,0.9615,5.9439,0.35,0.17,1224,惠勝,2788888,3799636,-26.6,-69075,11496,-247699
