stock,100年1-3月,稅後純益,100年1-3月,增減(%),期末股本,稅後純益,100年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,100年1-3月,增減(%),營業利益,100年1-3月,營業外
01,4017642,3698868,3915812,-5.54,95848235,0.39,0.41,24.4856595429222,79.3209405581679,2.13093909589592,1.68781726295093,01,水泥類,10998717,10939669,0.54,432740,14617,3391777
1101,1272239,1468039,1320057,11.21,36921759,0.4,0.36,26.77,91.7253,2.81,2.29,1101,台泥,5567641,5834409,-4.57,354540,102818,1194960
1102,2247188,1660653,2227245,-25.44,31368137,0.53,0.72,28.06,70.5527,2.27,1.86,1102,亞泥,2772752,2431250,14.05,72650,31221,1593997
1103,406527,200036,334269,-40.16,7542024,0.32,0.55,25.99,65.6803,1.1,1.03,1103,嘉泥,273764,430353,-36.39,-41060,-42100,245138
1104,127291,144453,122120,18.29,6038919,0.24,0.2,21.67,86.8399,2.24,1.71,1104,環泥,843587,839539,0.48,4980,-6858,140975
1108,-41870,120551,-76582,,4047380,0.3,-0.19,10.45,54.1754,1.13,0.63,1108,幸福,768318,738237,4.07,671,-49473,133039
1109,-4683,15738,-34538,,4210008,0.04,-0.08,14.06,90.2648,6.43,4.6,1109,信大,390832,313034,24.85,17396,-35933,2520
1110,10950,89398,23241,284.66,5720008,0.16,0.04,14.63,90.9567,2.46,1.16,1110,東泥,381823,352847,8.21,23563,14942,81148
02,2824914,4657796,4740153,-1.74,102566286,0.45,0.49,17.4728629639568,67.3537863355606,1.60773024989099,0.931029129709456,02,食品類,44718900,46097604,-2.99,1836887,2350331,3212190
1201,-13256,245934,219999,11.79,5060629,0.49,0.43,15.65,48.7959,1.62,1.12,1201,味全,3382155,3101970,9.03,279894,241547,17220
1203,23326,-16300,30246,,2400000,-0.07,0.13,16.76,76.3728,1.67,0.83,1203,味王,485297,521068,-6.86,34712,18693,-43860
1210,226813,240077,360490,-33.4,5247491,0.49,0.79,22.76,65.1941,1.19,0.64,1210,大成,5727546,5719614,0.14,122317,177545,135652
1213,-59,7613,-3701,,514751,0.15,-0.07,12.27,79.6147,2.73,2.47,1213,大飲,170239,151731,12.2,8730,-2449,-576
1215,11569,8542,35288,-75.79,2320268,0.04,0.15,20.41,56.8598,1.26,0.61,1215,卜蜂,3707581,3554377,4.31,-5535,32331,15095
1216,1896339,3030843,2274128,33.27,45443686,0.67,0.53,16.85,67.0402,1.16,0.7,1216,統一,11212653,12311216,-8.92,429947,460670,2670360
1217,27899,2006,32632,-93.85,4976893,(<<<<<),0.07,10.81,56.0767,1.65,1.22,1217,愛之味,677891,755140,-10.23,5786,5543,-1720
1218,85539,-72948,13384,,3430447,-0.22,0.04,11.38,50.2922,1.95,0.99,1218,泰山,1733500,1775463,-2.36,-43655,-65559,-28836
1219,-2689,-31816,13893,,2924260,-0.11,0.05,13.55,64.0713,3.3,1.81,1219,福壽,2346672,2295243,2.24,-38898,20977,6810
1220,5325,29146,45350,-35.73,1770779,0.16,0.26,11.45,80.5266,6.12,2.99,1220,台榮,639516,682237,-6.26,17095,42028,16428
1225,4842,-9690,42035,,1819087,-0.05,0.24,12.45,47.6986,2.1,0.99,1225,福懋油,2307999,2259337,2.15,5348,44088,-15828
