stock,90年1-3月,稅後純益,90年1-3月,增減,期末股本,稅後純益,90年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,90年1-3月,增減,營業利益,90年1-3月,營業外
11,779563,-449031,236690,,79284643,-0.06,0.03,15.1449576433106,53.3251932605583,1.10459456697917,0.814602206810443,11,水泥類,11009695,10171420,8.24,134233,-543684,-360392
1101,468666,-655429,178670,,26073866,-0.25,0.08,18.0401,47.9095,1.16,0.95,1101,台泥,5633185,4657329,20.95,-52591,-252496,-601838
1102,192895,445702,251071,77.52,20383904,0.22,0.12,16.5591,60.4408,1.11,0.82,1102,亞泥,2724174,2387345,14.11,201068,58481,270637
1103,-52831,101618,-20105,,6996391,0.15,-0.03,13.1412,43.1866,1.31,1.16,1103,嘉泥,665148,609741,9.09,73210,31017,59600
1104,-26779,-42412,-99406,,3580004,-0.12,-0.25,19.6628,57.9254,0.79,0.34,1104,環泥,571104,595896,-4.16,-55621,-72505,19192
1107,61331,-316612,-83110,,8409598,-0.38,-0.1,7.7497,48.3967,0.92,0.35,1107,建台,10439,835832,-98.75,-92512,-146609,-69881
1108,58854,-31562,-24352,,4047380,-0.08,-0.06,9.9889,48.5485,0.62,0.37,1108,幸福,653905,533811,22.5,-2923,-113736,-37842
1109,13663,17879,-4225,,4207140,0.04,-0.01,12.5357,85.3875,2.79,2.4,1109,信大,337413,255666,31.97,25753,-22438,-515
1110,63764,31785,38147,-16.68,5586360,0.06,0.07,12.9197,74.1053,1.23,0.63,1110,東泥,414327,295800,40.07,37849,-25398,255
12,-306717,142951,581673,-75.42,100662555,0.01,0.06,10.8610428177588,50.4776608275608,1.03163600703441,0.602323689230506,12,食品類,31622022,31116494,1.62,585778,984488,-295512
1201,185905,-64288,205914,,5060629,-0.13,0.41,6.6479,28.055,0.75,0.53,1201,味全,1872070,1955433,-4.26,43727,20009,-108015
1203,4242,16673,18816,-11.39,2092537,0.08,0.09,10.6912,34.784,0.67,0.27,1203,味王,460778,695500,-33.75,25749,14574,-9076
1204,1571,-317,-18736,,600000,(<<<<<),-0.31,7.506,49.5792,1.26,0.64,1204,津津,137922,179584,-23.2,-9704,-19372,9387
1207,-386119,-486104,-397069,,12842278,-0.38,-0.31,8.7325,32.5336,0.63,0.17,1207,嘉食化,2285151,2295188,-0.44,-72775,-41530,-439559
1210,8378,71543,128351,-44.26,4521389,0.16,0.3,10.6913,58.2044,1.16,0.64,1210,大成,3472931,3415143,1.69,59244,140036,12052
1212,-51565,135569,-65896,,2731664,0.5,-0.24,5.2374,22.3336,0.58,0.36,1212,中日,1372361,1222804,12.23,12171,-14331,123398
1213,6307,5489,3196,71.75,389963,0.14,0.08,14.6642,80.7336,2.37,1.64,1213,大飲,143731,157463,-8.72,-184,-2059,9162
1215,-34070,13313,66002,-79.83,2300268,0.06,0.29,11.479,62.7168,2.04,1.21,1215,卜蜂,2784853,3070111,-9.29,10881,124892,2493
1216,-41570,210878,328615,-35.83,33476572,0.06,0.1,12.3452,57.4032,1.54,1.07,1216,統一,7740195,7969982,-2.88,115868,342309,130957
1217,-5518,-62987,11787,,3639628,-0.17,0.03,9.0268,48.3083,0.85,0.45,1217,愛之味,713234,645748,10.45,-35161,11591,-27826
1218,-43065,11456,10652,7.55,3232980,0.04,0.03,9.038,45.3003,1.17,0.73,1218,泰山,1005879,983118,2.32,50537,63456,-30581
1219,-10321,8182,-6069,,2463300,0.03,-0.02,11.1532,68.1408,2.31,1.55,1219,福壽,970048,998734,-2.87,2894,21233,4637
1220,-3969,-32815,-17916,,1770779,-0.19,-0.1,11.661,76.1546,2.08,1.24,1220,台榮,375910,429855,-12.55,-31269,-4213,-3690
1221,32965,76515,90803,-15.74,2707966,0.28,0.58,13.9244,54.7915,1.75,1.14,1221,久津,1938384,923802,109.83,129999,58938,-14484
1222,-11922,-36293,-58871,,469215,-0.77,-0.46,1.3709,4.6515,0.03,0.03,1222,源益,68495,90455,-24.28,-13350,-46780,-22943
1224,-19004,3776,-1375,,949421,0.04,-0.01,0.7781,4.9564,0.34,0.22,1224,惠勝,643040,947186,-32.11,5633,20734,-1857
1225,-16486,-5809,4398,,1995418,-0.03,0.02,10.0179,61.3113,1.1,0.61,1225,福懋油,925442,812104,13.96,6344,20884,-12153
1226,-48645,-70113,-76643,,2320000,-0.3,-0.33,2.8677,21.1973,0.25,0.03,1226,立大,74079,165734,-55.3,-50120,-27998,-19993
