year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 2381 華宇      ,5858000,19.66,1.73,50.92,662793,4169,13101535,604413,0.94
200002,2381,8908000.0,13.4289,1.85,54.1727,1365863.0,-146990.0,26072246,1127003,1.03
200003,2381,9608000,17.6888,2.04,56.8126,2344347,-99397,40881055,2095451,1.18
200004,2381,9608000,18.8484,2.58,71.9761,2944925,438607,50373599,3167122,1.36
200101,2381,9608000,18.9928,2.84,74.7755,281610,-130208,7204730,149424,1.55
200102,2381,11200000,15.5808,2.65,71.6166,507370,-6718,15944828,338715,1.65
200103,2381,11200000,15.4565,4.51,83.0832,578657,88063,21303242,556351,2.67
200104,2381,11200000,14.7446,2.34,66.6465,872276,29928,31514777,730704,1.54
200201,2381,11200000,15.0961,2.25,65.5357,416085,72145,12145410,457246,1.48
200202,2381.0,12265325,14.1245,2.03,64.7925,730452.0,-72197.0,22920022.0,660077,1.26
200203,2381.0,12287785.0,14.0,2.1,55.8031,693208.0,-190154.0,37464775.0,536519,1.48
200204,2381.0,12287785,13.9082,2.19,56.8833,695685.0,-408138.0,55162985.0,452362,1.61
200301,2381.0,12287785,13.825,2.59,61.6033,-293467.0,172837.0,8205297.0,4513,1.84
200302,2381.0,11516034,14.5335,2.43,61.6839,-516214.0,326263.0,18172098.0,-93562,1.83
200303,2381.0,11523053,14.1744,2.25,72.6232,-846798.0,195831.0,22095439.0,-552403,1.48
200304,2381.0,11523053,13.9401,2.18,72.6983,-1036679.0,39529.0,26240105.0,-902026,1.47
200401,2381.0,11523053,13.4819,2.09,72.0738,-108415.0,-259054.0,3683499.0,-324519,1.41
200402,2381.0,11523053,12.7806,2.22,75.0245,-490895.0,-270993.0,6707614.0,-718938,1.52
200403,2381.0,10862843,12.3749,3.79,72.2578,-779470.0,-551263.0,10948912.0,-1287118,2.38
200404,2381.0,10862843,12.85,2.17,64.2772,-1048317.0,-915572.0,18102507.0,-1919741,1.5
200501,2381.0,10862843,12.64,1.95,62.6228,3262.0,-185674.0,6862455.0,-182412,1.07
200502,2381.0,10862842,11.91,2.07,62.6717,-193728.0,-614718.0,11869903.0,-808446,1.06
200503,2381.0,10862843,11.77,2.07,63.5642,-446014.0,-613644.0,16359930.0,-1059658,1.0
200504,2381.0,10862842.58,10.96,2.18,,-624020.0,-1137919.0,21181370.0,-1761939,1.35
200601,2381.0,10862843,11.08,2.32,68.4867,-215253.0,77997.0,4853348.0,-137256,1.35
200602,2381.0,10735553,10.66,2.1,,-338001.0,-339267,8575918.0,-677268,1.38
200603,2381.0,10735553.0,10.12,1.61,70.743,-439174.0,-795834,11500278.0,-1235008.0,0.91
200604,2381,10735553.0,9.35,1.5,67.6043,-452070.0,-1587411,14619218.0,-2045158.0,0.93
200701,2381,10735553.0,8.85,1.65,63.9318,-134015.0,-235227,4069596.0,-369242.0,1.15
200702,2381,10735553.0,8.26,1.44,,-245085.0,-742749,8549199.0,-987834.0,1.01
200703,2381,10735553.0,7.48,1.56,,-239038.0,-1465185,13984399.0,-1704223.0,0.92
200704,2381,9992543.0,6.34,1.2409000000000001,56.247,-178113.0,-2546041,17948619.0,-2784154.0,1.1
200801,2381,9992543.0,6.42,1.38,56.034,-90862.0,557686,3619820.0,144664.0,1.23
200802,2381,9992543,5.72,1.14,58.4912,-189062,357443,5573688,-399185,1.11
200803,2381,9992543,5.14,0.86,67.1201,-330646,80328,5583074,-818512,0.81
200804,2381,5177029,7.42,0.74,66.0895,-464338,-681806,5590505,-1721954,0.7269
200901,2381,5177029,7.09,1.05,65.0334,-69644,-148415,2287,-218059,0.83
