stock,94年1-6月,稅後純益,94年1-6月,增減(%),期末股本,稅後純益,94年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,94年1-6月,增減(%),營業利益,94年1-6月,營業外
1312,-122402,495344,-149315,,6598242,0.77,0.25,10.8,48.8169,1.13,0.61,1312,國喬,6245967,6557462,-4.75,330792,-64264,193260
1313,183057,722500,378925,90.67,7618538,0.97,0.5,14.99,74.1828,1.57,0.75,1313,聯成,3103077,3230134,-3.93,163411,288163,708786
1314,-1054251,1186610,947678,25.21,16899995,0.7,0.56,11.43,44.1254,1.71,1.06,1314,中石化,15355284,15225235,0.85,962335,1854242,190195
1315,-36302,51980,34795,49.39,2295000,0.23,0.15,21.87,74.4537,3.33,0.94,1315,達新,1632963,1606135,1.67,80267,77830,-15984
1316,-22944,40288,-47047,,701661,0.57,-0.67,11.42,73.0143,0.75,0.31,1316,上曜,169298,211613,-20,-9845,-17450,50110
1319,46945,324300,455809,-28.85,4135413,0.81,1.15,18.09,61.036,1,0.71,1319,東陽,3700172,3741504,-1.1,398871,476064,7805
1321,147597,80969,146915,-44.89,2272282,0.38,0.73,15.27,72.012,1.9,0.65,1321,大洋,2603491,2347376,10.91,167916,14365,-483181
1323,11602,30072,26449,13.7,750918,0.4,0.36,12.61,54.4852,1.37,0.83,1323,永裕,575900,566918,1.58,8539,8432,25057
1324,-5998,-5819,6769,,751219,-0.07,0.09,12.17,71.4151,2.18,1.39,1324,地球,516657,568270,-9.08,-17380,15532,11416
1325,-143,21870,3582,510.55,891110,0.25,0.04,13.13,88.1333,5.58,2.24,1325,恒大,440618,390255,12.91,38114,11856,2223
1326,13941960,11384072,23465323,-51.49,55247302,2.06,4.25,32.34,62.1093,1.31,0.22,1326,臺化,83625252,78759801,6.18,6042570,9523363,6018441
6505,-312174,17370292,30827379,-43.65,92485045,1.88,3.36,20.91,44.4709,1.1,0.52,6505,台塑化,256550730,201010005,27.63,24748761,32575894,-385972
04,3294963,6948323,2262621,207.09,187954795,0.37,0.12,13.8386648849818,61.2123122915047,1.39289588163499,0.592628844568191,04,紡織纖維類,118418616,112575396,5.19,313454,-280043,7593774
1402,4753302,4635441,4462571,3.87,43498513,1.13,1.09,18.7,60.2033,1.56,1.01,1402,遠紡,18473102,18777252,-1.62,-44949,-290731,4668671
1409,-114586,558764,-288400,,13253409,0.42,-0.22,13.07,51.7912,1.13,0.58,1409,新纖,11916918,10291614,15.79,-161750,-141404,843913
