stock,90年1-6月,稅後純益,90年1-6月,增減,期末股本,稅後純益,90年1-6月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,90年1-6月,增減,營業利益,90年1-6月,營業外
11,619811,-512228,-579376,,79773320,-0.06,-0.07,15.0734013577472,54.127427735823,1.00969629879604,0.713563884004648,11,水泥類,22977397,20392630,12.68,188117,-1085220,56614
1101,25229,-632249,-328634,,26562543,-0.24,-0.13,17.8311,48.2732,0.93,0.72,1101,台泥,11821119,9813254,20.46,77667,-316363,-703916
1102,173697,485178,211809,129.06,20383904,0.24,0.1,16.6079,61.4694,1.03,0.73,1102,亞泥,5545922,4822011,15.01,303444,108435,272586
1103,-153026,304648,-277705,,6996391,0.44,-0.4,13.3166,47.7155,1.65,1.43,1103,嘉泥,1318643,1141195,15.55,134474,16518,308625
1104,167959,172531,-9297,,3580004,0.48,-0.02,20.37,58.79,0.81,0.35,1104,環泥,1223432,1128764,8.39,-89501,-193567,264206
1107,422178,-1053424,60334,,8409598,-1.25,0.07,6.8223,45.2747,0.64,0.17,1107,建台,32011,1343612,-97.62,-443511,-395857,-124344
1108,-44535,41796,-187100,,4047380,0.1,-0.46,10.1701,49.0918,0.64,0.4,1108,幸福,1482375,1072249,38.25,35317,-222918,6402
1109,47732,69557,8147,753.77,4207140,0.17,0.02,12.5535,84.6821,2.67,2.28,1109,信大,740950,504898,46.75,84477,-38859,13569
1110,-19423,99735,-56930,,5586360,0.18,-0.1,13.0392,74.7921,1.41,0.78,1110,東泥,812945,566647,43.47,85750,-42609,19486
12,-154720,112203,556644,-79.84,101924293,0.01,0.06,10.4487210914477,49.0481954945224,0.966115744254462,0.566616295956245,12,食品類,65424277,62625702,4.47,1441818,1082121,-1025190
1201,-86418,30508,-27843,,5060629,0.06,-0.06,6.8043,27.6721,0.78,0.57,1201,味全,4343276,4344150,-0.02,102520,58575,-72012
1203,-62642,1284,-38836,,2092537,<<<<<,-0.19,9.9702,33.4653,0.78,0.29,1203,味王,938843,1291178,-27.29,44127,23806,-43058
1204,-10350,-23103,-40396,,600000,-0.38,-0.67,7.1201,48.3189,1.21,0.66,1204,津津,352085,390637,-9.87,-22551,-30067,-552
1207,-758844,-879236,-825117,,12842278,-0.68,-0.64,8.3671,31.4172,0.63,0.17,1207,嘉食化,4605969,4300471,7.1,-46091,-163076,-860145
1210,-15719,128452,173057,-25.77,4521389,0.28,0.38,10.562,59.4165,1.3,0.75,1210,大成,6704264,6657755,0.7,146667,215763,-3244
1212,-140159,141857,-149191,,2731664,0.52,-0.55,5.2428,22.468,0.58,0.38,1212,中日,2786333,2814979,-1.02,21285,-9032,135506
1213,9215,2320,577,302.08,389963,0.06,0.01,14.5829,77.7574,2.15,1.58,1213,大飲,299227,310332,-3.58,-8070,-6737,12689
1215,-59608,7161,68517,-89.55,2300268,0.03,0.3,10.8556,59.5176,2.41,1.37,1215,卜蜂,5438958,5916420,-8.07,14698,142684,-10236
1216,1245758,328435,1420751,-76.88,34422458,0.1,0.42,11.6207,55.6134,1.04,0.69,1216,統一,16582023,16551937,0.18,391681,336098,-27455
1217,-104052,-68834,-78689,,3639628,-0.19,-0.22,8.9602,47.1972,0.9,0.61,1217,愛之味,1584439,1215089,30.4,25198,15349,-94032
1218,-65558,3769,-29505,,3232980,0.01,-0.09,9.0112,44.066,1.12,0.74,1218,泰山,2132722,2054678,3.8,111070,88053,-73301
1219,-17521,2701,9810,-72.47,2450260,0.01,0.04,11.0827,63.737,2.86,2.02,1219,福壽,1967732,1987047,-0.97,7933,33993,-144
1220,-23123,-39102,-22789,,1770779,-0.22,-0.13,11.6174,74.0337,1.92,1.26,1220,台榮,821987,914389,-10.11,-39826,-4842,3775
1221,119944,118397,216048,-45.2,3036800,0.39,1.23,12.3321,52.4824,1.5,0.95,1221,久津,4453896,2059274,116.28,257717,103804,-95720
1222,-49445,-88393,-119078,,469215,-1.88,-0.93,0.2606,0.8944,0.04,0.03,1222,源益,140296,188255,-25.48,-31386,-69464,-57007
1224,-162822,-10820,-286672,,949421,-0.11,-3.02,0.7807,5.1729,0.3,0.14,1224,惠勝,1144867,1450300,-21.06,1146,-53033,-11966
1225,-56121,15561,-25604,,1867870,0.08,-0.13,10.6593,61.62,1.14,0.63,1225,福懋油,1814058,1581531,14.7,16151,35242,-590
1226,-76737,-153927,-153964,,2320000,-0.66,-0.66,2.5064,18.7931,0.24,0.03,1226,立大,155631,283250,-45.06,-96500,-77227,-57427
1228,16746,-34379,-15396,,648700,-0.53,-0.15,5.0538,30.5784,0.73,0.36,1228,臺芳,517701,431746,19.91,-45263,-32137,10884
1229,124417,194367,105898,83.54,6612928,0.29,0.16,14.0963,75.2684,1.38,0.91,1229,聯華,809176,681532,18.73,9412,-16709,180530
1231,3401,41656,51083,-18.45,1154190,0.36,0.44,14.205,52.6336,1.21,0.52,1231,聯華食,1303401,796368,63.67,99369,62088,-35441
1232,1737,165972,145020,14.45,1599749,1.04,0.96,12.7065,60.5994,1.24,0.57,1232,大統益,3186408,2947053,8.12,216107,184437,617
1233,11827,51979,41591,24.98,829045,0.63,0.5,11.0555,70.7955,1.84,1.11,1233,天仁,626270,573646,9.17,69792,48200,-1036
1234,-1363,135060,68923,95.96,5358281,0.25,0.13,14.2664,63.7176,1.72,1.48,1234,黑松,1651900,1777613,-7.07,146658,111486,72402
1235,15119,32297,62512,-48.33,392037,0.82,1.67,13.9793,67.0803,3.38,2.78,1235,興泰,519266,596931,-13.01,43950,63769,3563
1236,-12402,8221,5937,38.47,631224,0.13,0.1,11.7077,59.4432,0.81,0.46,1236,宏亞,543549,509141,6.76,6024,21098,-1790
13,-693147,15562602,6783993,129.4,174945938,0.89,0.4,17.2051286495146,53.0239482069707,1.2859085473637,0.659170095384574,13,塑膠類,120567420,116192385,3.77,9427680,5214227,7248684
1301,1962782,5347399,5061818,5.64,45347335,1.18,1.19,20.3255,55.756,1.53,0.66,1301,臺塑,31440831,29908671,5.12,2948074,2039048,3053291
1303,-50838,9021416,5224040,72.69,62144795,1.45,0.9,21.3354,53.4612,1.53,0.72,1303,南亞,50252426,48688298,3.21,4570577,3952182,4559558
1304,13475,193424,-73002,,7714032,0.25,-0.09,12.3747,67.4166,4.45,2.37,1304,臺聚,2417667,2453576,-1.46,109796,-40221,136474
1305,-370142,112519,-458956,,4248035,0.26,-1.08,9.9213,46.6045,1.47,0.87,1305,華夏,3078962,3015760,2.1,-12678,-75532,124843
1306,-18439,34455,51706,-33.36,556416,0.62,1.07,12.9737,40.0156,1.26,0.72,1306,合發,838097,817733,2.49,43149,91126,-2449
1307,-43136,135277,32887,311.34,2069490,0.65,0.16,13.2498,63.13,2.31,1.55,1307,三芳,2010107,1886619,6.55,156963,100040,-17207
1308,7327,176077,-25074,,2279277,0.77,-0.11,15.923,83.9701,3.59,2.55,1308,亞聚,1236497,1227836,0.71,108985,-33736,93166
1309,-43297,48280,-88406,,2626219,0.18,-0.34,14.1833,74.257,2.07,1.22,1309,臺達化,2309981,1828518,26.33,-15849,-51536,68701
1310,39562,489300,-106228,,4851510,1.01,-0.22,10.8406,62.7432,0.92,0.48,1310,台苯,3523202,2494826,41.22,632331,-218681,-10231
1311,-46039,188639,32000,489.5,2571841,0.73,0.12,14.9549,75.7194,2.68,1.83,1311,福聚,3746130,3443205,8.8,323397,82339,-68301
1312,-865856,-127418,-1017291,,6598242,-0.19,-1.54,8.6889,38.4412,0.89,0.55,1312,國喬,3936738,3669348,7.29,461920,-169962,-634438
1313,17094,449920,-45553,,7017370,0.64,-0.06,13.1922,69.6371,1.41,0.84,1313,聯成,1714101,1648586,3.97,126591,12392,412544
1314,-1316064,-908384,-1923944,,14828689,-0.61,-1.3,9.5432,28.0373,0.31,0.17,1314,中石化,6314564,7339293,-13.96,-488172,-794508,-440910
1315,25036,48566,96752,-49.8,2415227,0.2,0.4,12.6173,63.3511,1.99,1.36,1315,達新,1385482,1551470,-10.7,60523,101780,-10976
1316,-7907,32718,-145993,,1403322,0.23,-1.04,5.8942,54.3109,0.6,0.37,1316,上曜,484595,430699,12.51,330,-9199,34466
1319,-25303,286439,130913,118.8,3977186,0.72,0.34,10.7919,49.2561,0.99,0.76,1319,東陽,2737644,2810378,-2.59,364599,219569,-25973
1321,-36019,-4390,-32884,,2080845,-0.02,-0.16,12.0118,58.2129,1.88,0.95,1321,大洋,2052671,1926672,6.54,26378,-14107,-33714
1323,10431,25531,17132,49.03,693933,0.37,0.25,12.2919,67.7207,2.18,1.66,1323,永裕,449224,421772,6.51,17979,12774,10672
1324,37895,21592,39897,-45.88,625774,0.34,0.64,13.1452,64.8439,1.97,1.62,1324,地球,496126,455397,8.94,4271,2091,-1718
1325,16291,-8758,14179,,896400,-0.1,0.16,11.9371,65.1696,6.85,5.47,1325,恒大,142375,173728,-18.05,-11484,8368,886
