stock,99年1-12月,稅後純益,99年1-12月,增減(%),期末股本,稅後純益,99年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,99年1-12月,增減(%),營業利益,99年1-12月,營業外
01,17629315,19142433,17115674,11.84,95848235,2,1.8,23.9877020166308,78.2414656764706,2.16301989836668,1.73348847747776,01,水泥類,45297059,42461166,6.68,227278,-346007,19216642
1101,8055878,8619825,8031321,7.33,36921759,2.33,2.43,26.21,89.5615,1.957,1.7196,1101,台泥,24050722,22097145,8.84,631152,107443,8080373
1102,7823513,10016249,7676310,30.48,31368137,3.19,2.5,27.53,70.0808,4.2957,3.4901,1102,亞泥,10868073,9757253,11.38,-207764,28946,10343230
1103,443579,160245,359863,-55.47,7542024,0.26,0.61,25.04,64.9927,0.9632,0.8997,1103,嘉泥,877339,1999499,-56.12,-158457,-160572,392415
1104,1287335,389711,1204183,-67.64,6038919,0.65,1.99,21.31,86.8815,2.2278,1.8795,1104,環泥,3325422,3143784,5.78,-47167,-115225,471445
1108,-47018,-140496,-190059,,4047380,-0.35,-0.47,10.16,52.5628,0.9451,0.6858,1108,幸福,3195259,2760164,15.76,-78327,-179634,-87449
1109,69735,73530,-16351,,4210008,0.17,-0.04,14.09,91.2907,8.2353,6.1093,1109,信大,1538398,1256041,22.48,25204,-87558,57837
1110,-3707,23369,50407,-53.64,5720008,0.04,0.09,14.34,87.9374,2.3502,1.2843,1110,東泥,1441846,1447280,-0.38,62637,60593,-41209
02,14693524,18440155,21332476,-13.56,102563322,1.8,2.19,16.9677986834319,66.3368055593939,1.50868579919559,0.898470667038769,02,食品類,191933099,176558690,8.71,7497998,8220699,12435844
1201,851945,685268,1632118,-58.01,5060629,1.35,3.23,15.31,48.5656,1.497,1.0133,1201,味全,13833387,13237495,4.5,773083,817493,-275
1203,81551,41248,115441,-64.27,2400000,0.17,0.49,16.84,76.6444,1.61,0.76,1203,味王,1963886,1936577,1.41,76489,64251,3016
1210,658337,1071050,1080430,-0.87,5247491,2.22,2.36,22.4,62.0851,1.0473,0.631,1210,大成,23083681,21033786,9.75,502522,554387,673788
1213,-17971,2322,-14409,,514751,0.05,-0.28,12.13,78.1507,2.4183,2.0907,1213,大飲,701809,676948,3.67,157,6538,4182
1215,143919,135758,344668,-60.61,2320268,0.59,1.49,19.32,53.772,1.147,0.561,1215,卜蜂,15063586,14039428,7.29,61675,282248,97282
1216,9366363,9447681,10929039,-13.55,45443686,2.08,2.55,16.14,66.1326,1.0793,0.6959,1216,統一,51829529,48962385,5.86,1865598,1757940,7946692
1217,180553,11336,177545,-93.62,4976893,0.02,0.4,10.85,55.7636,1.7762,1.2758,1217,愛之味,3312199,3620966,-8.53,39672,82611,-35718
1218,270540,200321,238573,-16.03,3430447,0.61,0.75,11.62,50.3318,2.0185,1.1821,1218,泰山,7754594,7274610,6.6,-207530,-26526,411611
