year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200103,2474.0,1020496.0,26.4652,5.44,89.1489,199153.0,35807.0,725689.0,235232.0,4.73,
200104,2474.0,1020496.0,27.1663,4.17,87.249,264460.0,57233.0,1008510.0,304740.0,3.54,
200201,2474.0,1020496.0,28.6537,2.29,77.9022,179783.0,3641.0,589534.0,152072.0,1.95,
200202,2474.0,1020496.0,29.2843,3.82,70.0593,295004.0,-65050.0,1091867.0,231390.0,3.2,
200203,2474.0,1337383.0,22.5484,6.56,72.8137,336049.0,-61643.0,1420492.0,240826.0,5.6,
200204,2474.0,1337383.0,23.1558,6.42,72.884,464362.0,-83059.0,1831793.0,326932.0,5.65,
200301,2474.0,1337383.0,24.0024,6.26,73.2036,128417.0,18682.0,466576.0,113836.0,5.61,
200302,2474.0,1337383.0,25.1647,5.5,73.5037,253171.0,161707.0,949210.0,352130.0,4.85,
200303,2474.0,1550990.0,23.3198,5.0,74.3852,382656.0,337165.0,1474732.0,631501.0,3.89,
200304,2474.0,1550990.0,25.6201,9.3,57.1971,511543.0,590473.0,2014860.0,982746.0,7.57,
200401,2474.0,1550990.0,27.5715,9.61,59.9244,105176.0,278686.0,365547.0,360300.0,8.76,
200402,2474.0,1876588.0,22.8528,3.4,56.5049,265904.0,568111.0,797835.0,787172.0,2.7,
200403,2474.0,1876588.0,25.71,5.69,63.2617,346290.0,1016687.0,1156853.0,1301716.0,4.72,
200404,2474.0,1881469.0,26.85,1.24,65.3268,362643.0,1440824.0,1491178.0,1735488.0,1.04,
200501,2474.0,1888302.0,30.39,1.31,68.9942,36441.0,604642.0,280244.0,629551.0,1.22,
200502,2474.0,2802092.0,38.62,2.58,86.7481,95019.0,1507022.0,575079.0,1580695.0,2.23,
200503,2474.0,2821616.0,33.61,3.8,91.0606,128047.0,2541367.0,813327.0,2634512.0,3.47,
200504,2474.0,2821615.84,38.44,9.23,,174769.0,3661972.0,1046444.0,3797594.0,7.9,
200601,2474.0,2936444.0,48.3,9.89,93.4426,103183.0,1192746.0,299834.0,1274361.0,8.44,
200602,2474.0,4140764.0,51.75,3.35,,179963.0,2760668,544178.0,2711146.0,2.74,
200603,2474.0,4141364.0,41.43,2.88,92.3669,245724.0,4276904,780206.0,4269368.0,2.2,
200604,2474,4141475.0,46.52,3.99,95.2064,339039.0,6392787,1290140.0,6460971.0,3.7,
200701,2474,4141475.0,51.6,3.89,95.3005,56275.0,1730290,403226.0,1752441.0,3.11,
200702,2474,5415917.0,51.66,1.53,,197652.0,3128359,1084735.0,2955282.0,1.46,
200703,2474,5415917.0,43.27,1.43,,320977.0,5066514,1787058.0,4975900.0,1.31,
200704,2474,5415917.0,47.73,1.3,93.3976,457268.0,7145419,2498003.0,7196800.0,1.2119,
200801,2474,5415917.0,47.52,1.16,92.4266,86824.0,766891,676522.0,858508.0,1.06,
200802,2474,5997159.0,45.66,0.43,81.833,153347.0,1981102,1436265.0,1762817.0,0.35,
200803,2474,5997159.0,51.21,0.64,81.7873,395450.0,3208177,2699860.0,3163439.0,0.59,
200804,2474,5997159.0,49.11,1.15,82.3004,561370.0,4153984,3751449.0,4346384.0,1.0669,
200901,2474,5997159.0,51.81,1.1,84.61200000000001,-14922.0,678183,351008.0,660439.0,1.0,
200902,2474,6649085.0,50.94,0.9,85.3578,-44075.0,1691464,584188.0,1384377.0,0.82,
200903,2474,6649085.0,46.5,0.78,85.6592,-88433.0,2721355,729858.0,2376911.0,0.7,
200904,2474,6649085.0,48.06,4.4312000000000005,76.7947,-152176.0,3713844,882911.0,3320083.0,4.3001,
201001,2474,6649085.0,48.63,2.89,80.1656,-7305.0,580244,233335.0,566590.0,2.76,
201002,2474,6649085.0,48.69,1.38,78.0373,6286.0,1540010,557563.0,1406193.0,1.3,
201003,2474,6649085.0,49.35,1.4,78.2601,164901.0,2459002,1102772.0,2460647.0,1.3,
201004,2474,6649085.0,49.14,1.4918,79.3974,448186.0,4179290,2762943.0,4429844.0,1.3866,
201101,2474,6864497.0,53.41,0.62,80.6459,417305.0,1557119.0,2077358.0,1910443.0,0.57,
201102,2474,7390860.0,60.13,1.6,76.6551,1056802.0,3414386,5724421.0,4284523.0,1.55,
201103,2474,7505068.0,70.83,1.94,81.3924,2356542.0,6041644,10983175.0,7977857.0,1.88,
201104,2474,7506394.0,74.35,2.3124,83.8784,3900372.0,7438268,16573620.0,10677233.0,2.2426,
201201,2474,7506963.0,76.53,2.66,85.804,973754.0,1947301,3313901.0,2791510.0,2.58,
201202,2474,7507031.0,74.17,0.99,81.752,1928064.0,3351868,6003983.0,4313945.0,0.96,
201203,2474,7507031.0,75.37,0.98,83.5326,2315444.0,4985558,7729539.0,6294613.0,0.95,
201204,2474,7507031.0,81.3,0.9824,83.1983,2467337.0,9450428,11743036.0,10890485.0,0.9462,
201301,2474,7507031.0,89.23,1.8348897630759,60.663875920745106,2930177.0,1719760,9232427.0,3922330.0,1.71595383068189,
201302,2474,7507031.0,89.39,1.87448653690063,67.2769135267544,6557097.0,2959125,19692054.0,7558284.0,1.71493296564317,
201303,2474,7507031.0,92.08,1.97604082592905,69.3958769058426,9802530.0,3128967,30130280.0,10329228.0,1.80153501201887,
201304,2474,7507031.0,97.92,2.06959778515418,69.7572209713514,13915661.0,3612614,43245550.0,13801184.0,1.91323760945835,
201401,2474,7521783.0,103.43,2.38736466303227,74.15265896207741,3208254.0,650559,10415869.0,2983809.0,2.189602267056,
201402,2474,7625454.0,102.22,2.48932622251715,73.9503752956436,8365623.0,929222,23734883.0,6627485.0,2.27095418701544,
201403,2474,7677079.0,111.06,2.62595359349279,71.7620596183373,13822918.0,1765402,38263634.0,11438704.0,2.37612704686987,15588320.0
