year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 1204 津   津   ,600000,9.78,1.12,57.11,-13241,1184,201336,-12273,0.6
200002,1204,600000.0,9.59,1.01,54.0431,-21818.0,-1536.0,414285,-23356,0.51
200003,1204,600000,9.7389,0.97,49.8656,-13355,-1066,681271,-14424,0.54
200004,1204,600000,9.1505,0.96,47.1738,-37574,-12957,900100,-49630,0.49
200101,1204,600000,8.8382,0.91,45.5001,-19372,1571,179584,-18736,0.53
200102,1204,600000,8.4081,0.95,46.5662,-30067,-10350,390637,-40396,0.5
200103,1204,600000,8.2296,1.16,45.3315,-30201,-25054,590911,-55255,0.72
200104,1204,600000,7.5112,1.25,51.7963,-46221,-52233,726069,-98454,0.55
200201,1204,600000,7.506,1.26,49.5792,-9704,9387,137922,-317,0.64
200202,1204.0,600000,7.1201,1.21,48.3189,-22551.0,-552.0,352085.0,-23103,0.66
200203,1204.0,600000.0,7.0195,1.2,49.0334,-20697.0,-8444.0,570812.0,-29141,0.7
200204,1204.0,600000,6.5642,1.19,51.9118,-44872.0,-11586.0,713944.0,-56458,0.68
200301,1204.0,600000,6.3363,1.22,52.8579,-11444.0,-2231.0,132393.0,-13675,0.72
200302,1204.0,600000,5.8042,1.08,48.3316,-41067.0,-4264.0,276121.0,-45331,0.66
200303,1204.0,600000,5.6725,1.13,44.696999999999996,-46620.0,-6879.0,485352.0,-53499,0.77
200304,1204.0,600000,5.303999999999999,1.09,48.1297,-76846.0,1235.0,626736.0,-75611,0.64
200401,1204.0,600000,5.3939,1.08,44.2907,-954.0,6376.0,185176.0,5395,0.6
200402,1204.0,600000,5.3454,1.12,41.7955,1353.0,1155.0,415064.0,2481,0.68
200403,1204.0,600000,5.1326,1.06,37.5802,-6204.0,-4052.0,686977.0,-10283,0.7
200404,1204.0,330000,7.9,1.1,37.3223,-50172.0,-7765.0,890674.0,-57964,0.64
200501,1204.0,330000,7.5,1.06,35.0338,-7951.0,-5149.0,239899.0,-13100,0.68
