year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 2848 華南保    ,1530780,14.44,8.9,33.24,61274,676,2198614,61790,8.85
200002,2848,1836935.0,12.2239,8.13,32.3862,114708.0,918.0,4243103,99732,8.09
200003,2848,1836936,11.1532,8.22,30.5248,-80655,3030,6131431,-96941,8.18
200004,2848,1836935,10.3892,12.35,30.0734,-203262,4054,8078387,-237092,12.29
200101,2848,1836936,10.5791,11.46,30.2063,39331,839,1946605,35835,11.35
200102,2848,1836935,10.4982,9.1,29.6117,65152,3988,3938866,57796,9.02
200103,2848,1836936,10.6056,8.75,30.1321,97864,2988,5889316,78925,8.7
200104,2848,1836935,10.8788,10.07,30.8336,157651,3589,8097463,127702,10.02
200201,2848,1836935,11.0215,9.57,30.2728,26224,3891,2036482,26224,9.46
200202,2848.0,1836935,11.0426,8.32,30.3905,63991.0,-18701.0,4088867.0,32982,8.23
200203,2848.0,1836936.0,11.1523,9.81,31.2148,86558.0,-14527.0,6016973.0,53129,9.76
200204,2848.0,2001386,10.6659,8.96,31.4991,113238.0,10028.0,8307147.0,99884,8.93
200301,2848.0,2001386,10.7731,7.38,30.6827,26326.0,8266.0,2167454.0,21447,7.3
