stock,92年1-9月,稅後純益,92年1-9月,增減(%),期末股本,稅後純益,92年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,,公司,,營業收入,92年1-9月,增減(%),營業利益,92年1-9月,營業外
01,3856875,9064620,4727640,91.74,78304457,1.17,0.61,17.3520635421655,61.5487303692532,1.23939534321458,0.912438016808336,,01,水泥類,38068851,33497338,13.65,3207010,1737921,8202043
1101,1123154,3301070,1428301,131.12,28097644,1.17,0.53,18.2018,54.2619,1.68,1.3,1101.0,1101,台泥,20468048,17991503,13.77,1423093,655147,2200977
1102,1851932,5630954,2439364,130.84,21708858,2.59,1.2,20.5863,72.0907,1.57,1.21,1102.0,1102,亞泥,7628708,7055290,8.13,1132101,744422,4735444
1103,512071,557702,517630,7.74,6996391,0.8,0.74,15.9227,66.58,1.42,1.34,1103.0,1103,嘉泥,1964695,1644450,19.47,52122,78988,707147
1104,591007,525214,541123,-2.94,4157255,1.26,1.46,19.4383,62.5432,1.48,0.9,1104.0,1104,環泥,2473367,2010060,23.05,99612,-36927,426634
1107,-278546,-2085931,-521236,,3140353,-6.64,-1,1.9688,8.2108,0.13,0.01,1107.0,1107,建台,44754,110862,-59.63,-179836,-88578,-502119
1108,-75260,471229,175,+++++,4047380,1.16,<<<<<,11.3298,56.4596,0.85,0.47,1108.0,1108,幸福,2749006,2378168,15.59,254351,89666,285369
1109,22272,365810,124008,194.99,4290898,0.85,0.29,13.5046,90.8674,8.77,7.45,1109.0,1109,信大,1383486,1105861,25.1,269097,164700,163686
1110,110245,298572,198275,50.58,5865678,0.51,0.35,13.6862,80.9289,2.51,1.33,1110.0,1110,東泥,1356787,1201144,12.96,156470,130503,184905
02,1324493,3314048,2217769,49.43,88193170,0.35,0.24,10.8900196725488,50.4872812495719,0.902979776839324,0.529873504484592,2.0,02,食品類,107005004,99189482,7.88,577081,1006292,2900851
1201,-191031,145074,17115,747.64,5060629,0.29,0.03,7.5712,31.7809,1.22,0.97,1201.0,1201,味全,7421629,7905860,-6.12,392102,208146,-247028
1203,154139,176785,120592,46.6,2092537,0.84,0.58,15.5786,59.7439,0.74,0.47,1203.0,1203,味王,2009633,1350948,48.76,132256,-33547,57932
1204,-6879,-10283,-53499,,600000,-0.17,-0.89,5.1326,37.5802,1.06,0.7,1204.0,1204,津津,686977,485352,41.54,-6204,-46620,-4052
1207,-1303977,315153,-1787073,,7320098,0.43,-1.39,9.786,26.776,0.22,0.05,1207.0,1207,嘉食化,7562463,6943397,8.92,-752021,-564920,1000679
