year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200103,1536.0,512667.0,11.418,0.99,41.9647,36267.0,-14386.0,468424.0,12955.0,0.72,
200104,1536.0,512667.0,11.7285,1.01,45.5777,56205.0,-23882.0,629668.0,25700.0,0.71,
200201,1536.0,512667.0,11.9962,1.0,46.8963,20221.0,-3731.0,147983.0,11945.0,0.71,
200202,1536.0,538300.0,11.5023,0.98,46.8861,47657.0,-21274.0,349338.0,20657.0,0.72,
200203,1536.0,538300.0,11.9675,1.01,47.7666,76891.0,-22603.0,555943.0,40450.0,0.75,
200204,1536.0,538300.0,12.3057,1.02,46.1204,108846.0,-44134.0,796161.0,55864.0,0.76,
200301,1536.0,538300.0,12.6307,1.01,46.8071,31310.0,-5686.0,228535.0,18744.0,0.77,
200302,1536.0,583375.0,11.9533,1.01,45.6039,72006.0,-21802.0,473805.0,38085.0,0.8,
200303,1536.0,583375.0,12.2184,1.01,46.5752,110808.0,-36701.0,720698.0,55819.0,0.79,
200304,1536.0,583375.0,12.5916,2.01,46.4362,140231.0,-45046.0,987509.0,76849.0,1.57,
200401,1536.0,583375.0,12.8014,1.71,43.2294,40796.0,-22999.0,283163.0,14556.0,1.31,
200402,1536.0,632812.0,11.9186,1.9,36.0737,84564.0,-33011.0,635573.0,46680.0,1.47,
200403,1536.0,632812.0,12.5906,1.6,34.7197,157690.0,-50135.0,1078339.0,88466.0,1.3,
200404,1536.0,642230.0,12.68,1.19,33.7794,257231.0,-134489.0,1544478.0,103859.0,0.9,
200501,1536.0,748620.0,14.67,1.27,41.2489,97679.0,-22847.0,486023.0,59612.0,0.95,
200502,1536.0,849442.0,15.41,1.1,41.2771,189180.0,-31143.0,974724.0,108225.0,0.84,
200503,1536.0,859863.0,14.89,1.08,41.0553,285033.0,-21036.0,1492645.0,184315.0,0.78,
200504,1536.0,860076.33,15.53,1.45,,389757.0,-44982.0,1994648.0,247893.0,1.07,
200601,1536.0,860076.0,16.32,1.22,39.8587,99838.0,-26572.0,494221.0,56099.0,0.82,
200602,1536.0,987341.0,16.09,1.08,,171105.0,-55419,941696.0,82953.0,0.69,
200603,1536.0,987341.0,16.46,1.17,38.1963,269201.0,-35120,1503705.0,176623.0,0.86,
200604,1536,1011862.0,17.7,1.06,38.7172,367685.0,-65517,2037153.0,238511.0,0.73,
200701,1536,1019602.0,18.52,1.09,38.4781,83038.0,1418,558744.0,70395.0,0.79,
200702,1536,1143296.0,18.17,1.4,,188871.0,-11723,1101932.0,142216.0,0.87,
200703,1536,1199664.0,16.45,1.22,,293300.0,-38226,1705238.0,202142.0,0.83,
200704,1536,1214237.0,16.59,0.8,36.5164,424911.0,-123295,2307907.0,210175.0,0.6049,
200801,1536,1216737.0,16.85,0.9,35.0212,136926.0,-87485,616467.0,36305.0,0.64,
200802,1536,1319779.0,15.9,0.8,32.8351,243744.0,-129454,1309114.0,112533.0,0.57,
200803,1536,1319779.0,13.29,0.91,27.5966,299359.0,-153777,1892419.0,139800.0,0.59,
200804,1536,1240894.0,10.04,1.01,22.7533,231072.0,-403146,2254463.0,-183920.0,0.7047,
