year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 2319 大眾電腦  ,13340280,12.07,1.77,42.71,-131894,381900,10292740,249927,1.27
200002,2319,14674308.0,11.0797,1.76,42.2908,-21052.0,252210.0,22690129,223146,1.26
200003,2319,14674308,10.8065,1.63,40.5749,484638,-218354,37132757,258272,1.13
200004,2319,14674308,10.1766,1.49,37.8309,1192878,-1039541,52494831,145325,1.15
200101,2319,14674308,10.9833,1.42,38.8932,690273,-338447,12367181,349823,1.18
200102,2319,14674308,10.7615,2.2,42.1438,1333990,-820508,22130174,149530,1.88
200103,2319,14674308,10.3075,2.95,43.6877,1765125,-1255664,30673167,185432,2.45
200104,2319,16374308,9.4307,1.13,43.463,2028679,-3912247,41703627,-1605213,0.91
200201,2319,16374308,8.8988,1.23,38.6245,569880,-399408,10985580,142322,1.04
200202,2319.0,16374308,8.3588,1.15,41.0345,512451.0,-1051974.0,21016917.0,-495547,0.87
200203,2319.0,16374308.0,8.1593,1.6,38.7667,83041.0,-1161051.0,29062480.0,-1012030,1.14
200204,2319.0,16374308,7.5446,1.79,43.162,-41134.0,-2111897.0,39304821.0,-2079163,1.44
200301,2319.0,16374308,7.3107,1.71,42.0089,-85532.0,-399661.0,8715694.0,-463188,1.36
200302,2319.0,16374308,6.8223,1.5,36.2164,-215033.0,-968021.0,21086631.0,-1140944,1.18
200303,2319.0,16234308,6.1926,1.37,32.2715,-866240.0,-1356922.0,33146710.0,-2162247,1.1
200304,2319.0,16234308,5.5346,1.47,30.3161,-940972.0,-2220208.0,48982264.0,-3078258,1.23
200401,2319.0,16234308,5.2198,1.46,29.4149,86182.0,-483383.0,12349427.0,-398204,1.26
