year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200802,3534.0,1205321.0,38.74,3.14,71.3595,526663.0,-63947.0,2281484.0,448399.0,2.86
200803,3534.0,1205821.0,37.99,3.28,72.4991,723782.0,1724,3561048.0,707846.0,2.88
200804,3534.0,1206846.0,38.73,4.46,82.3595,764149.0,43007,4495796.0,792254.0,3.7433
200901,3534.0,1210696.0,39.46,4.95,84.5505,108861.0,-17471,843354.0,91390.0,4.34
200902,3534.0,1388596.0,38.43,2.99,74.7513,277782.0,-101108,2012251.0,172814.0,2.56
200903,3534.0,1256005.0,37.84,3.55,78.4974,455168.0,-162480,3476897.0,283027.0,2.95
200904,3534.0,1256155.0,39.54,3.5444,78.7591,668332.0,-169760,5086535.0,498449.0,3.1485000000000003
201001,3534.0,1256155.0,41.65,3.46,77.5161,347524.0,-76546,1677254.0,263851.0,3.16
201002,3534.0,1344548.0,42.81,2.72,71.35600000000001,766186.0,-156127,3640533.0,589743.0,2.47
201003,3534.0,1285642.0,43.76,3.1,74.3997,1123478.0,-240034,5546269.0,852115.0,2.75
201004,3534.0,1753625.0,63.93,2.718,81.9605,1329829.0,-389564,7360705.0,913178.0,2.378
201101,3534.0,1752835.0,65.07,2.58,80.4888,290230.0,-119234.0,2130729.0,163443.0,2.21
201102,3534.0,1752465.0,62.35,1.95,72.3841,672139.0,-235480,4579037.0,422170.0,1.55
