stock,102年1-6月,稅後純益,102年1-6月,增減(%),期末股本,稅後純益,102年1-6月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,102年1-6月,增減(%),營業利益,102年1-6月,營業外
01,4500430,11413699,9450344,20.78,98441609,1.15943848500079,0.96766098456341,29.3713222424067,46.1605691386237,1.13096490254311,0.898250066738135,01,水泥類,106970712,94354416,13.37,14422469,9050481,3785650
1101,333842,5028885,3999822,25.73,36921759,1.36,1.08,29.22,38.4444594860864,1.09819504626723,0.914503367525997,1101,台泥,58589686,52784231,11,9622541,6615721,214502
1102,3493379,5174629,4584687,12.87,33614472,1.68,1.49,39.67,49.2046688807438,0.992384446538159,0.807143191516517,1102,亞泥,37450912,32112806,16.62,4153807,2252327,2742099
1103,214709,-3722,49143,,7768285,-0.01,0.08,26.16,50.4505895204054,1.97975400413328,1.38834063949415,1103,嘉泥,1909502,1792335,6.54,-115946,-229312,146465
1104,498046,687639,516611,33.11,6159697,1.12,0.84,24.16,78.7601217552491,1.27738339375915,1.05638326451157,1104,環泥,2835547,2465349,15.02,88751,43322,655928
1108,-31824,224575,115705,94.09,4047380,0.55,0.29,10.95,52.1052097722795,2.46913873997459,0.6330881730664,1108,幸福,2495607,2325405,7.32,235575,169560,27384
1109,32084,197217,106585,85.03,4210008,0.47,0.25,13.75,58.7367506498437,1.7225345675721,1.24480058219069,1109,信大,2685148,1926413,39.39,344237,92586,-11328
1110,-39806,104476,77791,34.3,5720008,0.18,0.14,15.5,90.8264681909731,4.37392821656205,2.78116472384461,1110,東泥,1004310,947877,5.95,93504,106277,10600
02,5029218,12142093,9864075,23.09,116195021,1.04497532643847,0.882323817892754,16.8468220337944,31.1359208760267,1.11911584810304,0.675577342691896,02,食品類,342077035,337121288,1.47,15381306,13784048,4838803
1201,-5125,431878,550094,-21.49,5060629,0.85,1.09,16.57,20.8156334713279,1.18948339959415,0.413023421490426,1201,味全,13996768,14278478,-1.97,760041,724389,-141272
1203,45797,153284,162412,-5.62,2400000,0.64,0.68,17.34,49.606018411515,1.93333857735515,0.830352398265977,1203,味王,3076899,3069522,0.24,324045,215030,-6913
1210,182249,671010,278209,141.19,7363944,1.28,0.53,24.99,32.6757576147927,1.42846444995977,0.644485968319467,1210,大成,44414706,42614910,4.22,867308,149820,78867
1213,2223,3517,3688,-4.64,514751,0.07,0.07,12.71,81.2916700835203,3.32912612771979,3.04007606580577,1213,大飲,324209,334011,-2.93,5424,3132,1085
1215,20744,382059,86766,340.33,2436282,1.65,0.37,20.39,51.9758664114962,1.25901638174796,0.575367246550761,1215,卜蜂,8467621,8584079,-1.36,464660,95569,26104
1216,3600595,7258373,6516264,11.39,54634763,1.41,1.26,16.4,21.5898525496952,0.946434395547484,0.633064760912422,1216,統一,214454670,211179657,1.55,10674500,10178050,3208464
1217,26467,-276179,2445,,4976893,-0.57,0.01,11.11,38.0990692788099,1.21843020980355,0.861712381413301,1217,愛之味,1956775,2017125,-2.99,-263107,-9168,-38710
1218,104998,2577,16926,-84.77,3533360,0.01,0.05,9.78,36.962312728299,1.39691765020513,0.821614874158017,1218,泰山,4438100,4758276,-6.73,-101547,-75478,106352
1219,14979,52459,-44780,,3131882,0.17,-0.14,11.88,59.5626925174562,3.2757098788615,1.49926484617888,1219,福壽,5065899,5005816,1.2,38691,-67096,21191
1220,7338,40301,27895,44.47,1770779,0.23,0.16,11.82,69.5982918853585,3.87715021923408,2.44332703106808,1220,台榮,1560178,1652613,-5.59,40113,18095,6136
1225,-6990,36347,45988,-20.96,2029947,0.18,0.24,11.88,35.5214229114367,1.303036483597,0.641692821992314,1225,福懋油,6047932,7146566,-15.37,75361,62481,-21980
1227,122478,865691,1036938,-16.51,7206338,1.21,1.45,16.01,63.9131917442774,2.18162582284626,1.32460401700088,1227,佳格,9927834,9517659,4.31,1043347,1132502,12452
1229,543967,1129532,565418,99.77,8543500,1.32,0.66,25.01,78.51963797855,0.847916320021813,0.564106450653696,1229,聯華,2577944,2582639,-0.18,101639,78012,1083296
1231,61244,43656,161381,-72.95,1481131,0.33,1.22,18.3,39.7949375885212,1.07842276668502,0.525834749999804,1231,聯華食,2669995,2654544,0.58,34104,138226,17016
1232,74362,436031,394014,10.66,1599749,2.73,2.46,18.63,62.9040355598775,2.55178050529022,0.854557871057055,1232,大統益,10929840,9864364,10.8,508337,398159,27627
1233,17521,132291,119165,11.01,905919,1.46,1.32,14.72,65.9089009570033,1.50265301882661,1.00029571567873,1233,天仁,1070558,999399,7.12,140605,126695,19574
1234,254558,118406,-416140,,4018711,0.29,-0.78,42.52,75.961229994244,2.75393699804122,2.11471936691202,1234,黑松,2704498,3193569,-15.31,-109102,-31775,263388
1235,-35958,63680,-49315,,561688,1.18,-0.91,22.08,54.6522667226006,1.68827027558014,1.60805096867029,1235,興泰,100909,129886,-22.31,-6049,-10900,69597
1236,4933,117183,50005,134.34,1083425,1.08,0.46,17.96,61.1246798641415,1.33482487195,0.880211076631058,1236,宏亞,1132163,1206663,-6.17,1496,55627,119594
1702,-7162,479997,356702,34.57,2941330,1.93,1.44,17.65,29.6023749815308,1.19167325240684,0.861725632160523,1702,南僑,7159537,6331512,13.08,781440,602678,-13065
03,21652089,42362712,36307851,16.68,306455794,1.3823433209424,1.19753333770135,33.9207217273236,54.6341046524491,2.19596836283988,1.63978952583937,03,塑膠類,645099775,619776454,4.09,16934977,23993636,31355563
1301,7999227,10977524,8602830,27.6,63657408,1.72,1.35,43.89,63.9720518905673,2.43989180860856,1.97435650612918,1301,台塑,111018850,106334321,4.41,2539934,1816612,10258780
1303,6483208,19367269,10807576,79.2,79308216,2.44,1.36,38.45,54.5803839655659,2.60972418419272,2.03744077570699,1303,南亞,160688981,148299712,8.35,6228827,6763267,12936081
1304,558119,318747,460136,-30.73,11426024,0.31,0.44,16.29,27.9470537582474,1.84375297398364,1.35438859755942,1304,台聚,30115004,28107791,7.14,609027,677780,-59200
1305,103756,132271,481212,-72.51,4683034,0.28,1.03,12.92,48.9227251839491,2.02375570737258,1.41525061544457,1305,華夏,7706272,7190284,7.18,194577,526106,-6612
1307,69337,499773,364306,37.18,3749817,1.33,0.97,19.1,53.227539737467,2.09306462972056,1.41099853108247,1307,三芳,5527918,5139811,7.55,607636,443090,-7245
1308,234405,267681,288769,-7.3,4696769,0.57,0.61,18.94,86.2360835422769,3.78530716947217,3.12796449903571,1308,亞聚,2912134,2576827,13.01,229797,82855,84353
1309,146139,-292698,104985,,3276518,-0.89,0.32,11.48,29.151322545613,1.29657371163809,0.822934855712479,1309,台達化,10085115,10143124,-0.57,-228532,-50144,-70701
1310,-68520,324827,250117,29.87,5278698,0.64,0.5,11.88,55.8899570100715,1.32620744762174,0.959038080430161,1310,台苯,9555407,9742992,-1.93,-38885,313363,394631
1312,124810,176287,719206,-75.49,9266203,0.19,0.79,16.5,60.2569709019343,1.44467099947796,0.802335164480919,1312,國喬,12322206,13074964,-5.76,433405,913286,81436
1313,405597,-111988,157584,,11607224,-0.1,0.14,15.81,41.8556614876674,1.37873804023196,0.961914271269529,1313,聯成,27280600,25224455,8.15,44788,-269349,-207825
1314,131546,-710649,-859979,,23199897,-0.31,-0.37,13.29,70.0227178877508,2.8974737470525,2.06665996808595,1314,中石化,17151018,16998867,0.9,-762577,-976652,74119
1315,63458,19454,58772,-66.9,2200000,0.09,0.28,34.93,76.8455972738731,3.86286290491996,3.06484440578663,1315,達新,1389684,1419463,-2.1,11342,-20681,15722
1316,-7131,-92792,-84144,,1393127,-0.72,-1.06,7.38,34.4695116035916,2.52448982917357,1.04059748513077,1316,上曜,444884,684371,-34.99,-72811,-69289,-4144
1319,184314,657873,719471,-8.56,5914771,1.11,1.26,27.73,50.4170269286427,1.13947650164728,0.759364382484871,1319,東陽,10515243,9514725,10.52,679949,734041,201217
1321,42025,-26302,8814,,2272283,-0.12,0.04,22.9,52.7059395166371,1.18085248948614,0.659228456272791,1321,大洋,2826564,2850469,-0.84,-58455,-33188,32153
1323,9087,114593,119230,-3.89,912745,1.32,1.38,17.59,43.9201086479925,1.72118616354486,1.13786948385807,1323,永裕,1655128,1587193,4.28,200209,199906,10752
1324,5076,25026,26674,-6.18,751219,0.33,0.36,12.51,68.5069400159608,2.63246610985567,1.9353872981974,1324,地球,727404,746786,-2.6,21438,26840,8450
1325,13727,17462,40424,-56.8,1006828,0.17,0.4,17.46,83.6631149284853,7.23002212270005,5.82705849026062,1325,恆大,568887,517541,9.92,19216,36790,2925
1326,4911436,9149474,12183131,-24.9,58611863,1.57,2.09,47.72,50.877886933925,2.1023729992766,1.52744831846903,1326,台化,212166730,210396536,0.84,4344747,10613223,7340499
1337,58747,634955,607720,4.48,2501751,2.54,2.43,45.44,80.8441307979658,3.29846875718864,2.12977986509289,1337,F-再生,2786598,2657665,4.85,796654,775103,61463
1339,29142,151550,118986,27.37,659259,2.3,1.8,26.19,55.991389038047,0.816080324782603,0.493176064785762,1339,昭輝,733438,621327,18.04,188467,120577,6007
1340,-9884,417185,291243,43.24,883794,5.22,4.36,53.29,82.9471878890694,5.59346283520692,5.54346466756452,1340,F-勝悅,1325627,1152083,15.06,421666,359400,73257
1715,86836,281316,257417,9.28,4071272,0.72,0.84,16.17,53.2620865123262,1.94893771628179,1.33322058039174,1715,萬洲,5579190,5157053,8.19,221161,295990,168993
4306,77632,63874,583371,-89.05,5127074,0.14,1.34,17.04,23.7701286260714,1.57852974973377,0.627015998660136,4306,炎洲,10016893,9638094,3.93,303397,714710,-39548
04,6694078,11701652,12291622,-4.8,200213934,0.584457423427882,0.624699666602802,20.9615710862562,42.7775437578804,1.25206437255364,0.529138240336101,04,紡織纖維類,269455332,268450496,0.37,13425139,12928658,6435217
1402,5049909,6304227,6031851,4.52,52479168,1.31,1.25,37.01,38.2917019856307,1.11867427540287,0.787375490997762,1402,遠東新,116819690,118701036,-1.58,7790325,6651674,5062061
1409,-,914729,618008,48.01,17604840,0.54,0.36,15.33,19.9945487536898,1.09485504744933,-,1409,新纖,22385907,21221783,5.49,1336648,1129435,-
1410,4664,40082,47115,-14.93,900000,0.45,0.52,14.24,74.1693020800228,4.14419844617308,3.92608862748532,1410,南染,311323,298673,4.24,49425,47253,2465
1413,-4856,-71300,-190239,,1701874,-0.42,-1.13,5.01,25.6475628999537,0.792473510949375,0.268966521709779,1413,宏洲,1844823,2362504,-21.91,-49561,-184676,-19976
1414,25201,29607,86961,-65.95,2200000,0.13,0.4,14.38,70.081203415253,1.65458006930895,0.627981304056612,1414,東和,606985,655933,-7.46,27394,58243,1840
1416,1514,44706,-78645,,3078787,0.16,-0.22,16.77,46.8509079915652,1.23277945025211,0.108601300129241,1416,廣豐,84768,145055,-41.56,-85038,-76342,141971
1417,14434,70779,-66932,,3798837,0.19,-0.18,11.58,73.9621742725282,2.76617563341127,1.8260018213881,1417,嘉裕,1619959,1663718,-2.63,-76673,-67166,156146
1418,30066,-52528,-65156,,1319276,-0.43,-0.54,6.68,37.3688681238853,0.668782513438463,0.142039589330752,1418,東華,958010,869051,10.24,-89217,-93092,39019
