stock,95年1-6月,稅後純益,95年1-6月,增減(%),期末股本,稅後純益,95年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,95年1-6月,增減(%),營業利益,95年1-6月,營業外
01,6714494,9456219,9946912,-4.93,86260030,1.1,1.19,21.7774095469362,70.4214252818863,1.72895998287243,0.954222607099084,01,水泥類,24367252,24734147,-1.48,2645286,3288499,7656137
1101,1210744,3787943,2502949,51.34,32486372,1.17,0.78,22.9,68.0322,1.9,1.07,1101,台泥,12414420,12544815,-1.04,1285220,1466070,2718663
1102,2816940,5101261,3694331,38.08,27346909,2.01,1.46,24.97,70.9836,1.35,0.85,1102,亞泥,5479075,5339500,2.61,1047635,1185140,4309151
1103,2353918,196870,2472015,-92.04,6736871,0.36,4.86,28.74,71.6082,1.83,1.19,1103,嘉泥,1508651,1283579,17.53,57619,76873,404133
1104,199936,77364,415881,-81.4,5591592,0.14,0.75,21.61,73.1941,2.14,0.79,1104,環泥,1407053,1533433,-8.24,-40760,-32768,126331
1108,2899,60399,216783,-72.14,4047380,0.15,0.54,10.64,56.2171,0.82,0.37,1108,幸福,1640820,1967792,-16.62,74744,212190,5631
1109,71505,138184,482733,-71.37,4290898,0.32,1.13,14.18,87.0079,5.37,2.04,1109,信大,956458,1130866,-15.42,153403,243097,54549
1110,58552,94198,162220,-41.93,5760008,0.16,0.28,14.61,83.7757,2.22,1.07,1110,東泥,960775,934162,2.85,67425,137897,37679
02,1382054,7150255,3539997,101.98,86322686,0.83,0.42,14.35,62.51,1.31036089980006,0.69,02,食品類,70339634,62339266,12.83,2396208,2453406,5068529
1201,-62158,186698,199194,-6.27,5060629,0.37,0.39,8.43,40.7034,1.03,0.63,1201,味全,4946216,4910771,0.72,300430,282825,-102349
1203,-111996,5578,-85583,,2092537,0.03,-0.41,16.03,60.7066,1.18,0.25,1203,味王,865425,811795,6.61,11044,30777,4186
1210,136454,434047,296875,46.21,4218966,1.15,0.84,16.1,55.0639,1.12,0.53,1210,大成,8025163,7186060,11.68,126535,254821,345577
1213,-3407,3236,-2654,,514751,0.06,-0.05,11.23,71.0422,2.36,1.37,1213,大飲,330815,348394,-5.05,624,2316,4334
1215,-4734,125506,78052,60.8,2320268,0.54,0.34,11.12,70.8736,2.32,1.23,1215,卜蜂,5132631,4102479,25.11,203025,79207,-47116
1216,1258960,4976436,2073896,139.96,35553733,1.4,0.58,16.15,60.7737,1.03,0.64,1216,統一,22064805,20314662,8.62,735900,831689,4253878
1217,-93210,43479,18042,140.99,3776893,0.12,0.05,10.33,47.5667,1.02,0.48,1217,愛之味,1890879,2084331,-9.28,-71125,97401,72954
1218,-93693,-67417,-84229,,3202434,-0.22,-0.28,11.19,46.0754,1.35,0.69,1218,泰山,2572581,2193042,17.31,44810,41147,-106884
1219,7457,36304,46654,-22.18,2663184,0.14,0.17,12.64,71.5989,3.55,1.96,1219,福壽,3263117,2586872,26.14,45912,52920,4516
1220,3456,-44229,70227,,1770779,-0.25,0.4,9.66,65.9903,1.95,1.05,1220,台榮,1256073,1094327,14.78,-2954,16315,-47518
1225,-28983,11371,-11297,,1627000,0.07,-0.07,11.14,44.689,1.1,0.69,1225,福懋油,3532195,2487408,42,39116,7707,-24369
1227,-120296,204623,175333,16.71,3209184,0.64,0.55,13.72,76.6076,1.97,1.03,1227,佳格,3371854,2888715,16.73,460945,377109,-180719
1229,526110,730323,523280,39.57,7090235,1.03,0.78,22.48,85.6051,1.24,0.42,1229,聯華,1351649,1121528,20.52,-1683,11882,746386
1231,-41440,36411,-10588,,1154190,0.32,-0.09,14.3,62.0468,2.01,0.76,1231,聯華食,1735925,1643886,5.6,94653,29268,-45070
1232,23297,193495,150630,28.46,1599749,1.21,0.94,14.16,65.8186,1.38,0.87,1232,大統益,5621071,4189332,34.18,245923,177247,8831
1233,1705,68725,86969,-20.98,905919,0.8,1.03,12.97,65.8079,1.39,0.85,1233,天仁,897829,855246,4.98,88272,95064,-8747
1234,6742,96013,27294,251.77,5358281,0.18,0.05,17.27,85.786,2.6,1.39,1234,黑松,1516761,1610937,-5.85,24026,32092,125987
1235,6153,3226,2381,35.49,450898,0.08,0.06,16.6,65.8157,2.48,1.08,1235,興泰,289376,350318,-17.4,-1100,-2830,4535
1236,-20247,49783,40294,23.55,811726,0.61,0.5,12.69,63.5396,1.06,0.6,1236,宏亞,931058,839432,10.92,94470,83106,-39145
1702,-8116,56647,-54773,,2941330,0.23,-0.23,11.88,51.4739,1.16,0.59,1702,南僑,744211,719731,3.4,-42615,-46657,99262
03,29008423,64377768,46573608,38.23,263872543,2.44,1.77,29.62,62.27,1.54,0.51,03,塑膠類,368013247,307598828,19.64,36202849,21268244,36644783
1301,7384493,16686957,11578909,44.12,57204716,2.92,2.02,35.71,63.9214,1.32,0.4,1301,臺塑,84025623,71458023,17.59,8383515,4851082,11120520
1303,14466005,22994783,19382698,18.64,76235909,3.02,2.54,32.3,60.5863,1.36,0.6,1303,南亞,99398020,87276831,13.89,12671862,7180069,12388828
1304,134457,588792,241075,144.24,7714032,0.81,0.33,15.96,71.0107,3.7,1.82,1304,臺聚,5419107,4263818,27.1,459474,140267,178352
1305,-96947,-45115,47298,,4248035,-0.11,0.11,11.18,50.2476,3.8,2.68,1305,華夏,4215626,3513539,19.98,72727,143276,-117842
1307,238945,265341,238197,11.4,2504083,1.06,0.95,14.32,54.0593,1.39,0.49,1307,三芳,2202521,2006031,9.79,10277,13962,270124
1308,99299,302627,169488,78.55,2609316,1.16,0.65,20.2,81.6679,3.09,1.51,1308,亞聚,2806509,2282165,22.98,287094,110962,97230
1309,8690,77841,16247,379.11,2705005,0.29,0.06,15.55,56.8286,2.48,1.4,1309,臺達化,5315687,4326985,22.85,27070,6965,79269
1310,-43098,176265,144985,21.57,5889693,0.36,0.29,13.42,72.269,1.58,0.86,1310,台苯,8419848,5368057,56.85,268327,218857,-25875
1311,46879,326370,249037,31.05,3154159,1.03,0.79,21.27,74.4046,3.72,1.18,1311,福聚,8414536,7084375,18.78,465531,292939,64758
1312,193260,481431,495344,-2.81,6598242,0.75,0.77,12.99,45.6047,2.13,1.65,1312,國喬,8723467,6245967,39.67,326863,330792,175903
1313,708786,951773,722500,31.73,8046297,1.21,0.91,17.65,72.0548,1.5,0.69,1313,聯成,3689066,3103077,18.88,234783,163411,966240
1314,190195,1726291,1186610,45.48,16899995,1.02,0.7,13.07,48.6622,2.62,1.51,1314,中石化,17199842,15355284,12.01,1347311,962335,561166
1315,-15984,93015,51980,78.94,2295000,0.42,0.23,25.85,78.6228,4.12,0.9,1315,達新,1781420,1632963,9.09,115225,80267,7813
1316,50110,237,40288,-99.41,701661,(<<<<<),0.57,11.63,76.2344,0.88,0.37,1316,上曜,182369,169298,7.72,-10146,-9845,10301
1319,7805,504676,324300,55.62,4259475,1.22,0.79,19.79,63.7758,1.11,0.76,1319,東陽,4398294,3700172,18.87,550441,398871,40914
1321,-483181,-49501,80969,,2272282,-0.22,0.38,13.86,68.8857,1.62,0.71,1321,大洋,2769162,2603491,6.36,97042,167916,-146025
1323,25057,25234,30072,-16.09,750918,0.34,0.4,12.91,56.3575,1.73,1.05,1323,永裕,620258,575900,7.7,20471,8539,6511
1324,11416,-15556,-5819,,751219,-0.21,-0.08,11.68,75.9093,2.13,1.18,1324,地球,580705,516657,12.4,-28490,-17380,11135
1325,2223,51759,21870,136.67,891110,0.58,0.25,13.61,87.4972,6.37,1.69,1325,恒大,533991,440618,21.19,53573,38114,4374
1326,6018441,19099811,11384072,67.78,55247302,3.46,2.06,39.92,63.488,1.67,0.27,1326,臺化,105291267,83625252,25.91,10786343,6042570,10871626
1715,61572,134737,173488,-22.34,2894094,0.53,0.67,16.37,62.6582,1.11,0.71,1715,亞化,2025929,2050325,-1.19,63556,144275,79461
04,7573737,14635372,6923104,111.4,190281262,0.77,0.37,15.73,63.32,1.33745302158285,0.61,04,紡織纖維類,133530364,118331135,12.84,4022239,306504,11842325
1402,4668671,6561619,4635441,41.55,44803469,1.51,1.07,19.19,60.4909,1.27,0.87,1402,遠紡,23671005,18473102,28.14,659272,-44949,5885186
1409,843913,338117,558764,-39.49,14299159,0.25,0.42,13.96,55.8137,1.37,0.75,1409,新纖,12528401,11916918,5.13,264217,-161750,70235
1410,-5314,5022,-7579,,900000,0.06,-0.08,12.58,80.4582,4.77,3.7,1410,南染,192506,184517,4.33,-10616,-3698,6627
1413,6139,-39097,-119357,,2836457,-0.14,-0.43,6.36,51.4412,0.94,0.27,1413,宏洲,2386695,2035728,17.24,-1634,-143941,7228
1414,64004,14405,13393,7.56,2200000,0.07,0.06,7.57,31.6005,0.62,0.21,1414,東和,2167904,1895376,14.38,86394,-50611,-71989
1416,59769,4314,11649,-62.97,5497834,0.01,0.03,10.19,73.3181,0.61,0.26,1416,廣豐,174117,256060,-32,-29939,-48013,34006
1417,87185,61255,20384,200.51,3798837,0.16,0.05,12.13,82.5835,1.66,0.51,1417,嘉裕,587467,809315,-27.41,-63367,-76745,126622
1418,115528,-114639,-38804,,2638553,-0.47,-0.16,6.91,49.037,0.82,0.31,1418,東華,1910897,1655060,15.46,-109815,-161160,23304
1419,56433,49576,30593,62.05,3000413,0.17,0.11,16.98,74.6127,0.65,0.09,1419,新紡,274387,264291,3.82,-9108,-26898,56156
1423,42828,135720,42966,215.88,1793000,0.76,0.24,14.46,88.0076,30.52,6.67,1423,利華,1286373,1103282,16.6,99407,-3895,51313
1432,114851,-32038,-44025,,885642,-0.48,-0.88,4.57,15.1789,0.42,0.02,1432,大魯閣,27811,519077,-94.64,-13925,-86915,-14175
1434,509168,4015038,756347,430.85,16846646,2.38,0.45,32.85,79.9359,2.08,0.9,1434,福懋,14571942,13463251,8.23,504444,589394,3973360
1438,-19466,-48421,-29414,,1024115,-0.47,-0.31,1.28,14.2447,0.61,0.01,1438,裕豐,10248,20812,-50.76,-8963,-9948,-39458
1439,18104,3047,-99241,,920000,0.03,-1.08,14.29,78.9968,25.49,22.27,1439,中和,257362,380067,-32.29,-6903,-117569,9950
1440,185426,1139365,85734,+++++,14935240,0.76,0.06,15.13,78.3915,2.91,1.59,1440,南紡,5989994,6468510,-7.4,300431,-53413,954210
1441,-42592,-5144,-2859,,1079004,-0.05,-0.03,6.78,34.7849,0.88,0.36,1441,大東,990268,804221,23.13,44729,16554,-47479
