stock,稅後純益,104年1-9月,增減,期末股本,稅後純益,104年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,104年1-9月,增減,公司,,營業收入,104年1-9月,增減,營業利益,104年1-9月,營業外,104年1-9月
01,8465911,9430376,-10.23,98186151,0.69,0.63,28.07,47.9260330784925,1.11748491892382,0.863477694876374,12960411,12195455,6.27,01,水泥類,119861829,132303121,-9.4,12519582,9780111,440829,2415344
1101,4546032,4000652,13.63,36921759,1.23,1.08,28.49,39.6773966250666,1.19674025939895,0.982204544333646,7771113,5883687,32.08,1101,台泥,63016298,69118302,-8.83,8035087,6607616,-263974,-723929
1102,2341615,4421041,-47.03,33614472,0.75,1.41,36.16,50.9634163836525,0.799069464514511,0.648919547127274,3324612,5089087,-34.67,1102,亞泥,44104283,49113910,-10.2,4038606,2854548,-713994,2234539
1103,-119540,-401198,,7747805,-0.19,-0.62,21.98,54.5085608312013,4.04791978070895,2.53680715975915,-71221,-369795,,1103,嘉泥,2104649,1957612,7.51,-195055,-400817,123834,31022
1104,1213662,916609,32.41,6345720,1.91,1.44,25.34,79.9869026523671,1.05427846663421,0.865017945266936,1278736,983038,30.08,1104,環泥,3362708,3770779,-10.82,178237,96507,1100499,886531
1108,273857,407328,-32.77,4047380,0.67,1.01,11.72,60.7846824545596,2.05537206347796,0.437248772628172,351267,541388,-35.12,1108,幸福,3160477,3765704,-16.07,364467,559253,-13200,-17865
1109,83594,-35954,,3789007,0.22,-0.09,14.13,64.4451486477411,2.38796734882984,1.46167531308993,98735,-54362,,1109,信大,3025702,3204963,-5.59,142836,-6131,-44101,-48231
1110,126691,121898,3.93,5720008,0.22,0.21,15.03,91.7127748373449,6.41414923751983,2.89169757524516,207169,122412,69.24,1110,東泥,1087712,1371851,-20.71,-44596,69135,251765,53277
02,23604935,19640066,20.19,123381160,1.95,1.42,17.89,35.1803499478081,1.1348683348324,0.611793550988571,38859825,33757959,15.11,02,食品類,500782610,505098296,-0.85,27322343,26339285,11537482,7418674
1201,-449530,-1183332,,5060629,-0.89,-2.34,10.1,14.29388206018,0.951599698017143,0.255788271915792,-497726,-1148758,,1201,味全,13011614,15400616,-15.51,-887703,-805193,389977,-343565
1203,298977,314934,-5.07,2400000,1.26,1.32,17.88,50.4849335278414,2.12814918496486,1.29375266089289,547361,619691,-11.67,1203,味王,4752123,5106824,-6.95,513804,535585,33557,84106
1210,1595469,598910,166.4,7363944,2.33,0.88,21.1,38.0347745524615,1.24112338632486,0.570594734352109,2267144,917451,147.11,1210,大成,55421051,58723159,-5.62,1934203,1032803,332941,-115352
1213,19142,29575,-35.28,566226,0.34,0.52,12.33,76.4976266594478,2.6520630022356,2.47621648712419,23295,37194,-37.37,1213,大飲,535562,602085,-11.05,18265,30991,5030,6203
1215,846366,468372,80.7,2679910,3.16,1.75,22.83,57.1577756171783,1.11792645649624,0.550082895916098,1071255,635911,68.46,1215,卜蜂,13327847,12374527,7.7,1011640,615046,59615,20865
1216,13239483,12582297,5.22,56820154,2.33,2.21,16.53,24.8397381247788,0.952267419194814,0.521175147786495,25518644,24315475,4.95,1216,統一,318948156,320635395,-0.53,17620013,18681750,7898631,5633725
1217,-62041,85281,,4945134,-0.13,0.18,10.48,44.3108017804517,0.920793155586748,0.663807432283772,-44357,68194,,1217,愛之味,3313279,3291803,0.65,31363,-119116,-75720,187310
1218,273910,79054,246.48,3533360,0.81,0.23,10.81,46.0532325764229,1.4921940469764,0.923358969145886,298379,87533,240.88,1218,泰山,6154894,6213368,-0.94,111507,-47802,186872,135335
1219,121438,45237,168.45,3188256,0.38,0.14,12.06,48.1757917584412,2.32434570310802,1.31736854518724,90109,42567,111.69,1219,福壽,7978629,7127987,11.93,79972,31949,10137,10618
1220,128343,86323,48.68,1770779,0.72,0.49,12.43,74.4796141241915,4.69334907496827,3.04480298518028,149669,95079,57.42,1220,台榮,2122663,2429927,-12.64,140592,68150,9077,26929
1225,272672,94086,189.81,2187030,1.25,0.43,14.33,46.9679953903726,2.05720072339311,1.02335055553478,452619,134774,235.84,1225,福懋油,7927814,8051489,-1.54,451992,165263,627,-30489
1227,1901466,2133491,-10.88,8798939,2.18,2.44,15.59,63.9687641893645,2.14173743694755,1.3117188343108,2397667,2675589,-10.39,1227,佳格,19546996,19233848,1.63,2212301,2558228,185366,117361
1229,1645636,1323690,24.32,9109378,1.81,1.45,24.11,79.5720386537924,0.87288969264869,0.671204645154923,1728306,1352049,27.83,1229,聯華,3948513,3928010,0.52,465625,180415,1262681,1171634
1231,315733,247062,27.8,1530008,2.06,1.61,18.96,46.9575792968426,1.7726732257119,1.01822571497219,401248,306035,31.11,1231,聯華食,4955069,4893025,1.27,325428,230515,75820,75520
1232,634040,693034,-8.51,1599749,3.96,4.33,21.87,75.590251201161,3.96190615731964,1.55597402393071,779138,854313,-8.8,1232,大統益,12725711,13366089,-4.79,818953,787013,-39815,67300
1233,123502,136772,-9.7,905919,1.36,1.51,14.83,71.8535290276306,1.77416993358459,1.06493867113643,150626,165223,-8.83,1233,天仁,1592286,1591018,0.08,139760,141485,10866,23738
1234,999539,567168,76.23,4018711,2.49,1.41,44.22,79.8844076419892,3.47719218349704,1.75327311844884,1111407,678162,63.89,1234,黑松,6630816,4830128,37.28,143191,202005,968216,476157
1235,266443,23584,1029.76,606623,4.54,0.4,49.86,67.5642262200136,3.05602059973475,3.00382752410862,274843,23815,1054.08,1235,興泰,102389,85855,19.26,-33157,-2507,308000,26322
1236,8429,58042,-85.48,1083425,0.08,0.54,17.23,59.1486067326893,1.12835826043873,0.731256065839544,15213,68673,-77.85,1236,宏亞,1474381,1686359,-12.57,-8915,60158,24128,8515
1256,205828,199515,3.16,271656,7.58,7.34,33.68,50.0680208079099,1.51266457219634,1.16087574262172,324664,297147,9.26,1256,鮮活果汁-KY,2206093,1956151,12.78,342742,299188,-18078,-2041
1702,935622,820863,13.98,2941330,3.77,3.31,22.01,29.7894057022349,1.33409321546767,0.947908639561239,1466895,1251898,17.17,1702,南僑,12009070,11473501,4.67,1566198,1432560,-99303,-180662
1737,284468,236108,20.48,2000000,1.42,1.18,29.66,85.6747148701068,6.39441370275502,5.57062305691884,333426,279944,19.1,1737,臺鹽,2097654,2097132,0.02,324569,260799,8857,19145
03,92877376,85140826,9.09,305564555,1.73,1.57,35.91,59.9150927106424,2.40136002538171,1.88864630152739,111149624,105111607,5.74,03,塑膠類,773461556,840187791,-7.94,54933742,49491553,56215882,55620054
1301,27336741,25034871,9.19,63657408,4.29,3.93,44.91,67.8047792639833,2.12601433742909,1.83072742258712,30435792,28426569,7.07,1301,台塑,129726099,145699706,-10.96,7551682,9104978,22884110,19321591
1303,22154061,30543664,-27.47,79308216,2.79,3.85,39.48,61.8526228760161,2.62544417271725,2.11618656717029,25388648,37642582,-32.55,1303,南亞,202614025,232854191,-12.99,9338454,17015318,16050194,20627264
1304,986072,641387,53.74,11426024,0.96,0.62,16.89,28.6431537003286,2.06084664691231,1.57007053541277,2231171,1498406,48.9,1304,台聚,38731321,39546827,-2.06,2290407,1285698,-59236,212708
1305,866882,497601,74.21,4776695,1.81,1.04,14.33,57.2372245093134,2.93175065086621,2.20439992978309,1075432,662963,62.22,1305,華夏,10653595,10310043,3.33,1165540,614323,-90108,48640
1307,939849,839168,12,3978181,2.36,2.11,21.18,57.5446957834197,2.42269833636848,1.72251049860337,1165726,1049945,11.03,1307,三芳,8284910,8477479,-2.27,1215669,1028205,-49943,21740
1308,444737,405445,9.69,5030240,0.88,0.81,18.02,64.2897861167869,2.57065802265557,2.13627450233364,525562,478459,9.84,1308,亞聚,4022583,3722115,8.07,356168,290677,169394,187782
1309,17989,91067,-80.25,3276518,0.05,0.28,10.11,39.3468571894196,1.48105634374322,0.990327255681674,59631,112222,-46.86,1309,台達化,11714485,13191550,-11.2,90965,140692,-31334,-28470
1310,1033739,612720,68.71,5278698,1.96,1.16,12.5,62.6017513142824,1.65041284090849,1.34523274540078,1217372,692854,75.7,1310,台苯,10268542,9766655,5.14,1240274,772655,-22902,-79801
1312,1478293,1305912,13.2,9266203,1.63,1.44,18.77,72.8098596573199,2.50432706775047,1.35738049936755,1935894,1747444,10.78,1312,國喬,14115456,15751120,-10.38,1364558,1609642,571336,137802
1313,595076,316212,88.19,11712366,0.52,0.27,15.8,49.4641025215215,1.75289433521609,1.00672358800451,692875,311321,122.56,1313,聯成,29185936,33466894,-12.79,342011,104423,350864,206898
1314,-1426855,150892,,23199897,-0.62,0.06,22.08,66.9240035508105,2.63203992863208,1.9453142711494,-1393657,175018,,1314,中石化,19085038,21480374,-11.15,-1412456,-802513,18799,977531
1315,213961,215091,-0.53,1980000,1.12,1.13,36.45,73.7529027902409,2.92300209369972,2.40771098615509,233054,230334,1.18,1315,達新,2229805,2071424,7.65,108447,58087,124607,172247
1319,1683481,1026712,63.97,5914771,2.85,1.74,31.38,52.5274075731176,1.20429265055588,0.746034407164828,2152262,1281032,68.01,1319,東陽,17601999,16334937,7.76,2039735,1191620,112527,89412
1321,52547,71351,-26.35,2272283,0.15,0.32,22.59,45.6764160198937,1.31945071472385,0.727943797175602,52547,71350,-26.35,1321,大洋,3308581,3651709,-9.4,26832,19592,25715,51758
1323,218305,150805,44.76,912745,2.4,1.66,18.94,46.3158359240506,4.16054445013953,2.65980408907113,352150,271255,29.82,1323,永裕,2348436,2274857,3.23,335912,259244,16238,12011
1324,49569,42976,15.34,751219,0.66,0.57,13.2,75.4462016938166,3.52780017981656,2.69593637735237,61308,54871,11.73,1324,地球,909828,971007,-6.3,56092,47578,5216,7293
1325,76064,71309,6.67,1003308,0.76,0.71,18.37,90.1807185303021,21.680454098645,19.0421139872405,93486,87004,7.45,1325,恆大,726263,810474,-10.39,107202,65471,-13716,21533
1326,34984219,21493787,62.76,58611863,5.99,3.68,50.19,57.5603892207738,2.95150997895938,2.32685220042921,43294752,28034542,54.43,1326,台化,237013521,250678904,-5.45,26416821,14912209,16877931,13122333
1337,389258,213439,82.37,2653681,1.5,0.82,38.44,90.2572508061477,4.08196266964407,3.6456823227689,555473,321944,72.54,1337,再生-KY,4283606,3354193,27.71,566077,279211,-10604,42733
1339,124883,239114,-47.77,741389,1.68,3.2,38.78,48.3831258937806,1.21760995678744,0.930641138271265,156981,307802,-49,1339,昭輝,1730511,1467439,17.93,257116,251566,-100135,56236
1340,696330,639473,8.89,1148932,6.06,5.57,51.01,91.5791845686048,10.4066509670665,10.3073036970491,826936,760260,8.77,1340,勝悅-KY,2447341,2278102,7.43,783783,681545,43153,78715
1715,-32563,224872,,4151076,-0.08,0.56,15.09,40.8621490217735,1.65232135739392,1.15477474906693,-31471,281585,,1715,萬洲,8306348,8941610,-7.1,252140,262178,-283611,19407
4306,-5262,312958,,4512842,-0.01,0.61,15.97,19.8577323648536,1.18689090253203,0.470814673212538,67700,611845,-88.94,4306,炎洲,14153327,13086181,8.15,440313,299154,-372613,312691
04,14875113,19312594,-22.98,198013769,0.79,0.94,22.26,42.6329497238535,1.20485589258461,0.554183385531885,25297760,31954185,-20.83,04,紡織纖維類,373617913,387356491,-3.55,23726334,23629907,1571426,8324278
1402,3888255,7079958,-45.08,53528751,0.78,1.42,35.48,36.7146224405994,1.08903604686654,0.776721855766853,11686421,16581363,-29.52,1402,遠東新,159453249,160880353,-0.89,12216791,12170874,-530370,4410489
1409,557619,792668,-29.65,16184093,0.35,0.48,15.53,19.3589275070628,0.900425848270275,-,897317,1169524,-23.28,1409,新纖,25445045,27969471,-9.03,897317,1169524,-,-
1410,85398,92778,-7.95,720000,1.19,1.29,16.39,78.4846124838636,7.34853958534182,7.08175567585893,115452,119763,-3.6,1410,南染,456699,476102,-4.08,114604,110818,848,8945
1413,-42083,-28416,,1321124,-0.32,-0.25,6.05,34.8018265731026,1.55299127216031,0.586023257720012,-42083,-18729,,1413,宏洲,1567007,1909006,-17.92,-36089,-142842,-5994,124113
1414,-7696,-8405,,2200000,-0.03,-0.04,13.77,64.4030432493185,0.891613125403037,0.388795667631141,-6327,-13189,,1414,東和,741674,848076,-12.55,-16925,-26780,10598,13591
1416,1278028,29230,4272.32,2059357,5.03,0.11,24.96,48.285799574458,1.38224999941301,0.358708999794163,1308852,16001,8079.81,1416,廣豐,3497745,1128800,209.86,421356,19810,887496,-3809
1417,-115717,-312525,,3798837,-0.3,-0.82,10.42,75.4622836738169,2.62716024780141,1.02472902135771,-155804,-311915,,1417,嘉裕,2287756,2635344,-13.19,-328999,-357974,173195,46059
1418,-115128,-110825,,1319276,-0.93,-0.91,3.06,21.6779673397224,0.413977054028258,0.0716826915554443,-111972,-108986,,1418,東華,1280291,1041939,22.88,-108030,-147252,-3942,38266
1419,141448,135362,4.5,3000413,0.47,0.45,24.26,61.8029303744954,0.590195828792163,0.470459191025761,129270,132895,-2.73,1419,新紡,941939,775649,21.44,-41983,-71597,171253,204492
1423,12777,-19125,,1730000,0.07,-0.11,14.88,92.0228671943711,65.4802631578947,33.0238895110116,11587,-17014,,1423,利華,499065,489214,2.01,4107,2762,7480,-19776
1432,-98124,-33987,,1714376,-0.59,-0.21,12.89,29.8747581220962,0.583137347927751,0.109350211278437,-206670,-109296,,1432,大魯閣,686824,252248,172.28,-294683,-176142,88013,66846
1434,3114803,2223844,40.06,16846646,1.85,1.33,34.91,69.7312993568652,2.40388219187709,1.46708815980171,3898947,3005016,29.75,1434,福懋,30325459,32891550,-7.8,2307258,2544860,1591689,460156
1439,-1697,628,,920000,-0.02,0.01,21.05,92.1764475747073,91.1419962080173,89.1600758396533,-2057,579,,1439,中和,262001,266425,-1.66,-12366,-12151,10309,12730
1440,439173,1008360,-56.45,16568159,0.27,0.61,15.03,62.0486852314868,1.04714387454028,0.438099411642332,472612,1186810,-60.18,1440,南紡,14466000,16690084,-13.33,121761,586087,350851,600723
1441,-162527,-59292,,897991,-1.81,-0.66,6.71,19.3050094027687,0.731512196057559,0.362755393165221,-162527,-62782,,1441,大東,1203978,1402920,-14.18,-139753,-37061,-22774,-25721
1443,-192949,-55526,,1353430,-1.43,-0.41,7.93,24.7368918800493,0.574123912571014,0.0907645466159961,-250232,-121456,,1443,立益,898054,984872,-8.82,-78841,-101962,-171391,-19494
1444,-133616,343262,,9573029,-0.14,0.36,11.16,54.7268070863865,1.09577769206864,0.606275300529386,-145334,386480,,1444,力麗,7133572,7886031,-9.54,67374,218446,-212708,168034
1445,53790,70721,-23.94,1386670,0.39,0.51,13.8,86.7947622739639,7.20461885495363,2.72780264241469,62749,81325,-22.84,1445,大宇,1242508,1384542,-10.26,55719,64446,7030,16879
1446,50904,-521,,1377095,0.37,(<<<<<),12.91,46.1749607630337,1.54881294310835,0.226921267053143,62381,4658,1239.22,1446,宏和,773879,658695,17.49,60668,-19782,1713,24440
