year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200001, 1906 寶隆國際  ,1918000,7.62,1.2,56.51,30814,-41607,536469,-10793,1.02,
200002,1906,1918000.0,6.7265,1.21,59.4346,15059.0,-79283.0,938303,-64224,0.96,
200003,1906,1918000,6.2666,1.21,59.5314,12814,-67973,1301405,-55159,0.96,
200004,1906,1918000,5.6269,1.11,55.7916,25220,-127919,1655456,-102711,0.87,
200101,1906,1918000,5.6665,1.06,55.6643,-2551,-5532,412557,-8071,0.85,
200102,1906,1918000,5.7249,1.04,54.6198,4696,-29155,879686,-25483,0.87,
200103,1906,1918000,5.4479999999999995,1.02,54.0485,20215,-43739,1334007,-23705,0.85,
200104,1906,1918000,5.3356,1.07,55.7243,34108,-46697,1805002,-12861,0.9,
200201,1906,1918000,5.5858,1.05,57.5693,3318,-14174,390509,-10580,0.87,
200202,1906.0,1918000,5.44,1.15,57.1974,3517.0,-49535.0,820062.0,-46130,0.98,
200203,1906.0,1918000.0,5.0165,1.15,60.691,-5122.0,-64191.0,1115444.0,-69439,0.88,
200204,1906.0,1510000,6.8495,1.2,69.241,-16836.0,-65805.0,1178212.0,-82827,0.66,
200301,1906.0,1510000,6.8172,1.02,62.48,-24297.0,-14446.0,277197.0,-38669,0.79,
200302,1906.0,1510000,6.5901,1.09,65.6285,-19465.0,-17319.0,477013.0,-36710,0.78,
200303,1906.0,1510000,6.6543,1.19,61.7209,-11034.0,-17662.0,799949.0,-28622,0.92,
200304,1906.0,1510000,7.4508,1.2,62.8066,399.0,-27515.0,1269144.0,-27042,1.03,
200401,1906.0,1510000,8.6717,1.22,66.3102,13901.0,-11056.0,475187.0,1053,1.04,
200402,1906.0,1510000,8.2491,0.96,61.9166,19758.0,-12417.0,944296.0,5623,0.8,
200403,1906.0,1510000,8.214,0.96,63.5037,25548.0,-26730.0,1389055.0,-2900,0.8,
200404,1906.0,1510000,8.2794,0.99,65.1103,25693.0,-34886.0,1783864.0,-10911,0.87,
200501,1906.0,1510000,8.72,0.97,73.0991,-4823.0,-23172.0,348956.0,-27995,0.81,
200502,1906.0,1510000,8.56,1.03,70.8378,-6332.0,3583.0,667490.0,-4373,0.81,
200503,1906.0,1510000,8.3,0.87,70.1812,-7881.0,13761.0,1049440.0,4256,0.77,
200504,1906.0,1510000.0,8.23,0.78,,-5051.0,-2722.0,1340230.0,-9397,0.67,
200601,1906.0,1510000,8.17,0.66,74.8374,-3917.0,10614.0,248347.0,6369,0.27,
200602,1906.0,1510000,9.41,0.88,,-222.0,52538,621659.0,51988,0.53,
200603,1906.0,1510000.0,10.28,0.88,74.5673,839.0,60256,990014.0,60767.0,0.46,
200604,1906,1510000.0,12.9,0.8,79.6135,3614.0,57815,1339219.0,61005.0,0.69,
200701,1906,1510000.0,12.61,0.8,79.1215,703.0,-4934,332274.0,-4135.0,0.5,
200702,1906,1510000.0,12.54,0.44,,2997.0,12234,639968.0,14406.0,0.36,
200703,1906,1510000.0,12.83,0.55,,2968.0,49212,1015452.0,51287.0,0.46,
200704,1906,1510000.0,11.17,0.52,69.461,6400.0,53811,1477195.0,57311.0,0.5124,
200801,1906,1510000.0,11.81,0.42,72.5559,920.0,-10356,365915.0,-9436.0,0.36,
200802,1906,1510000,11.25,0.42,71.1477,1805,21339,714373,23270,0.3,
200803,1906,1510000,9.92,0.5,70.2293,5187,57941,1149116,63254,0.41,
200804,1906,1510000,9.76,0.67,63.702,2447,61175,1586207,62293,0.6609,
200901,1906,1510000,10.11,0.55,68.1083,2565,-16587,233210,-15182,0.52,
200902,1906,1510000,10.5,0.29,73.9359,-85,-10378,435602,-11207,0.27,
200903,1906,1510000,12.43,0.15,78.0182,-490,-12582,602021,-13375,0.11,
200904,1906,1510000,12.42,0.0827,75.6474,-595,59129,715624,43846,0.077,
201001,1906,1510000,11.7947,0.23,76.4227,-35,-22380,69113,-19958,0.2,
201002,1906,1510000,11.62,0.68,74.6342,1150,-12892,190379,-12096,0.34,
201003,1906,1510000,12.33,1.03,81.8944,1242,15029,237570,17904,1,
201004,1906,1510000,13.8,0.8528,82.2007,917,7101,264949,17342,0.8426,
201101,1906,1510000,13.13,0.83,80.5215,254,-16353.0,47609,-17902,0.76,
