year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 2386 國電      ,1113904,24.84,2.18,62.53,235739,-37197,2771680,199300,1.58
200002,2386,1609654.0,17.8977,1.81,54.4637,508737.0,-41019.0,5560998,430829,1.19
200003,2386,1744654,30.2848,2.41,64.6641,730606,-26483,9011589,667822,1.76
200004,2386,1744654,32.3923,3.43,75.9908,956393,62643,11843871,1028900,2.66
200101,2386,1744654,34.0457,2.09,65.9577,256408,60849,3199118,310008,1.49
200102,2386,2343065,25.9395,2.09,67.5642,508352,194913,7420921,689188,1.54
200103,2386,2343065,28.3466,1.96,63.6095,1011531,274795,12952200,1261192,1.49
200104,2386,2343065,30.7862,2.14,66.1156,1543660,285816,19155962,1802539,1.6
200201,2386,2343065,33.0259,3.52,53.3196,490737,68859,5486704,527008,2.96
200202,2386.0,3105476,24.6736,2.85,49.8694,991093.0,-27346.0,11588440.0,910119,2.41
200203,2386.0,3105476.0,26.193,3.65,54.2424,1503418.0,-37758.0,17374513.0,1359284,3.23
200204,2386.0,3105476,28.2488,2.85,50.4678,2291629.0,-50262.0,24847774.0,2000612,2.47
200301,2386.0,3105476,30.1547,2.86,50.9103,679677.0,-44813.0,7594205.0,590783,2.37
200302,2386.0,3542031,24.445999999999998,2.86,50.6618,1342319.0,-99444.0,14709169.0,1168516,2.52
200303,2386.0,3542031,25.8684,1.66,53.9981,1983615.0,-191291.0,21877731.0,1699870,1.42
