stock,95年1-9月,稅後純益,95年1-9月,增減(%),期末股本,稅後純益,95年1-9月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,95年1-9月,增減(%),營業利益,95年1-9月,營業外
01,9864168,16056731,14636209,9.71,86260030,1.96,1.79,24.2373650721638,73.9694086536636,1.97253550723752,0.82836342500605,01,水泥類,35809397,37923162,-5.57,3492318,4989568,13733437
1101,2521181,7007087,4725499,48.28,32486372,2.16,1.48,24.87,73.6559,2.9,1.08,1101,台泥,18331924,19548237,-6.22,1704850,2378183,5683965
1102,4374659,7840947,5688127,37.85,27346909,2.87,2.08,26.06,74.7994,1.39,0.62,1102,亞泥,8022193,8029306,-0.09,1405887,1726307,6792799
1103,2535535,628021,2668457,-76.47,6736871,1.15,5.18,30.49,72.6866,1.54,1.05,1103,嘉泥,2116253,1883811,12.34,78436,99051,835051
1104,222121,96418,413645,-76.69,5591592,0.17,0.74,19.64,68.6774,1.29,0.42,1104,環泥,2018280,2294222,-12.03,-85023,-54428,203735
1108,-3161,55496,278902,-80.1,4047380,0.14,0.69,10.61,55.1351,0.81,0.39,1108,幸福,2429484,3024443,-19.67,75297,292729,-8495
1109,105639,233524,613794,-61.95,4290898,0.54,1.43,14.4,89.7687,8.1,3.24,1109,信大,1486977,1758325,-15.43,225353,369665,94933
1110,108194,195238,247785,-21.21,5760008,0.34,0.43,15.09,84.4468,2.36,0.86,1110,東泥,1404286,1384818,1.41,87518,178061,131449
02,2104008,11274510,5535753,103.67,86323453,1.35,0.66,15.4083178024226,64.364822223258,1.33814681554928,0.745099346197344,02,食品類,111551918,98062904,13.76,4354721,4002603,7466060
1201,-120486,315413,351721,-10.32,5060629,0.62,0.7,8.68,41.1989,1.03,0.69,1201,味全,8258865,8027973,2.88,450478,494675,-121373
1203,-100991,3351,-54658,,2092537,0.02,-0.26,16.01,58.9657,1.16,0.26,1203,味王,1359406,1266989,7.29,25549,50866,-8144
1210,290661,772565,535094,44.38,4218966,2.01,1.5,18.35,60.199,1.32,0.73,1210,大成,12499630,10750353,16.27,279197,364420,575965
1213,2461,7021,5247,33.81,514751,0.14,0.1,11.3,69.0829,2.2,1.39,1213,大飲,535140,581901,-8.04,1517,6882,9092
1215,-4555,190680,130726,45.86,2320268,0.82,0.56,11.41,66.827,2.04,1.04,1215,卜蜂,7864859,6262149,25.59,286865,149581,-46860
1216,1625553,7515016,2910030,158.25,35553733,2.11,0.82,15.79,63.4197,0.95,0.6,1216,統一,35069973,32229095,8.81,1345952,1426560,6131364
