year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200402,5305.0,3384899.0,12.22,1.66,53.05,267142.0,258067.0,3911417.0,450351.0,1.54,
200403,5305.0,3384899.0,13.45,1.79,55.6955,421723.0,527301.0,6449920.0,798443.0,1.42,
200404,5305.0,3384899.0,13.97,1.68,54.931000000000004,500152.0,686656.0,8613794.0,982636.0,1.35,
200501,5305.0,3384899.0,14.44,1.71,56.1909,12749.0,190295.0,1897254.0,172244.0,1.39,
200502,5305.0,4068640.0,13.38,0.76,42.8527,-40272.0,409224.0,4125345.0,362270.0,0.56,
200503,5305.0,4068640.0,15.67,0.93,46.8949,-176935.0,1319205.0,6955247.0,1035833.0,0.73,
200504,5305.0,4068640.91,16.19,1.04,,-170906.0,1505333.0,9777065.0,1176481.0,0.74,
200601,5305.0,4068640.0,17.42,1.14,57.4221,61133.0,360384.0,2689531.0,381822.0,0.87,
200602,5305.0,4333801.0,17.25,1.02,,140579.0,476326,5608657.0,597238.0,0.82,
200603,5305.0,4333801.0,17.09,1.14,56.7514,237236.0,634030,8639682.0,863598.0,0.93,
200604,5305,4333801.0,17.86,1,58.7065,326491.0,772114,11535723.0,1058947.0,0.78,
200701,5305,4333801.0,19.15,1.05,60.3002,28559.0,131780,3027042.0,152596.0,0.77,
200702,5305,4448877.0,18.44,0.83,,110969.0,383024,6316184.0,438199.0,0.61,
200703,5305,4448877.0,18.15,0.9,,209722.0,708865,9520836.0,799682.0,0.64,
200704,5305,4448877.0,18.52,1.27,58.0775,318345.0,930433,12649682.0,1053176.0,1.0852,
200801,5305,4448877.0,17.82,1.24,57.5097,40337.0,154754,2885931.0,180218.0,1.06,
200802,5305,4523045.0,15.95,1.06,49.6082,115429.0,407310,5836666.0,446022.0,0.91,
200803,5305,4523045.0,16.54,1.04,50.8236,115171.0,568474,8889545.0,563802.0,0.9,
200804,5305,4523045.0,16.21,1.07,52.8367,109258.0,460777,11095988.0,462993.0,0.95,
200901,5305,4523045.0,16.44,1.18,55.6504,-170742.0,-266904,1298673.0,-305891.0,0.96,
200902,5305,4523045.0,15.18,1.07,51.8968,-288140.0,-349246,3197744.0,-434263.0,0.88,
200903,5305,4523045.0,15.7,1.18,51.5936,-377499.0,-261370,5375591.0,-408749.0,1.01,
200904,5305,4473975.0,15.86,1.0827,52.5564,-492942.0,-119647,7651446.0,-377435.0,0.8835,
201001,5305,4473975.0,15.94,0.94,52.0263,-73416.0,186021,2315892.0,104223.0,0.77,
201002,5305,4473975.0,16.11,1.01,52.625,-133875.0,433152,4717020.0,281616.0,0.8,
201003,5305,4473975.0,16.58,0.89,53.8247,-187860.0,702108,7134215.0,463006.0,0.71,
201004,5305,4473975.0,15.77,0.8112,55.0638,-239653.0,811034,9069917.0,510258.0,0.6537999999999999,
201101,5305,4473975.0,16.35,0.84,56.5182,-31373.0,165309.0,1645714.0,121221.0,0.67,
201102,5305,4473975.0,15.61,0.74,52.5289,-29541.0,352351,3580222.0,272254.0,0.6,
201103,5305,4473975.0,16.73,0.69,53.0785,-87171.0,527451,5552265.0,368255.0,0.55,
201104,5305,4473975.0,16.98,0.6679,55.6844,-264309.0,544574,7078717.0,235944.0,0.5401,
201201,5305,4473975.0,16.65,0.77,55.2996,-91738.0,43275,1527621.0,-39173.0,0.6,
201202,5305,4473975.0,16.46,0.73,52.8122,-120037.0,210299,3385927.0,63567.0,0.57,
201203,5305,4473975.0,16.28,0.95,52.3768,-137560.0,358076,5226512.0,169543.0,0.74,
201204,5305,4473975.0,16.25,0.829,51.3276,-230986.0,484224,6799431.0,193690.0,0.6357,
201301,5305,4473975.0,16.22,1.73136867519472,46.4735735590928,41074.0,-4079,2073895.0,-13167.0,1.28377787981328,
201302,5305,4473975.0,16.54,1.44302341258932,43.87762052065471,204735.0,35965,4590945.0,63372.0,1.08975022894294,
201303,5305,4473975.0,16.71,1.37347791247175,43.9264534431939,353060.0,134834,7273242.0,155000.0,1.03469324018903,
201304,5305,4474773.0,17.35,1.41157287408682,44.4534979210797,407832.0,202341,9610689.0,154634.0,1.05938976851281,
201401,5305,4479061.0,19.38,1.57245558843971,47.5166025700352,134394.0,78046,2424018.0,73525.0,1.17578222068369,
201402,5305,4482211.0,19.98,1.9078206454135,49.7347080049946,355346.0,193253,5173859.0,204288.0,1.43863783816708,
201403,5305,3148374.0,25.09,1.54346206708623,42.7828294969747,497312.0,433315,7817932.0,397228.0,1.17985230198523,930627.0
201404,5305,3149674.0,26.25,1.6959273519177902,44.3301494997682,529874.0,553636.0,10145521.0,428587.0,1.3144170143348002,1083510.0
201501,5305,3156327.0,26.47,1.6780206745326498,45.3381680792937,13763.0,215920.0,2182951.0,115348.0,1.30983849703018,229683.0
201502,5305,3159907.0,26.5,1.57278181388855,44.8334698725749,112269.0,716000.0,4603467.0,510466.0,1.2583556663098,828269.0
201503,5305,3160342.0,27.36,1.44549950439808,44.7730720476291,228340.0,796166,6948755.0,521101.0,1.1354084523612,1024506.0
201504,5305,3088117.0,26.82,1.32435855250278,42.988908570350105,366495.0,789242,9419265.0,476872.0,1.047881910062,1155737.0
201601,5305,3090622.0,26.65,1.27577358244878,43.5464931936324,128607.0,-14700,2348403.0,20598.0,0.983977068852162,113907.0
201602,5305,3092992.0,25.49,1.18316677332191,41.0919047747124,469780.0,58700,5043534.0,175176.0,0.918713156020222,528480.0
201603,5305,3097567.0,24.95,1.68825679529669,40.6306096176201,829647.0,130645,7846173.0,345371.0,1.31933457149676,960292.0
