year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200104,2494.0,1265880.0,18.9806,2.59,63.70399999999999,251838.0,193337.0,5971667.0,392818.0,2.0
200201,2494.0,1265880.0,18.7357,1.95,52.6704,-33758.0,-2503.0,1657651.0,-34069.0,1.52
200202,2494.0,1465063.0,15.1237,2.4,62.3478,-6787.0,-49446.0,3411877.0,-52649.0,1.74
200203,2494.0,1465063.0,15.064,2.11,57.5395,-40939.0,-21601.0,5058973.0,-59855.0,1.26
200204,2494.0,1465063.0,14.6553,2.49,64.721,-80310.0,-35939.0,6686288.0,-116249.0,1.57
200301,2494.0,1465063.0,14.2617,2.99,70.3868,-31621.0,-25983.0,1329458.0,-57604.0,1.82
200302,2494.0,1465063.0,13.5169,2.53,65.0959,-123430.0,-42275.0,2507093.0,-165705.0,1.49
200303,2494.0,1465063.0,10.8522,2.17,60.1264,-320992.0,-234196.0,3345299.0,-555188.0,1.25
200304,2494.0,1465063.0,4.0971,1.53,34.1074,-1162798.0,-383740.0,4008889.0,-1546538.0,0.88
200401,2494.0,1465063.0,3.241,1.54,28.9354,-111623.0,-29154.0,675138.0,-123727.0,0.89
200402,2494.0,1465063.0,2.575,1.37,29.6982,-208186.0,-25164.0,1051207.0,-222699.0,0.87
200403,2494.0,1465063.0,2.77,2.01,37.2194,-246138.0,40388.0,1324912.0,-193915.0,1.25
200404,2494.0,600049.0,5.06,1.58,34.3829,-318680.0,-28622.0,1512799.0,-335467.0,0.92
200501,2494.0,600049.0,3.61,1.4,27.4961,-77218.0,-10657.0,153064.0,-87875.0,0.67
200502,2494.0,600049.0,2.18,1.17,18.4976,-139268.0,-34946.0,430334.0,-174214.0,0.53
200503,2494.0,1175049.0,1.49,1.27,22.9571,-185756.0,-37016.0,662510.0,-222772.0,0.52
200504,2494.0,600048.98,1.58,1.44,,-170504.0,-43413.0,1164599.0,-213917.0,0.83
200601,2494.0,1997549.0,1.5,1.57,29.0083,-20370.0,4078.0,394558.0,-16292.0,0.94
200602,2494.0,314929.0,8.44,1.34,,-58316.0,662,709427.0,-57654.0,0.81
200603,2494.0,414929.0,7.3,1.48,29.6649,-97631.0,-24001,922017.0,-121632.0,0.9
200604,2494,414929.0,5.6,1.28,31.4804,-160009.0,-26153,1159821.0,-186162.0,0.56
200701,2494,414929.0,5.07,1.52,34.4096,-19458.0,-2838,211684.0,-22296.0,0.62
200702,2494,414929.0,3.94,1.34,,-49159.0,-19739,331403.0,-68898.0,0.45
200703,2494,414929.0,3.1,1.3,,-62167.0,-42764,535728.0,-104931.0,0.49
200704,2494,414929.0,1.13,1.16,11.3975,-133534.0,-52981,752630.0,-186515.0,0.54
200801,2494,414929.0,0.38,0.96,4.8753,-31745.0,44,104119.0,-31701.0,0.35
200802,2494,664929.0,-0.91,0.7,-27.0388,-91858.0,-38782,156162.0,-130640.0,0.16
