stock,稅後純益,102年1-12月,增減,期末股本,稅後純益,102年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-12月,增減,公司,,營業收入,102年1-12月,增減,營業利益,102年1-12月,營業外,102年1-12月
01,22404273,23529248,-4.78,98441609,1.44,1.6,31.71,47.5963907284575,1.34341023940578,1.08815600016203,37391580,35868664,4.25,01,水泥類,217944191,207261624,5.15,29032221,25776236,8359359,10092428
1101,10828868,10026731,8,36921759,2.93,2.72,31.95,40.2942289831063,1.40759054181746,1.17966120898279,21198720,18604456,13.94,1101,台泥,118325809,116098947,1.92,19857669,17775975,1341051,828481
1102,9361635,10517318,-10.99,33614472,2.98,3.35,42.19,50.1499320829001,1.08570149721639,0.908709682129815,13719739,14082248,-2.57,1102,亞泥,77683281,70172781,10.7,8248404,6672500,5471335,7409748
1103,16343,1272068,-98.72,7768285,0.03,1.97,26.88,51.5467120871179,3.82563212125083,2.80300542592711,9301,1338804,-99.31,1103,嘉泥,3937686,4268305,-7.75,-258849,416023,268150,922781
1104,1392582,1113121,25.11,6159697,2.26,1.81,25.39,80.70202710079,1.28234516104238,1.0629319008787,1468035,1148493,27.82,1104,環泥,5819904,5276157,10.31,178512,123311,1289523,1025182
1108,379540,179445,111.51,4047380,0.94,0.44,11.33,54.8184749067919,2.38303603067421,0.664601380485274,438060,211708,106.92,1108,幸福,5099198,4869590,4.72,440566,271131,-2506,-59423
1109,283540,274532,3.28,4210008,0.67,0.65,14.18,64.2893451456695,1.5036259485988,0.999200693782582,426820,371025,15.04,1109,信大,5000089,4551240,9.86,433979,322866,-7159,48159
1110,141765,146033,-2.92,5720008,0.25,0.26,15.49,91.8995074008587,6.07297064196508,3.85101289634705,130905,111930,16.95,1110,東泥,2078224,2024604,2.65,131940,194430,-1035,-82500
02,20058124,21997758,-8.82,118353987,1.51,1.36,18.05,33.1631694092562,1.13741890904239,0.654128323886163,33704697,37849036,-10.95,02,食品類,690911897,687981971,0.43,26645477,26351236,7059220,11497800
1201,-244138,872887,,5060629,-0.48,1.72,15.47,19.9750074432124,0.9756000428546,0.256912433616834,-170675,1106612,,1201,味全,26469174,29200402,-9.35,430424,1297168,-601099,-190556
1203,266931,263475,1.31,2400000,1.12,1.11,18.02,51.5370641489355,2.25495864013614,1.05348488520022,533233,530696,0.48,1203,味王,6296547,5996151,5.01,504709,445796,28524,84900
1210,1162573,1795696,-35.26,7363944,1.7,2.63,20.19,33.3340242357454,1.36025175035271,0.610054199019111,1491793,2593338,-42.48,1210,大成,91740920,90478017,1.4,1148670,840305,343123,1753033
1213,11509,16434,-29.97,514751,0.22,0.32,12.87,82.2215380107739,3.59868446030601,3.24934507764152,16526,20906,-20.95,1213,大飲,702122,720142,-2.5,12385,17454,4141,3452
1215,782892,453081,72.79,2436282,3.21,1.86,21.53,55.9366578170576,1.35154138631137,0.676307143619229,995381,564570,76.31,1215,卜蜂,17527760,18122414,-3.28,973488,539837,21893,24733
1216,11122830,12764241,-12.86,54634763,2.04,2.34,16.84,23.0177325187691,0.957678544336352,0.590121493871387,22261814,25282161,-11.95,1216,統一,425187182,423056211,0.5,17775203,18087585,4486611,7194576
1217,-357794,-53631,,4976893,-0.73,-0.11,10.96,39.0611612198135,0.848834393480281,0.575122916346448,-395397,-55520,,1217,愛之味,4283751,4479802,-4.38,-343186,-36357,-52211,-19163
1218,67717,-119396,,3533360,0.2,-0.35,9.92,43.3396650573713,1.15101035026273,0.662023193741686,74747,-105538,,1218,泰山,9001125,9112164,-1.22,-101930,-349231,176677,243693
1219,134453,28143,377.75,3131882,0.43,0.09,12.1,60.0834861117451,3.36144611471738,1.94782579812474,145728,20290,618.23,1219,福壽,10543589,10510873,0.31,91812,-17933,53916,38223
1220,53469,57271,-6.64,1770779,0.3,0.32,11.84,64.2146027355052,2.88926106320778,1.922326677291,52170,48254,8.12,1220,台榮,3769955,3535821,6.62,29533,36530,22637,11724
1225,45069,62240,-27.59,2187030,0.22,0.32,12.02,41.065571158164,1.84004922592075,1.01043883602534,79022,97969,-19.34,1225,福懋油,12407408,14209086,-12.68,116527,150430,-37505,-52461
1227,2075851,1859582,11.63,7206338,2.9,2.6,16.71,65.9018356352662,2.38555564586234,1.41366286671425,2570025,2248277,14.31,1227,佳格,21800013,20379206,6.97,2457158,1997306,112867,250971
1229,1718864,1334288,28.82,8545383,2.01,1.57,25.32,83.4564082419584,0.885606826185963,0.55203606048431,1768219,1376116,28.49,1229,聯華,5302422,5364070,-1.15,254584,241573,1513635,1134543
1231,222809,342639,-34.97,1481131,1.5,2.31,17.54,42.1845175593439,1.53322142542097,0.784078925863154,263321,430880,-38.89,1231,聯華食,5893261,5386837,9.4,226334,325615,36987,105265
1232,987441,706875,39.69,1599749,6.17,4.42,22.11,72.2459670254937,3.53019566332179,1.68654029614131,1204164,852218,41.3,1232,大統益,21849462,20047360,8.99,1086613,759322,117551,92896
1233,229782,230963,-0.51,905919,2.54,2.55,15.86,72.3613893698039,1.89804995456443,1.15098116265933,278652,277692,0.35,1233,天仁,2149080,2076258,3.51,240339,238964,38313,38728
1234,394958,312119,26.54,4018711,0.98,0.64,43.22,80.8578136752759,4.72007636756733,3.79083338441221,479222,975411,-50.87,1234,黑松,6015394,6537718,-7.99,-12971,105454,492193,869957
1235,52341,-45637,,561688,0.97,-0.84,23.33,51.8712816478031,1.63534304058042,1.56365972332186,50459,-43348,,1235,興泰,172096,249386,-30.99,-41440,-12612,91899,-30736
1236,167464,136168,22.98,1083425,1.55,1.26,17.06,58.0777685331349,1.33434886916117,0.836961763483778,181932,156418,16.31,1236,宏亞,2371613,2685119,-11.68,54321,194327,127611,-37909
1702,948634,854366,11.03,2941330,3.82,3.44,20.48,30.0387175028204,1.37545683057297,1.02096747332333,1578603,1328097,18.86,1702,南僑,14831846,13426115,10.47,1577941,1387009,662,-58912
1737,214469,125954,70.28,2000000,1.07,0.46,29.12,86.4479706505672,6.03063150499804,5.05933319978896,245758,143537,71.22,1737,臺鹽,2597177,2408819,7.82,164963,102694,80795,40843
