stock,92年1-12月,稅後純益,92年1-12月,增減(%),期末股本,稅後純益,92年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,92年1-12月,增減(%),營業利益,92年1-12月,營業外
01,4778591,9899416,5994472,65.14,78304457,1.28,0.78,17.3313723103634,61.7670855338374,1.25839062289123,0.970605611430586,01,水泥類,52259288,45917745,13.81,4709313,2471667,7820734
1101,1287313,4421526,1762182,150.91,28097644,1.57,0.65,18.63,55.3383,1.68,1.42,1101,台泥,27915938,24420321,14.31,2040070,944869,2613456
1102,2438088,6437765,3320641,93.87,21708858,2.97,1.63,20.77,71.9505,1.79,1.39,1102,亞泥,10404881,9568946,8.74,1600749,1027875,5131520
1103,897092,401338,712306,-43.66,6996391,0.57,1.02,20.06,65.9746,1.1,1.04,1103,嘉泥,2752265,2339862,17.63,106954,93491,415506
1104,554867,550499,543465,1.29,4157255,1.32,1.46,19.42,61.0077,1.63,1.05,1104,環泥,3441671,2893487,18.95,151611,-3462,400551
1107,-525997,-2543449,-971447,,3140353,-8.1,-1.86,0.53,2.364,0.11,0,1107,建台,53576,136092,-60.63,-116109,-203796,-755392
1108,-85662,176973,82985,113.26,4047380,0.44,0.2,10.65,55.9531,1,0.57,1108,幸福,3790283,3356452,12.93,305305,172402,-35471
1109,43286,279937,204091,37.16,4290898,0.65,0.49,13.31,90.1679,8.7,7.62,1109,信大,1985884,1558613,27.41,384939,240328,-24367
1110,169604,174827,340249,-48.62,5865678,0.3,0.61,13.57,81.397,1.97,1.08,1110,東泥,1914790,1643972,16.47,235794,199960,74931
02,1085058,2198822,1975271,11.32,87742491,0.23,0.21,10.8043681898524,51.9156484653816,0.974729877384927,0.558162489572897,02,食品類,140545260,133585918,5.21,509771,1070596,1908760
1201,-154578,-964030,76374,,5060629,-1.9,0.15,6.66,32.6383,1.02,0.72,1201,味全,9677091,10168038,-4.83,514033,230952,-1476812
1203,125645,207270,131873,57.17,2092537,0.99,0.63,15.66,60.9299,0.75,0.43,1203,味王,2457863,2107769,16.61,149082,787,63016
1204,1235,-57964,-75611,,330000,-1.76,-1.26,7.9,37.3223,1.1,0.64,1204,津津,890674,626736,42.11,-50172,-76846,-7765
1207,-1827032,-220781,-2497096,,7320098,-0.3,-1.94,9.43,26.1252,0.31,0.06,1207,嘉食化,9562458,9432376,1.38,-938681,-756282,648040
1210,146597,120148,265643,-54.77,4020278,0.3,0.68,13.18,52.5939,1.2,0.67,1210,大成,16215314,15112932,7.29,174299,171661,-63341
1212,-265218,-593721,-606290,,2731664,-2.17,-2.22,0.59,3.7895,0.36,0.17,1212,中日,2424978,3808409,-36.33,-115685,-337756,-465532
1213,-3880,5015,2309,117.19,428959,0.12,0.05,13.44,82.4293,3.3,2.69,1213,大飲,659872,647580,1.9,4163,9667,1319
1215,-150832,-88088,1204,,2320268,-0.38,<<<<<,9.62,49.9097,1.53,0.84,1215,卜蜂,12734934,11542493,10.33,-55978,197094,-60968
1216,2870261,2612127,2937696,-11.08,33753848,0.77,0.87,12.24,55.4679,1.13,0.65,1216,統一,40874802,37951951,7.7,-113665,109123,2866686
