stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
2049,1623042,1272780,27.52,2614354,6.21,4.87,46.38,41.0709965890741,1.26603190973109,0.767955363073506,2047582,1585733,29.13,2049,上銀,10790287,8561260,26.04,2094001,1494811,-46419,90922
2228,363690,250556,45.15,717050,5.07,3.85,33.5,80.0472874206864,3.95050867020991,2.60676705857089,482802,345956,39.56,2228,劍麟,2680592,2291221,16.99,442172,306754,40630,39202
2231,500349,245333,103.95,717380,7.03,3.52,22.93,74.5147799363248,2.95496929410953,2.11315408146836,582132,288639,101.68,2231,為升,1509282,1063604,41.9,559594,276706,22538,11933
2371,1235275,-1592539,,23395367,0.54,-0.69,15.39,16.6518299344633,0.889651024314774,0.586983370044192,975409,-4682148,,2371,大同,84541779,83216094,1.59,1310961,-3257494,-335552,-1424654
3167,178499,149547,19.36,727078,2.46,2.31,19.23,45.1965068324909,1.82402856953301,1.29179688865458,226880,175920,28.97,3167,大量,1730865,1614453,7.21,163919,134678,62961,41242
4526,482501,229334,110.39,2310299,2.1,0.99,22.09,37.1596629293997,1.46689659494803,0.72526331045802,678489,363500,86.65,4526,東台,6791023,5540279,22.58,526558,295450,151931,68050
4532,888326,673866,31.83,4684044,1.9,1.44,16.13,36.8955426442508,1.57751363921426,1.28318738838935,1404229,1153090,21.78,4532,瑞智,14335845,12305070,16.5,1314393,1129338,89836,23752
5288,241646,236811,2.04,652442,4.24,4.16,30.94,76.3701144933706,3.27867974153327,2.58171430839223,317942,290795,9.34,5288,F-豐祥,2717036,2531114,7.35,273373,241195,44569,49600
6605,1166908,960567,21.48,1658164,7.04,5.79,58.98,42.6976105800052,0.880002708536224,0.507767499169318,1486770,1219621,21.9,6605,帝寶,10918081,10016477,9,1472331,1167843,14439,51778
8374,158,23971,-99.34,876085,<<<<<,0.27,18.32,39.1743719007579,1.48590319055289,0.903705187498694,-6280,12663,,8374,羅昇,3185745,3153140,1.03,30461,13495,-36741,-832
8996,169266,132005,28.23,812583,2.08,1.7,21.51,61.2652769305202,1.92883787726713,1.21834210711985,199270,156099,27.66,8996,高力,1812784,1786031,1.5,204513,142941,-5243,13158
06,2860586,1986652,43.99,78428791,0.09,0.42,15.73,50.1920096955144,1.76927849644017,0.989148830751258,4435990,2858476,55.19,06,電器電纜類,225409545,213477658,5.59,3709275,96279,726715,2762197
1603,132078,165699,-20.29,3423000,0.47,0.58,18.65,63.0133021941251,1.27542516879862,0.897011985602174,153447,191726,-19.97,1603,華電,2070896,1954781,5.94,122435,174811,31012,16915
1604,592678,510981,15.99,5441001,1.15,0.95,14.92,65.3676564747403,2.18625030478425,1.39182616510562,602222,570433,5.57,1604,聲寶,8088297,8643739,-6.43,202581,83462,399641,486971
1605,2087637,778853,168.04,35760002,0.59,0.22,17.41,53.6482137128632,2.20959681908973,1.05374269998125,3256351,1153540,182.29,1605,華新,123350580,109123854,13.04,3347042,-261762,-90691,1415302
1608,69474,29448,135.92,6327735,0.16,0.07,19.09,58.4144079044867,1.88110159457468,0.834099929685186,167902,98964,69.66,1608,華榮,7528605,8286155,-9.14,-76401,-187301,244303,286265
1609,-18300,-42433,,5801808,-0.03,-0.07,12.51,38.4062780923296,1.8194331634549,1.3150508308117,19476,-65993,,1609,大亞,12060639,12729032,-5.25,-199579,-197292,219055,131299
1611,1769,11972,-85.22,3984392,<<<<<,0.03,13.99,60.4098649255076,0.773437198376094,0.489624880092896,-22606,30335,,1611,中電,2115395,2565701,-17.55,89154,60768,-111760,-30433
1612,209450,36900,467.62,3241511,0.65,0.11,14.99,88.4989283262404,5.21273337252032,3.4401518695793,246665,29868,725.85,1612,宏泰,3014799,3120754,-3.4,8963,-91469,237702,121337
1613,-198465,-200090,,2275280,-0.87,-0.88,10.03,10.9475940128827,1.14674133306921,0.650985630928443,-193924,-117168,,1613,台一,34042507,33003551,3.15,139764,68451,-333688,-185619
1614,169559,150333,12.79,2691134,0.65,0.51,19.05,72.0796830467161,2.60591200430909,1.82809122751045,209828,178586,17.49,1614,三洋電,4234726,4138882,2.32,222593,128232,-12765,50354
1615,67705,8918,659.19,1118618,0.61,0.08,13.09,66.1795644921411,1.55523546930073,0.864678388187881,74388,15828,369.98,1615,大山,2021076,2075308,-2.61,22892,7185,51496,8643
1616,-115042,5852,,1941485,-0.61,0.03,8.62,39.6802083755851,1.25828413552926,0.538284100842202,-138432,-9763,,1616,億泰,2906053,2489754,16.72,-110573,-99067,-27859,89304
1617,43271,29762,45.39,1442332,0.3,0.21,11.32,49.4339418085396,1.6912090492379,1.43649724138836,56479,33680,67.69,1617,榮星,2725020,2855188,-4.56,58720,19070,-2241,14610
1618,-3044,-36050,,2408647,-0.01,-0.15,17.04,93.8236526840737,7.83014583066901,4.81799650440437,-4202,-30975,,1618,合機,1522602,1892856,-19.56,-65326,-54218,61124,23243
1626,-235975,557452,,1228846,-1.93,4.68,24.29,36.3452421485063,1.39119052246384,0.618945458853803,-233319,655154,,1626,F-艾美,9663282,10396702,-7.05,-137521,465146,-95798,190008
4930,57791,-20945,,1343000,0.22,-0.08,31.26,29.9201467533885,1.62186712089427,1.22322386960647,241715,124261,94.52,4930,燦星網,10065068,10201401,-1.34,84531,-19737,157184,143998
08,-443656,-1578258,,34476699,0.38,0.44,18.66,47.4199827818764,1.10437201120747,0.567791384076025,-442601,-1623159,,08,玻璃陶瓷類,44589243,39488488,12.92,-530991,-1155830,88390,-467329
1802,-531579,-2134909,,23780608,-0.22,-0.9,19.45,45.0500328894964,0.905330426347668,0.453586592983135,-812074,-2331763,,1802,台玻,30896664,26121431,18.28,-1385028,-1867494,572954,-464269
1806,-344069,228249,,4373351,-0.79,0.52,17.36,54.6402979010691,1.74613221263956,0.836911844292584,-222324,281914,,1806,冠軍,5093771,5213996,-2.31,384376,353118,-606700,-71204
1809,126894,111537,13.77,1898204,0.67,0.59,18.35,57.834553000534,3.25460598497475,1.76715885392675,190652,152770,24.8,1809,中釉,2737630,2641327,3.65,181080,149120,9572,3650
1810,178650,105964,68.59,3698536,0.49,0.29,15.44,49.569976462356,1.28853007527021,0.785617713787871,235411,123981,89.88,1810,和成,4474932,4292716,4.24,122467,57848,112944,66133
1817,126448,110901,14.02,726000,1.74,1.72,18.18,81.8810299859514,3.98438367605421,2.05003831804436,165734,149939,10.53,1817,凱撒衛,1386246,1219018,13.72,166114,151578,-380,-1639
09,1293946,1279161,1.16,56067279,0.29,0.19,18,38.4821254801063,1.06044598726252,0.663147704807018,1690705,2168449,-22.03,09,造紙類,118741726,112951418,5.13,2265891,1739764,-575186,428685
1902,41368,13752,200.81,4020005,0.1,0.03,14.53,57.8163918060959,2.49095998856639,1.31405526660826,79131,70662,11.99,1902,台紙,4983094,5016413,-0.66,-14319,-18367,93450,89029
1903,-212254,-89398,,2600391,-0.82,-0.34,14.25,50.3500923934174,0.618254031305102,0.40781123604039,-212254,-89399,,1903,士紙,1250819,1569913,-20.33,-167188,-115246,-45066,25847
1904,425755,908123,-53.12,10733682,0.4,0.85,16.96,33.1263082607449,0.852026675181175,0.498912534858444,17324,990929,-98.25,1904,正隆,31888968,31461325,1.36,633328,1166574,-616004,-175645
1905,-190100,-499431,,12228353,-0.15,-0.4,13.94,58.9287456964718,2.15901939554773,0.982104980771517,-210118,-485230,,1905,華紙,15505308,14800905,4.76,-302522,-561681,92404,76451
1906,195390,7052,2670.7,1510000,1.31,0.05,19.38,62.3934652985293,0.323190751642972,0.311601420289514,222703,11228,1883.46,1906,寶隆,327876,419125,-21.77,-1814,-1026,224517,12254
1907,163022,300121,-45.68,16603715,0.1,0.18,23.11,35.0058134673581,1.05053397649545,0.650158382338359,553883,686230,-19.29,1907,永豐餘,44425254,42113981,5.49,263964,98946,289919,587284
1909,870765,638942,36.28,8371133,1.1,0.93,17.79,31.8351923627348,0.934989136688585,0.783639588434943,1240036,984029,26.02,1909,榮成,20360407,17569756,15.88,1854442,1170564,-614406,-186535
10,23299357,23441779,-0.61,282713276,0.58,0.97,16.96,42.9233649158381,1.24768607485095,0.478919673918875,31530230,30926548,1.95,10,鋼鐵類,597427184,560971687,6.5,32310209,25760665,-779979,5165883
1532,155567,646690,-75.94,3936561,0.4,1.64,29.21,28.7988201734041,1.62574333031132,0.441805603517603,943196,1339469,-29.58,1532,勤美,11181055,10995997,1.68,1052462,1223382,-109266,116087
2002,15401923,12457116,23.64,157731290,1,0.81,19.08,43.0813297824526,1.01925885459205,0.351783548404142,20265387,18038629,12.34,2002,中鋼,276845574,260415842,6.31,20260087,18551868,5300,-513239
2006,1142860,1525689,-25.09,9982215,1.14,1.53,22.58,59.7072706426636,1.83811511559715,0.738447317354592,1319110,1752409,-24.73,2006,東鋼,26450049,25757100,2.69,929343,1501882,389767,250527
2007,-465653,-646767,,6306516,-0.74,-1.03,6.91,32.0241498907038,1.31338744628862,0.629352638206939,-463072,-625335,,2007,燁興,5439052,4590262,18.49,-350202,-470731,-112870,-154604
2008,-303321,5501410,,2754873,-1.1,12.98,13.49,74.9524898235682,1.14617150852941,0.610875291709122,-187993,5574585,,2008,高興昌,1025246,929860,10.26,-199835,-282134,11842,5856719
2009,136060,121392,12.08,3596222,0.38,0.34,11.48,66.4482233478842,1.59587526424423,0.484560767703397,149194,103146,44.64,2009,第一銅,3093966,2776648,11.43,-38247,-122528,187441,225674
2010,363141,291704,24.49,6476554,0.56,0.45,15.73,53.9463530542772,1.90802330760591,1.09311883248326,381161,349310,9.12,2010,春源,15472713,14693831,5.3,281642,252926,99519,96384
2012,70847,74540,-4.95,2877740,0.27,0.28,13.4,32.0092921334166,1.20583184470582,0.58756002019431,153135,183587,-16.59,2012,春雨,6809466,6184762,10.1,186528,157208,-33393,26379
2013,178507,329678,-45.85,2000000,0.92,1.71,22.75,32.4202792593602,1.12095720529681,0.86352755083076,205275,372521,-44.9,2013,中鋼構,12966353,15165156,-14.5,80163,290755,125112,81766
2014,226219,-178583,,14355444,0.16,-0.12,6.36,26.3506372861558,0.574679344860146,0.151538074490496,225881,-176828,,2014,中鴻,29002021,30370302,-4.51,261048,-95863,-35167,-80965
2015,1176319,1010967,16.36,5815994,2.02,1.74,26.23,79.4146108968176,2.89637840999628,1.03306761219124,1395816,1203032,16.02,2015,豐興,22687815,22134990,2.5,1278026,1104371,117790,98661
2017,-113742,-103978,,3848775,-0.3,-0.27,10.32,48.7088589112989,1.21209653093556,0.406132693808777,40422,40545,-0.3,2017,官田鋼,4544744,4537925,0.15,59232,50928,-18810,-10383
2020,255772,165483,54.56,2595331,0.98,0.63,14.12,54.3561479249244,1.36676666161502,0.523280692394087,318063,207472,53.3,2020,美亞,4296223,3945966,8.88,325975,191413,-7912,16059
2022,39002,-59169,,5445911,0.07,-0.12,9.35,35.0704445491026,0.90161018625215,0.283353660711579,68489,-240185,,2022,聚亨,6599077,8071624,-18.24,30791,-138149,37698,-102036
2023,807401,577604,39.78,16680490,0.48,0.35,15.79,38.4282558614841,1.00463426470262,0.55300839059815,863649,396145,118.01,2023,燁輝,45248062,40762979,11,1057518,826299,-193869,-430154
2024,121260,44996,169.49,1020000,1.11,0.41,11.25,50.5911669232166,2.00088698515593,0.86263186974623,83027,53401,55.48,2024,志聯,1327540,1201663,10.48,88765,72229,-5738,-18828
2025,37946,-280831,,3228341,0.13,-1,6.17,58.5866179062289,1.138605293456,0.411171610856135,37948,-280829,,2025,千興,3995755,2952748,35.32,29823,-289087,8125,8258
2027,1668137,46948,3453.16,7770970,2.17,0.06,15.11,27.888107342123,2.75892259282326,0.575698616886986,2553743,281764,806.34,2027,大成鋼,38196508,28466614,34.18,3075957,319811,-522214,-38047
2028,-471306,-315730,,3428580,-1.67,-1.19,5.13,26.0891539382306,0.474659763380569,0.131196178667381,-471306,-315730,,2028,威致,7434633,7656069,-2.89,-404851,-235208,-66455,-80522
2029,279562,436471,-35.95,3211800,0.87,1.36,24.93,80.1196733133274,6.07012960514761,3.73818245687103,405079,542238,-25.29,2029,盛餘,12096448,11058151,9.39,634378,577849,-229299,-35611
2030,321795,17204,1770.47,2728819,1.25,0.07,13.37,29.080572842306,1.55025393776627,0.516711531396405,402627,40125,903.43,2030,彰源,10479485,9853670,6.35,506827,124891,-104200,-84766
2031,224708,250405,-10.26,2777199,0.81,0.9,19.36,38.8750976564336,1.40730512124402,0.820001151583291,263358,271318,-2.93,2031,新光鋼,6865704,6355410,8.03,370444,348289,-107086,-76971
2032,54089,24838,117.77,1305215,0.41,0.19,12.43,78.6603456734582,7.28142711641004,4.26245281888443,72625,29529,145.94,2032,新鋼,2587537,2638664,-1.94,62445,16820,10180,12709
2033,-14026,-9129,,806945,-0.17,-0.11,11.41,68.4228834162944,1.76333701886532,0.756661105462156,-14377,-10655,,2033,佳大,604048,637548,-5.25,97,-15550,-14474,4895
2034,839274,492300,70.48,3701189,2.27,1.33,19.21,52.1923192405132,2.00206387099629,0.807829644426627,966784,560177,72.59,2034,允強,19947709,17758444,12.33,948083,520543,18701,39634
2038,-43188,-98749,,1726329,-0.25,-0.57,16.65,37.3180556280481,1.15248752080132,0.40855517426659,-47375,-109108,,2038,海光,8786478,8190843,7.27,-50275,-77856,2900,-31252
3004,-66241,79257,,423502,-1.57,1.9,16.79,32.2931450669779,1.28535516591909,0.714093015859026,-32976,100355,,3004,豐達科,1030626,788156,30.76,172748,106510,-205724,-6155
5007,807064,691361,16.74,2681274,3.01,2.59,18.01,68.6400902784224,2.34810963238618,1.33593183323347,982462,844442,16.34,5007,三星,5402556,4784965,12.91,960266,768831,22196,75611
5538,414853,156579,164.95,1680000,2.47,1.04,20.71,65.8880333553923,2.41450733602485,1.10179782589884,579971,182798,217.27,5538,F-東明,4813045,4668375,3.1,594737,218896,-14766,-36098
9958,54528,192083,-71.61,1819197,0.3,1.26,12.1,35.3484345183405,1.93670616721597,1.47413144782663,70927,218221,-67.5,9958,世紀鋼,2197696,2627123,-16.35,106234,262070,-35307,-43849
11,22139297,21323954,3.82,81573880,2.56,2.03,22.23,54.3658830375716,1.68270654043206,1.03675935309946,29314212,27763787,5.58,11,橡膠類,199575882,203762701,-2.05,27987552,26521483,1326660,1242304
2101,320801,289246,10.91,8798940,0.38,0.35,13.17,54.4307623599122,1.39015933583632,0.611342008468555,517862,378019,36.99,2101,南港,9745803,10096458,-3.47,656426,468556,-138564,-90537
2102,337816,571521,-40.89,4571904,0.76,1.29,21.52,77.231656023076,2.71353080388307,1.84746735066124,454499,729822,-37.72,2102,泰豐,5850375,6468330,-9.55,456187,716183,-1688,13639
2103,839449,1274719,-34.15,8257099,1.02,1.54,18.83,47.0602400427061,1.33357208369391,0.760952941590904,1154635,1874433,-38.4,2103,台橡,23947687,27207135,-11.98,1468094,1950978,-313459,-76545
2104,2502740,685554,265.07,5492241,4.64,1.27,36.59,60.6880926210835,2.16776257618676,1.38101903698953,3439414,1390914,147.28,2104,中橡,16872945,16400954,2.88,1476853,1409548,1962561,-18634
2105,11703410,13596985,-13.93,32414155,3.61,4.19,25.09,49.3639352694201,1.21671725890692,0.799918460005447,15866160,17151557,-7.49,2105,正新,98427287,100283222,-1.85,16266788,15962400,-400628,1189157
2106,2702357,2468339,9.48,8164500,3.31,3.18,22.53,51.3601944300758,2.74591062831205,1.80864466160609,3514150,3346122,5.02,2106,建大,25417194,24785832,2.55,3415976,3283444,98174,62678
2107,2850488,1560722,82.64,4971894,5.73,3.14,25.09,91.1908027060617,9.36466311747605,4.06943121044159,3089332,1684740,83.37,2107,厚生,4677968,3157507,48.15,3002871,1551475,86461,133265
2108,118521,247850,-52.18,4149932,0.29,0.6,13.76,76.7652910354584,3.41016421385932,2.210516353005,180596,297492,-39.29,2108,南帝,6031013,6603279,-8.67,139686,263014,40910,34478
2109,233924,232317,0.69,3368015,0.69,0.81,11.73,45.2194195228184,1.81057359360398,1.1646626998545,440038,425157,3.5,2109,華豐,5098537,5639781,-9.6,468008,430738,-27970,-5581
2114,357292,323401,10.48,675253,5.29,4.79,29.55,80.6917091856848,2.92109408927532,2.25274885195007,434143,376587,15.28,2114,鑫永銓,1554078,1362891,14.03,417483,358789,16660,17798
2115,172499,73300,135.33,709947,2.43,1.16,23.75,65.2443117604476,3.01306741835376,1.68979454882539,223383,108944,105.04,2115,F-六暉,1952995,1757312,11.14,219180,126358,4203,-17414
12,16032738,15589218,2.85,47881945,5.79,5.66,40.43,39.8727436044164,1.16606584989872,0.956964862377688,21464734,20156206,6.49,12,汽車類,295042978,251117837,17.49,11932449,8838195,9532285,11318011
1338,441807,264835,66.82,850000,5.5,3.39,68.51,72.8172034835914,2.32968199504132,1.90111460225678,605926,336524,80.05,1338,F-廣華,6094019,5033635,21.07,626804,280723,-20878,55801
2201,2535337,2660223,-4.69,15729199,1.73,1.82,44.4,34.6859490001894,1.01200899954513,0.866915929375908,3712804,3507025,5.87,2201,裕隆,87607377,65119533,34.53,1775090,480094,1937714,3026931
2204,2203274,1770197,24.46,13840508,1.62,1.3,34.36,79.8897201429297,3.19911158575305,2.41096966460775,2765974,2131482,29.77,2204,中華,28478847,26793818,6.29,1955764,1056200,810210,1075282
2206,-234348,126000,,9000446,-0.27,0.15,15.73,34.8731136568214,1.12888953157649,0.39844342397661,-17093,118759,,2206,三陽,28173818,25046256,12.49,-412649,-269335,395556,388094
2207,7167514,5730683,25.07,5461792,13.12,10.49,61.2,23.0482263314571,1.09102539501864,0.974872902843434,9536040,7990855,19.34,2207,和泰車,118301593,106722458,10.85,7389928,5841446,2146112,2149409
2227,3919154,5037280,-22.2,3000000,13.06,16.79,77.91,71.4510015246194,2.36503310399036,2.06228694751564,4861083,6071561,-19.94,2227,裕日車,26387324,22402137,17.79,597512,1449067,4263571,4622494
14,29650815,43477141,-31.8,221848760,1.57,2.4,19.69,36.623792727869,1.63073255545811,0.294296664853946,36827703,48753622,-24.46,14,建材營造類,217397609,244296991,-11.01,37901165,48861467,-1073462,-107845
1436,287195,-16624,,600000,4.79,-0.28,38.89,44.9774188592953,1.69638040403891,0.116304826844242,294683,-16651,,1436,華友聯,1370766,1873,73085.58,290055,-24290,4628,7639
1438,-3071,22656,,1024115,-0.03,0.22,5.19,88.0740085419959,230.736499425507,99.6200689391038,-3103,24892,,1438,裕豐,641,49228,-98.7,-5624,25472,2521,-580
1442,270987,1259967,-78.49,2140711,1.28,6.1,18.97,31.158541938185,2.76886655804017,0.0639087894771521,328519,1353650,-75.73,1442,名軒,879881,3644285,-75.86,303036,1348697,25483,4953
1805,28927,-34757,,802654,0.36,-0.45,10.01,63.0111027009644,2.91989722363613,1.68137193644446,28927,-33626,,1805,寶徠,971740,138231,602.98,29269,-36434,-342,2808
1808,284921,-10605,,1850089,1.6,-0.07,19.43,23.5894869850565,1.72705381963076,0.225582144647669,297149,2891,10178.42,1808,潤隆,2728937,251564,984.79,333922,16084,-36773,-13193
2501,722841,1567849,-53.9,16565158,0.44,0.95,13.8,40.6794225350749,1.73814398227749,0.291921079777899,849756,1574107,-46.02,2501,國建,4777392,6993160,-31.68,638432,1438345,211324,135762
2504,457772,328481,39.36,15192983,0.3,0.22,15.93,37.9363021702993,1.16570333776475,0.933138035934957,833648,352119,136.75,2504,國產,25470344,22383262,13.79,838745,573,-5097,351546
2505,109150,413821,-73.62,5035592,0.22,0.83,12.67,45.9314474053498,1.60878662488206,0.151645149396911,109111,496869,-78.04,2505,國揚,1443317,5009937,-71.19,159346,443524,-50235,53345
2506,231549,84393,174.37,3870000,0.62,0.22,16.56,38.225946873914,1.6090605312773,0.350459638615496,448347,185745,141.38,2506,太設,2580650,2615091,-1.32,373771,127214,74576,58531
2509,-136580,425739,,1517520,-0.9,2.81,21.25,48.5749262815,1.9407280195574,0.332016904459048,-137703,484831,,2509,全坤建,24877,324481,-92.33,-153429,520772,15726,-35941
2511,991809,-53318,,16623418,0.63,-0.04,13.91,41.4153993978407,1.89952718184773,0.312973193583668,1047137,-77416,,2511,太子,9780693,7762782,25.99,881437,511062,165700,-588478
2515,353439,103235,242.36,15250175,0.23,0.07,12.66,50.4820246273507,2.42681726989358,1.68071177452153,223719,155301,44.06,2515,中工,11098345,9093967,22.04,366676,168331,-142957,-13030
2516,171661,-119910,,2364775,0.76,-0.44,12.94,32.1912456221901,1.32619443906845,0.884781626991807,208227,-93663,,2516,新建,8177972,7037504,16.21,198345,-107982,9882,14319
2520,1367301,266027,413.97,5037910,2.77,0.54,20.74,23.9109798591301,1.63831754802413,0.198962489184965,1777497,338446,425.19,2520,冠德,7298146,2582154,182.64,1906185,-2896,-128688,341342
2524,684679,1296424,-47.19,3759261,1.82,3.45,27.75,37.6473995072249,1.59366360502743,0.0238875346559429,884741,1533967,-42.32,2524,京城,2388331,3947596,-39.5,927638,1574203,-42897,-40236
2527,945898,-97840,,2703060,3.61,-0.37,27.28,47.72628617272,2.23272318064581,0.0606950432146629,1009254,-62551,,2527,宏璟,4916525,332963,1376.6,890345,-97049,118909,34498
2528,58440,-39857,,1209400,0.49,-0.37,10.95,84.1010578553746,20.5096450374473,7.57915853735289,67242,-39263,,2528,皇普,326670,51414,535.37,56048,-35392,11194,-3871
2530,-87223,18843,,2707525,-0.33,0.07,11.07,35.5880216058736,1.53294166325372,0.0299339640722736,-95591,22367,,2530,華建,7826,601394,-98.7,-95217,39843,-374,-17476
2534,-284496,-597429,,5890910,-0.48,-1.01,14.71,34.7912768878145,1.85056157983793,0.0220728522558326,-271924,-585870,,2534,宏盛,169084,64968,160.26,-205507,-507504,-66417,-78366
2535,438947,732043,-40.04,2196229,2.13,3.55,21.15,31.1853268630488,2.08098844621189,1.29753770146366,484243,887568,-45.44,2535,達欣工,8399772,11660464,-27.96,485475,874111,-1232,13457
2536,575311,131408,337.81,3328087,1.76,0.41,30.21,44.3543969739509,1.69232103572972,0.0626949988292932,651776,306204,112.86,2536,宏普,2469118,1704481,44.86,768164,418365,-116388,-112161
2537,245404,432433,-43.25,2477692,1,2.79,13.71,52.029419301006,2.41262305422483,0.157794028772389,247928,441934,-43.9,2537,聯上發,891113,1854891,-51.96,274604,463716,-26676,-21782
2538,1300754,652433,99.37,4089644,3.18,1.62,17.14,44.7262765766553,1.66657992047944,0.411445975865626,1359699,710021,91.5,2538,基泰,2151745,1838618,17.03,1305902,578867,53797,131154
2539,868597,235935,268.15,2386380,3.64,0.99,15.76,61.002736887431,3.32074941735192,0.153872411063717,949867,254738,272.88,2539,櫻花建,3024752,957493,215.9,951458,254316,-1591,422
2540,102806,-26798,,966000,1.06,-2.46,16.98,50.8770977414594,2.29785993390023,0.799788919681895,104806,-26798,,2540,愛山林,805424,56613,1322.68,117421,-24118,-12615,-2680
2542,8787549,5374275,63.51,8974051,9.92,6.07,33.03,27.9920905625292,1.49879377436233,0.162120114124869,9570767,6585706,45.33,2542,興富發,29663692,23850965,24.37,9681184,6664675,-110417,-78969
2543,187442,52947,254.02,2419837,0.87,0.3,9.73,44.0112055097743,1.71684979412178,1.25968240630822,214778,43314,395.86,2543,皇昌,3655673,2340041,56.22,161264,38815,53514,4499
2545,1043794,1725158,-39.5,3277348,3.18,5.26,31.63,25.588411352171,1.29553737683267,0.135408133030349,1135143,1964711,-42.22,2545,皇翔,2590541,4939140,-47.55,1268643,2113179,-133500,-148468
2546,164397,144126,14.06,1060357,1.55,1.36,20.15,52.2067492111159,1.8988244887223,1.77940053922536,208438,165618,25.85,2546,根基,3962593,4068394,-2.6,190698,102468,17740,63150
2547,-308885,8137441,,8779416,-0.35,9.49,18.73,24.3901081889208,1.04000386288584,0.107159996045685,-176437,8176541,,2547,日勝生,2519903,24264555,-89.61,-32733,8665810,-143704,-489269
2548,-201789,2938144,,2768127,-0.73,10.62,40.46,29.6721857763883,1.53481761875302,0.109403334345264,42008,3006498,-98.6,2548,華固,1433317,8528800,-83.19,69559,2983394,-27551,23104
2597,845186,767166,10.17,1350000,6.26,5.68,32.24,35.313301120839,1.171808279966,0.962290959102667,1100708,915174,20.27,2597,潤弘,10516805,10466165,0.48,892553,831597,208155,83577
2841,-196517,437915,,6864623,-0.3,0.68,16.54,46.4804929322628,1.17427733399015,0.92087664397325,-197391,448509,,2841,台開,324592,1790369,-81.87,-166609,504768,-30782,-56259
2923,1951959,957846,103.79,17402970,1.12,0.55,29.24,45.8552221268928,3.33071932801434,0.315096390480677,3725547,1632149,128.26,2923,F-鼎固,4344199,6453367,-32.68,4312927,2401917,-587380,-769768
3052,87722,198017,-55.7,2240428,0.45,1.01,14.2,49.8998523745853,1.93291796313182,1.08412036210154,121352,187357,-35.23,3052,夆典,2405098,3357805,-28.37,123008,192241,-1656,-4884
3056,4363,1254384,-99.65,1729464,0.03,8.92,17.41,30.4632731362859,1.38037888219912,0.122025737185188,15202,1370067,-98.89,3056,總太,293761,3854355,-92.38,15621,1282493,-419,87574
3703,1086958,227867,377.01,8832160,1.23,0.26,21.25,33.9341398802076,1.43476090289154,0.503570949327184,1280091,347936,267.91,3703,欣陸,15712748,11449521,37.23,1249452,225867,30639,122069
5515,182852,893603,-79.54,3601191,0.51,2.52,16.88,57.09926726144,2.83603266483463,2.59114125527036,299011,1074914,-72.18,5515,建國,5191679,4380770,18.51,204626,-137690,94385,1212604
5519,377154,474989,-20.6,1725000,2.19,2.75,14.91,39.182678387362,2.79048939990887,0.523685150938508,395481,474929,-16.73,5519,隆大,2673620,3399008,-21.34,398256,456166,-2775,18763
5521,-174939,38455,,3475274,-0.5,0.11,11.48,41.4446625853022,1.5886286756699,0.921638923688328,-203628,48085,,5521,工信,4105661,2724711,50.68,-197176,106503,-6452,-58418
5522,2154131,4780733,-54.94,8354332,2.58,6.2,43.75,37.4376000273531,1.61524204671543,0.0184045478046018,3274710,5416725,-39.54,5522,遠雄,10707156,16445010,-34.89,3671946,5637842,-397236,-221117
5525,132719,483758,-72.57,2457193,0.56,2.03,14.69,38.3212277415884,1.28550951106083,0.0746729631853901,142923,529062,-72.99,5525,順天,1403435,1967428,-28.67,160119,543148,-17196,-14086
5531,885626,840828,5.33,8021000,1.1,1.36,13.21,27.1775167776112,1.77073502059513,0.158461221412677,1013089,830384,22,5531,鄉林,3835089,3094721,23.92,1054046,922552,-40957,-92168
5533,857407,658502,30.21,2556647,3.36,2.58,25.65,57.5714144743542,2.47606081688813,0.184305486260611,958701,741712,29.26,5533,皇鼎,3091520,2601243,18.85,978431,729868,-19730,11844
5534,414340,4842360,-91.44,2612549,1.59,19.48,33.08,31.7705623352873,1.48176326097359,0.04871798772806,714009,5090798,-85.97,5534,長虹,2281452,7590295,-69.94,736215,5104669,-22206,-13871
6177,1422100,52257,2621.36,1690813,8.43,0.31,20.61,28.9636024038721,1.64811669931875,0.0319566218407716,1470607,113803,1192.24,6177,達麗,4006297,859495,366.12,1471058,125072,-451,-11269
9946,-39772,1221821,,2066692,-0.19,6.03,15.74,27.325502545113,1.44520691961426,0.0404105502938939,24639,1399818,-98.24,9946,三發,524717,4912419,-89.32,21580,1398283,3059,1535
15,8249122,2017930,308.79,242354609,0.81,0.64,15.2,31.8113365870059,1.14130517265318,0.900998527744933,14196134,4347478,226.54,15,航運類,553842983,520529617,6.4,18536897,6007161,-4340763,-1659683
2208,239917,378188,-36.56,7435652,0.32,0.51,18.13,50.2499337757133,1.46496099347424,0.899676654759058,284275,449517,-36.76,2208,台船,18419285,18374131,0.25,250920,343657,33355,105860
2603,319365,-2190663,,34775802,0.09,-0.63,16.83,31.3943608001805,1.40778206086629,1.15645672377462,1540343,-2221212,,2603,長榮,107097536,105868709,1.16,2057166,-1922813,-516823,-298399
