stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
1301,18494908,15086924,22.59,63657408,2.91,2.37,43.12,64.1944843259007,2.84279960941247,2.29930056028154,20856731,16780004,24.3,1301,台塑,166359729,159479008,4.31,3922525,2675364,16934206,14104640
1303,28730867,18868859,52.27,79308216,3.62,2.38,38.67,57.027187075886,3.2554332639074,2.43925705623252,30144230,22760063,32.44,1303,南亞,245576449,230543005,6.52,9552880,11362330,20591350,11397733
1304,565780,654322,-13.53,11426024,0.55,0.63,16.44,28.2206583450976,1.97984186256696,1.41645316746679,929211,1652923,-43.78,1304,台聚,46688252,43606581,7.07,650741,1036867,278470,616056
1305,177076,610359,-70.99,4683034,0.38,1.3,12.52,48.5314096002603,1.99663218938529,1.30058406112994,255455,805886,-68.3,1305,華夏,11339985,10716809,5.81,226711,721046,28744,84840
1307,722756,552814,30.74,3749817,1.93,1.47,19.42,55.6721690676368,2.34672266372572,1.55515897317375,867476,731221,18.63,1307,三芳,8338285,7799827,6.9,852349,684270,15127,46951
1308,418462,415413,0.73,4696769,0.89,0.88,18.48,88.9031709046038,4.95753263557264,3.9127296551951,484086,458507,5.58,1308,亞聚,4383988,4125188,6.27,321079,155826,163007,302681
1309,-404596,96870,,3276518,-1.23,0.3,11,28.662710607859,1.35281978601056,0.917205058153268,-419526,84688,,1309,台達化,15912612,16105050,-1.19,-366588,-61000,-52938,145688
1310,231848,790386,-70.67,5278698,0.44,1.5,10.65,56.8743087040967,1.38852601945532,0.943066210620132,216878,786343,-72.42,1310,台苯,14052104,14908910,-5.75,-214223,843259,431101,-56916
1312,366220,1379618,-73.45,9266203,0.4,1.52,16.83,61.4386653276885,1.60094958284685,0.887856879544023,798140,1870815,-57.34,1312,國喬,18740030,19666294,-4.71,499837,1669764,298303,201051
1313,53517,458824,-88.34,11642111,0.05,0.4,15.86,42.6632914486009,1.4729907993503,1.00549621669902,-12243,476213,,1313,聯成,40111873,38096175,5.29,48718,-194096,-60961,670309
1314,-978892,-1167559,,23199897,-0.42,-0.5,13.17,66.9467049033519,2.65663450102258,1.9171617300714,-934064,-1144397,,1314,中石化,25883470,26384517,-1.9,-1253020,-1420520,318956,276123
1315,163970,156197,4.98,1980000,0.79,0.74,37.57,76.1445786202762,3.60747811328909,2.88894745256781,182505,169552,7.64,1315,達新,2233972,2734139,-18.29,61127,73298,121378,96254
1319,884596,1047172,-15.53,5914771,1.5,1.78,28.29,50.7131644606627,1.27140953705693,0.816962047270458,1158570,1321905,-12.36,1319,東陽,15597307,14276617,9.25,846477,1055548,312093,266357
1321,-91082,40769,,2272283,-0.41,0.18,22.66,52.120946775663,1.07901588687005,0.50927380258909,-91082,40792,,1321,大洋,4213593,4373473,-3.66,-109193,-12459,18111,53251
