year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200001, 1716 永  信    ,2196850,20.74,4.72,80.32,131204,-27369,600436,92561,3.43
200002,1716,2416535.0,18.3106,3.16,75.9197,284684.0,-21308.0,1249086,186011,2.31
200003,1716,2416535,18.6454,4.17,82.2495,403056,-40779,1825543,260904,2.86
200004,1716,2416535,18.9704,3.72,86.3857,562163,-120477,2447047,291696,2.49
200101,1716,2416535,19.4424,4.06,86.565,156581,-43827,628641,83426,2.8
200102,1716,2416535,18.3733,2.57,79.9145,313779,-38102,1294710,221075,1.79
200103,1716,2416535,18.7708,3.79,86.9291,457988,-59046,1888383,312103,2.28
200104,1716,2416535,19.0418,4.43,87.221,600223,-83186,2509230,383038,2.67
200201,1716,2416535,19.5858,4.42,87.7758,144437,1474,603437,109929,2.58
200202,1716.0,2416535,18.3213,2.63,80.1095,307801.0,-4710.0,1234012.0,244546,1.65
200203,1716.0,2416535.0,18.8713,3.84,86.5717,462674.0,-39296.0,1785066.0,311315,2.27
200204,1716.0,2416535,19.2516,4.47,88.0525,572745.0,-6647.0,2365861.0,452451,2.84
200301,1716.0,2416535,19.6902,4.34,87.6507,131640.0,-2219.0,623160.0,102769,2.94
200302,1716.0,2416535,18.5379,2.76,81.2843,237787.0,25722.0,1232670.0,232885,1.92
200303,1716.0,2416535,18.9839,4.3,88.3594,352577.0,54470.0,1787342.0,340516,2.7
200304,1716.0,2416535,19.7857,4.9,88.978,463483.0,83577.0,2440369.0,499660,3.24
200401,1716.0,2416535,20.1538,4.71,88.478,139715.0,14584.0,664878.0,109863,3.28
200402,1716.0,2416535,19.274,2.5,80.2136,340456.0,34738.0,1359502.0,283432,1.75
200403,1716.0,2416535,19.7747,3.73,86.9288,483383.0,41331.0,2039068.0,398684,2.53
200404,1716.0,2416535,20.72,3.7,86.0038,716932.0,115737.0,2809298.0,722221,2.59
200501,1716.0,2416535,21.19,3.84,86.1394,168605.0,20763.0,773510.0,113119,2.71
200502,1716.0,2537362,19.83,2.49,79.0043,316713.0,7469.0,1549967.0,194292,1.82
200503,1716.0,2537362,19.49,3.6,86.1442,437026.0,27868.0,2259388.0,296773,2.34
200504,1716.0,2537361.75,19.93,3.94,,633672.0,59889.0,2962109.0,470666,2.58
200601,1716.0,2537362,20.46,4.43,88.197,139448.0,27475.0,716813.0,134313,2.41
200602,1716.0,2537362,18.89,2.27,,280853.0,80923,1466748.0,264872,1.32
200603,1716.0,2537362.0,19.44,4.18,87.4448,406558.0,108562,2146535.0,379986.0,2.25
200604,1716,2537362.0,20.23,4.76,88.0133,565596.0,183982,2900525.0,590414.0,2.68
200701,1716,2537362.0,20.86,5.02,88.3766,144493.0,36274,744368.0,132384.0,2.6
200702,1716,2537362.0,19.29,2.43,,294207.0,88587,1568086.0,282722.0,1.3
200703,1716,2537362.0,19.78,3.91,,429960.0,111051,2331963.0,404598.0,1.98
200704,1716,2537362.0,20.35,3.61,84.5524,568149.0,160848,3128157.0,558264.0,2.14
200801,1716,2537362.0,20.61,5.22,88.5955,102144.0,65896,795318.0,119604.0,3.05
200802,1716,2537362,18.94,2.18,77.9576,200562,132159,1608953,242693,1.4
200803,1716,2537362,19.53,3.46,85.9287,278772,179923,2358908,337337,1.94
200804,1716,2537362,20.23,3.3,84.9053,382780,303805,3164823,502727,2.05
200901,1716,2537362,20.81,3.97,86.7795,83801,44282,802402,100144,2.49
200902,1716,2537362,19.6,2.26,79.6739,170830,88608,1668967,217361,1.5
200903,1716,2537362,20.03,3.78,86.4868,258031,177092,2444606,352172,2.21
200904,1716,2537362,20.59,3.87,85.5016,369248,248674,3267593,524219,2.48
201001,1716,2537362,21.12,4.89,88.1726,93773,64495,763061,125897,3
201002,1716,2537362,20.26,2.53,81.2629,186157,106799,1580037,258600,1.59
201003,1716,2537362,20.89,3.57,85.6568,279721,226222,2424257,438059,2.12
