stock,88年1-9月,稅後純益,88年1-9月,增減(%),期末股本,稅後純益,88年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,88年1-9月,增減(%),營業利益,88年1-9月,營業外
1303,705806,16926457,7762196,118.06,52323647,3.24,1.68,22.9612,54.2078,1.13,0.58,1303,南亞,81037219,68256496,18.72,6983651,6106353,6934738
1304,509478,345723,694345,-50.21,7714032,0.45,0.95,12.8896,69.6834,2.03,1.27,1304,臺聚,3793032,3458016,9.69,-189598,281167,422621
1305,260847,-296613,131802,,4248035,-0.7,0.31,12.753,51.7243,1.42,0.84,1305,華夏,5519039,4828079,14.31,-335330,-116449,-83520
1307,5056,42842,55783,-23.2,2069490,0.21,0.27,12.5735,62.2486,1.38,0.78,1307,三芳,2736454,2506580,9.17,38120,66314,9345
1308,148607,69560,280276,-75.18,2279277,0.31,1.23,16.6632,89.7803,5.63,4.17,1308,亞聚,1951165,1851485,5.38,-58041,197796,117632
1309,91514,83280,126627,-34.23,2626218,0.32,0.51,14.7168,81.5755,3.66,2.41,1309,臺達化,3375459,2711584,24.48,11036,56852,66220
1310,88635,946590,257979,266.93,4618265,2.05,0.6,14.4221,79.9945,2.02,1.09,1310,台苯,6149641,3225677,90.65,1146944,148966,91267
1311,29311,105236,338495,-68.91,2581704,0.41,1.36,14.4827,78.1041,2.27,1.22,1311,福聚,5268317,4080564,29.11,85696,407649,53540
1312,-192178,1239664,139882,786.22,6470825,1.92,0.22,12.2184,58.0699,1.77,1.19,1312,國喬,7227557,4346952,66.27,972481,337292,249910
1313,424001,185742,438755,-57.67,6814497,0.27,0.71,12.3188,62.2071,4.53,2.81,1313,聯成,2501925,2399129,4.28,30513,31261,162417
1314,-150974,1199084,-524528,,14828689,0.81,-0.37,13.249,35.9941,0.66,0.34,1314,中石化,13689275,7657886,78.76,787717,-570861,166685
1315,280412,90750,332112,-72.67,2415227,0.38,1.38,13.1778,66.8769,1.72,1.26,1315,達新,2391440,2085461,14.67,109414,84132,8301
1316,45810,-156978,20607,,1403322,-1.12,0.15,9.5729,62.1433,0.54,0.26,1316,上曜,841050,992169,-15.23,-203559,-25199,46581
1317,-76389,262137,-160170,,520875,5.03,-3.08,5.3883,10.4393,0.72,0.31,1317,尚鋒,793798,905472,-12.33,-38397,-83781,-41274
1318,-32875,38046,-4379,,1235000,0.31,-0.04,13.2003,46.3925,1.19,0.52,1318,普大,2842316,1892278,50.21,95530,52780,55
1319,-102673,-82136,76048,,3962170,-0.21,0.2,11.5604,51.2015,0.87,0.61,1319,東陽,4117457,4345162,-5.24,95273,231793,-167924
1321,36167,-130241,44499,,2080845,-0.63,0.22,13.0652,62.3471,0.94,0.38,1321,大洋,3042993,2871700,5.96,-148695,13389,-25903
1323,-5363,25520,44727,-42.94,713753,0.36,0.65,11.9555,73.2317,2.01,1.47,1323,永裕,730475,697368,4.75,29392,50741,2995
1324,12508,321949,58521,450.14,521478,6.17,1.29,17.1439,72.1476,2.71,2.41,1324,地球,699196,699261,-0.01,225,63321,18066
1325,104592,159380,144583,10.23,806500,1.98,2.08,13.4015,83.6116,12.86,11.51,1325,恒大,341763,295172,15.78,52625,56894,125281
14,-1870814,4687650,5419961,-13.51,303110399,0.15,0.19,12.9229,51.4457,1.04,0.34,14,紡織纖維類,245219799,211502027,15.94,3848178,3992255,-3713954
1402,2218803,532053,2651619,-79.93,30803829,0.17,1.01,16.5303,50.9083,0.93,0.49,1402,遠紡,24294238,20164425,20.48,-277401,432816,809454
1407,-2019652,-982577,333492,,24345602,-0.4,0.14,11.4234,45.0736,0.59,0.16,1407,華隆,19700148,19505519,1,-566803,-594372,-639491
1408,-669945,-914566,-925434,-1.17,9084506,-1.01,-1.09,10.0726,38.3792,0.67,0.13,1408,中紡,7478773,7532718,-0.72,-335468,-255489,-579098
1409,263058,-518322,-98299,427.29,13306409,-0.39,-0.07,9.1766,55.1723,0.9,0.47,1409,新纖,10199241,8771297,16.28,-508841,-387708,-88903
1410,-13255,-77485,-10816,616.39,900000,-0.86,-0.12,12.0278,83.1407,2.68,2.21,1410,南染,446419,474757,-5.97,-53266,-6413,-50816
1413,-2372,-319748,-147106,117.36,2836457,-1.13,-0.52,9.7808,53.7934,0.73,0.14,1413,宏洲,2592850,1382298,87.58,-313218,-231365,-53028
1414,-62128,-450763,-225578,99.83,3515775,-1.28,-0.64,7.6958,35.1131,0.51,0.25,1414,東和,2551046,2539185,0.47,-244574,-162607,-217947
1416,-379691,-454466,-412615,10.14,5532574,-0.82,-0.75,11.7365,56.5231,1.15,0.5,1416,廣豐,2099457,2008790,4.51,-121382,-32924,-373514
1417,36247,39935,33706,18.48,4157493,0.1,0.08,11.2958,70.3346,1.11,0.48,1417,嘉裕,1576341,1611252,-2.17,-44814,10553,91717
1418,86670,355425,-252035,,2638553,1.35,-0.96,11.7858,83.7129,3.5,1.69,1418,東華,1587098,991403,60.09,-90745,-347292,440228
1419,141715,-134622,149654,,2904000,-0.46,0.52,10.6555,55.4031,0.45,0.29,1419,新紡,673906,707494,-4.75,3230,7939,-136787
1420,-1296469,-585448,-1172152,-50.05,7880511,-0.74,-1.49,8.8908,32.7138,0.78,0.21,1420,潤泰,7482368,7342088,1.91,-55091,133464,-563514
1422,-94088,-270230,-36469,640.99,1800000,-1.5,-0.2,9.2409,28.7106,1.25,0.29,1422,民興,1236120,1011538,22.2,19753,53896,-289983
1423,95286,38331,33911,13.03,1793000,0.21,0.19,11.8062,70.2108,3.72,0.49,1423,利華,1699280,1531511,10.95,53528,-52122,-3330
1431,-1556713,-887647,-1700806,-47.81,2789250,-3.18,-6.1,6.3061,13.8689,0.68,0.09,1431,新燕,927391,1128812,-17.84,-211463,-143889,-676180
1432,-282262,-159240,-416895,-61.8,2077654,-0.77,-2.01,5.7422,23.8009,0.82,0.21,1432,大魯閣,1469736,1278829,14.93,-22170,-143560,-135698
1433,3441035,8901089,4811298,85,36517752,2.44,1.5,22.8942,53.0094,1.18,0.35,1433,臺化,47579547,31915992,49.08,3793545,1016712,880814
1434,-448989,1908170,840960,126.9,13980945,1.36,0.63,13.514,62.004,2.13,1.14,1434,褔懋,12928946,10728319,20.51,1680829,1481441,370172
1435,67027,-43980,34738,,1397801,-0.31,0.25,10.6179,84.3089,3.44,0.69,1435,中褔,408844,501122,-18.41,-19591,-33287,-33296
1436,166093,-206517,68038,,3194400,-0.65,0.21,11.437,63.4709,1.89,0.2,1436,褔益,340017,840472,-59.54,-189003,-92383,-18584
1437,1434,-20267,-19025,6.53,1572008,-0.13,-0.12,13.398,67.6738,1.81,0.72,1437,勤益,469422,440761,6.5,-69574,-21284,17016
1438,113119,-396019,52912,,1024115,-3.87,0.57,5.8587,36.342,0.77,0.26,1438,裕豐,355431,504587,-29.56,-58028,-60207,-337991
1439,39749,31110,28007,11.08,1085400,0.29,0.26,12.1428,56.0395,1.63,0.91,1439,中和,1059902,938281,12.96,5381,-6628,30173
1440,36877,43849,-38203,,15013380,0.03,-0.03,12.5525,61.0931,1.31,0.3,1440,南紡,7775978,6816084,14.08,-265833,-74706,320171
1441,-193293,-63293,-245322,-74.2,1725696,-0.37,-1.42,11.9281,45.927,1.24,0.31,1441,大東,1682301,1464162,14.9,13802,-44805,-69950
1442,-356860,-545099,-476524,14.39,1991580,-2.74,-2.39,6.8129,35.6792,1.26,0.39,1442,達永興,2252431,308020,631.26,-37884,-119664,-534195
1443,11718,-112080,-24393,359.48,3010900,-0.37,-0.08,10.9637,75.4374,1.57,0.47,1443,立益,1084968,1282388,-15.39,-63096,-20536,-70061
1444,101977,-316432,326995,,8045400,-0.39,0.45,11.3696,64.4728,1.15,0.67,1444,力麗,4562819,4301918,6.06,-117974,283018,-198458
1445,-4942,28277,125884,-77.54,1952170,0.14,0.64,11.8343,62.9505,1.9,0.91,1445,大宇,1919455,1654848,15.99,19552,51786,2068
1446,-166783,-43750,121028,,3338158,-0.13,0.36,13.043,55.8842,1.05,0.44,1446,宏和,5707488,4389318,30.03,-39501,295371,-4291
1447,118811,-23141,540359,,6277563,-0.04,0.95,11.7659,53.4563,1.45,0.85,1447,力鵬,6361554,4467322,42.4,79116,284548,-195757
1448,-409337,-1757653,-892307,96.98,1100000,-15.98,-4.06,-13.8008,-47.0873,0.07,0.03,1448,瑞圓,740903,1205473,-38.54,-313945,-483271,-1418287
1449,-217477,143134,-46238,,6668541,0.21,-0.07,10.0043,55.2182,0.85,0.16,1449,佳和,3895062,4073720,-4.39,87499,222670,53861
1450,-86188,62471,-141401,,2821132,0.22,-0.5,12.4343,56.3363,0.79,0.31,1450,新藝,1277828,932293,37.06,79793,-49421,-34219
1451,284894,1211677,1083915,11.79,4986409,2.43,2.85,14.232,74.7151,2.48,1.35,1451,年興,4488862,4248295,5.66,1028409,1060504,432899
1452,-71637,-57205,-8186,598.82,1892900,-0.3,-0.04,9.6386,74.6118,1.22,0.86,1452,宏益,1357467,1479183,-8.23,-31808,57745,-38266
1453,-69761,-89027,-49388,80.26,1493884,-0.6,-0.33,9.8532,56.7765,1.39,0.21,1453,大將,457680,767255,-40.35,-34797,21820,-69778
1454,-105857,75839,-83586,,1595225,0.48,-0.52,11.9274,59.026,1.38,0.69,1454,台富,2106139,1672332,25.94,72455,-1476,17733
1455,18485,104798,147619,-29.01,4060224,0.26,0.39,12.409,61.7914,0.91,0.56,1455,集盛,2784861,2270020,22.68,-36222,181378,-25986
1456,-174809,256167,-345633,,3872830,0.66,-0.89,8.8361,40.2791,1.19,0.42,1456,怡華,3111050,3074148,1.2,-8452,-111568,287618
1457,-250391,203730,-125032,,3823200,0.53,-0.33,11.4536,50.1132,0.61,0.36,1457,宜進,2722171,2792288,-2.51,-49694,83184,276413
1458,-439610,-354742,-122016,190.73,5650000,-0.63,-0.22,8.9732,44.5052,0.94,0.27,1458,嘉畜,2836744,3763370,-24.62,-17733,317594,-337009
1459,42899,15850,123473,-87.16,3926416,0.04,0.34,11.1258,73.0606,1.9,0.95,1459,聯發,1961318,1774933,10.5,170654,85274,-130452
1460,33494,57364,182330,-68.54,5448235,0.11,0.35,11.7209,66.2523,1.92,0.5,1460,宏遠,6012042,5429885,10.72,60311,168624,5929
1462,897018,125122,1769656,-92.93,22224139,0.06,0.8,10.9259,44.5195,1.44,0.09,1462,東雲,10171941,10699877,-4.93,-2172,316364,-67122
1463,-24123,122064,134226,-9.06,2010320,0.61,0.77,11.7596,80.8467,1.34,0.76,1463,強盛,1318580,1314248,0.33,125823,188662,20901
1464,-299608,12587,-226670,,2396194,0.05,-0.95,5.945,43.8625,0.62,0.22,1464,得力,2495645,2060752,21.1,89528,84406,-72788
1465,13152,104761,133105,-21.29,1133609,0.92,1.35,14.762,81.0696,3.41,2.32,1465,偉全,1637502,1617220,1.25,116102,135880,19984
1466,-628938,-348333,-925636,-62.37,2658771,-1.31,-3.48,5.0364,36.5952,0.4,0.12,1466,聚隆,1660487,2107624,-21.22,-209980,-320283,-133438
1467,-2733,11792,21300,-44.64,987360,0.12,0.32,11.9984,48.3413,1.51,1.08,1467,南緯,2237094,1225861,82.49,109484,26556,-80692
1468,-14747,75201,115358,-34.81,1485234,0.51,0.9,12.7295,78.3842,2.14,0.51,1468,昶和,1215830,1330933,-8.65,108778,139919,-19026
1469,14599,-7606,63935,,1130000,-0.07,0.65,18.5306,73.5195,1,0.43,1469,理隆,805083,628683,28.06,88655,74526,-86602
1470,8899,-19650,89543,,857670,-0.23,1.15,10.4134,69.9701,0.87,0.59,1470,大統染,627397,730955,-14.17,1031,92354,-31220
1471,-25775,-34283,104571,,1171280,-0.29,0.98,11.8679,47.6348,1.1,0.72,1471,首利實業,2065083,2049055,0.78,58448,142346,-102931
1472,42239,-9796,80561,,690000,-0.14,1.34,17.5862,92.8803,4.45,2.74,1472,三洋纖,630591,578375,9.03,-4227,45222,-12569
1473,245202,321604,249598,28.85,948362,3.39,3.7,23.5067,76.5069,2.06,0.97,1473,台南,2538313,2125733,19.41,203977,75200,215584
1474,8741,92698,99057,-6.42,608862,1.52,2.04,13.0782,51.5762,1.45,0.96,1474,弘裕,1989504,1398728,42.24,113193,118058,1284
1475,-51622,16539,36878,-55.15,976721,0.17,0.48,11.317,43.1924,1.19,0.31,1475,本盟,1571107,1615278,-2.73,80052,99685,-76716
15,557214,5240381,6463211,-18.92,69842051,0.75,1.04,15.244,57.2171,1.48,0.79,15,電機機械類,77214901,75798486,1.87,6387974,6724621,-164440
1503,-55025,449294,357447,25.7,5007559,0.9,0.76,17.7327,58.9099,1.54,0.95,1503,士電,7510396,6681102,12.41,690800,505461,-129062
1504,682567,848052,1462547,-42.02,17924032,0.47,0.96,17.5968,56.4109,1.09,0.65,1504,東元,15438479,16278005,-5.16,662691,884280,312687
1506,-94452,4960,-94039,,1022516,0.05,-0.92,10.7979,44.3227,1.04,0.44,1506,正道,636288,565236,12.57,32505,-2306,-39576
1507,124614,288996,481581,-39.99,4108200,0.7,1.17,17.1648,80.2762,2.72,1.78,1507,永大,2686509,3506825,-23.39,274320,442288,73981
1509,-594923,59053,-303165,,1244100,0.47,-1.34,15.7616,46.4432,0.53,0.21,1509,元富,1664805,1530247,8.79,145821,139340,-71103
1510,-77654,75444,80569,-6.36,2192724,0.34,0.4,14.6139,39.6443,1.72,0.77,1510,台安,4333896,4251366,1.94,169927,180728,-103191
