stock,90年1-9月,稅後純益,90年1-9月,增減,期末股本,稅後純益,90年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,90年1-9月,增減,營業利益,90年1-9月,營業外
11,47092,-284464,-1676530,,79773320,-0.04,-0.21,15.0616831542175,54.075001536937,1.15989109164021,0.836634735473574,11,水泥類,34402229,29901343,15.05,326154,-1541897,388068
1101,-200811,-407665,-587566,,26562543,-0.15,-0.23,17.7219,47.5869,1.04,0.79,1101,台泥,17686457,14476857,22.17,83560,-361755,-472225
1102,-51666,687460,23318,+++++,20383904,0.34,0.01,16.5896,61.6923,1.28,0.98,1102,亞泥,8193145,7167142,14.32,412306,150813,391868
1103,-119312,346610,-316719,,6996391,0.5,-0.45,13.8979,49.5584,1.76,1.51,1103,嘉泥,1964052,1651392,18.93,164321,31217,408480
1104,162556,126442,-119658,,3580004,0.35,-0.3,20.0194,58.3387,0.93,0.47,1104,環泥,1872307,1632744,14.67,-128013,-283998,254455
1107,339617,-1258037,-235967,,8409598,-1.5,-0.28,6.5558,44.6287,0.87,0.25,1107,建台,54730,1828045,-97.01,-565730,-621762,-126793
1108,-64626,36065,-300821,,4047380,0.09,-0.74,10.156,50.3005,0.65,0.38,1108,幸福,2295273,1602371,43.24,76005,-322031,-43381
1109,5926,118002,-51238,,4207140,0.28,-0.12,12.6687,84.5008,2.74,2.3,1109,信大,1100302,725193,51.73,140019,-60219,16425
1110,-24592,66659,-87879,,5586360,0.12,-0.16,13.2792,76.3089,1.56,0.89,1110,東泥,1235963,817599,51.17,143686,-74162,-40761
12,-1223458,857503,831329,3.15,98369335,0.09,0.09,10.8008911516989,49.9658639768808,1.06201352104823,0.619717534673822,12,食品類,102247468,96043666,6.46,3191460,2571916,-1678231
1201,-398758,117377,-207588,,5060629,0.23,-0.41,6.9868,29.1377,0.74,0.57,1201,味全,7133679,6974436,2.28,295990,191170,-178613
