stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
1322, 1322 延潁      ,297095,969313,-69.35,-177555,100776,-82723,-99171,-243302,-2916,        ,2253038,-1.08,-0.01,3.99,13.41,0.19,0.09,
14,   14 紡織纖維  ,75984470,56419019,34.68,1538365,-1816255,1586481,-373151,5530836,874597,532.39,284235251,0.19,0.03,13.55,51.93,1.09,0.37, 
1402, 1402 遠東紡織  ,7681273,5846183,31.39,1289,-211724,846076,774081,847365,562357,50.68,27503419,0.31,0.23,18.67,52.51,1.14,0.55, 
1407, 1407 華   隆   ,6869928,5528049,24.27,-56542,-719913,-270400,-921686,-245447,1322993,        ,24345602,-0.1,0.54,11.61,44.73,0.62,0.15,
1408, 1408 中興紡織  ,2592325,2288624,13.27,-68923,-200154,-45487,-243004,-114410,-456093,        ,9084506,-0.13,-0.52,10.94,39.66,0.8,0.2,
1409, 1409 新光纖維  ,3589694,2553541,40.58,-115840,-311941,-161084,27186,-243058,-241068,        ,13306409,-0.18,-0.19,10.24,59.53,0.97,0.53,
1410, 1410 南洋染整  ,130583,132495,-1.44,-22092,-10701,-23105,-3548,-39283,-14263,        ,900000,-0.44,-0.16,12.45,83.37,2.75,2.3,
1413, 1413 宏洲化工  ,829677,342270,142.4,-67736,-144948,-4948,31583,-39015,-132475,        ,2836457,-0.14,-0.47,10.77,56.43,0.72,0.12,
1414, 1414 東和紡織  ,867121,759249,14.21,-49633,-119948,21808,-44302,-26495,-164250,        ,3515775,-0.08,-0.47,9.02,39.95,0.62,0.35,
1416, 1416 廣豐實業  ,620686,598215,3.76,-29015,-20991,253800,-136143,236281,-154190,        ,5532574,0.43,-0.28,13.09,57.58,1.35,0.64,
1417, 1417 嘉   裕   ,501953,528821,-5.08,4020,38690,39211,-6283,43231,30384,42.28,4157493,0.1,0.08,10.85,69.76,1.03,0.33,
1418, 1418 東華合纖  ,613481,214817,185.58,1235,-106635,-1132,22759,-218,-83876,        ,2638553,   <<<<<<   ,-0.32,10.43,74.53,1.8,1.05,
