stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
1718, 1718 中國人纖  ,1286001,992101,29.62,78033,-181168,-40789,-122529,41677,-303697,        ,9123038,0.05,-0.33,11.62,42.77,0.66,0.39,
1720, 1720 生達化學  ,288246,259684,11,47904,46651,-16042,-7896,25782,34440,-25.14,990061,0.26,0.4,13.88,60.54,2.69,1.87,
1721, 1721 三晃      ,339680,198653,70.99,-134159,2528,158197,-32345,25288,-28409,        ,959345,0.26,-0.3,8.33,53.16,1.3,0.54,
1722, 1722 台肥      ,1857241,1984590,-6.42,64333,39804,98260,27361,158002,15760,902.55,9800000,0.16,0.22,32.06,61.79,5.95,4.45, 
1723, 1723 中碳      ,741652,402809,84.12,126465,50712,42147,11320,136672,47250,189.25,1435366,0.95,0.33,13.79,65.47,1.58,1.34,
18,   18 玻璃陶瓷  ,5089618,4988102,2.04,312066,478535,-235719,207102,40940,558976,-92.68,26616012,0.02,0.22,15.32,71.58,1.74,0.96,
1802, 1802 臺灣玻璃  ,2949594,2365232,24.71,359423,337737,-64222,258308,263094,481604,-45.37,11100000,0.24,0.43,20.26,85.86,5.65,3.84,
1805, 1805 凱   聚   ,276578,305077,-9.34,-42272,-31520,-45924,-116567,-88086,-146445,        ,3500000,-0.25,-0.55,6.85,62.85,0.81,0.21,
1806, 1806 信    益  ,365371,485574,-24.75,18847,94099,-3740,1012,24406,82283,-70.34,3293000,0.07,0.25,12.86,68.78,1.42,0.55,
1807, 1807 榮    聯  ,275117,438351,-37.24,-62546,30809,-32895,-15652,-95441,15157,        ,2518206,-0.38,0.06,10.74,59.66,0.81,0.33,
1808, 1808 國賓陶瓷  ,46804,107475,-56.45,-55261,-53188,-30726,-23132,-85987,-76320,        ,499414,-1.72,-0.92,0.98,4.03,0.38,0.17,
1809, 1809 中國製釉  ,397969,342279,16.27,30223,15614,1127,-23985,27730,-8371,        ,1515907,0.18,-0.06,12.52,60.13,1.18,0.67, 
1810, 1810 和成欣業  ,778185,944114,-17.58,63652,84984,-59339,125476,-4776,211068,        ,4189485,-0.01,0.5,16.71,58.86,1.21,0.56,
19,   19 造紙工業  ,14245449,11817804,20.54,1128387,165098,26200,-68439,957013,100286,854.28,39879400,0.24,0.03,12.88,53.94,1.52,0.71,
1902, 1902 臺灣紙業  ,1182835,833110,41.98,142378,-90594,64832,-53122,207210,-143716,        ,5600000,0.37,-0.26,11.05,44.05,1.01,0.22,
1903, 1903 士林紙業  ,501296,331503,51.22,-61073,-85738,24121,72853,-62410,-12885,        ,2407769,-0.26,-0.06,16.17,41.73,0.75,0.47,
1904, 1904 正   隆   ,4110802,3061594,34.27,281267,161202,-8788,             ,251756,255163,-1.34,8610000,0.29,   <<<<<<   ,13.76,50.16,1.76,0.71,
1905, 1905 中華紙漿  ,1569005,1251763,25.34,299099,-57216,944,-987,222123,-58203,        ,5113154,0.43,-0.11,13.22,66.43,6.11,3.37,
1906, 1906 寶隆國際  ,536469,578141,-7.21,30814,-20285,-41607,9206,-10793,-11015,        ,1918000,-0.06,-0.06,7.62,56.51,1.2,1.02, 
1907, 1907 永豐餘造紙,4938531,4327529,14.12,340940,216660,15509,-148616,298449,68044,338.61,11585399,0.26,0.06,13.21,57.53,1.94,1,
1909, 1909 榮成紙業  ,1406511,1434164,-1.93,94962,41069,-28811,-41761,50678,2898,++++++++,4645078,0.11,0.01,12.73,66.67,1.36,0.98, 
20,   20 鋼鐵工業  ,62600390,52092725,20.17,7396783,2815035,1687101,-1818804,8869785,1843889,381.04,171744511,0.52,0.11,14.34,56.15,1.26,0.53,
2002, 2002 中國鋼鐵  ,24417634,20063384,21.7,5508502,2458377,1952152,-471046,7450349,2851357,161.29,86109029,0.87,0.35,15.67,64.31,1.9,0.98,
2006, 2006 東和鋼鐵  ,3475000,2429970,43.01,317211,-153431,62630,-183192,384913,-336657,        ,7322595,0.53,-0.48,14.98,45.63,1.06,0.42,
2007, 2007 燁   興   ,3578804,2719870,31.58,122664,99432,-81596,-67019,40918,32193,27.1,4236005,0.1,0.08,16.13,32.12,0.72,0.13,
2008, 2008 高興昌鋼鐵,2139764,1384648,54.53,-10786,-43996,-28422,-107053,-41453,-151049,        ,4238266,-0.1,-0.36,11.47,39.2,0.58,0.17,
2009, 2009 第一銅鐵  ,648114,437180,48.25,61008,6730,68568,103564,116436,109349,6.48,3440702,0.34,0.33,11.68,75.92,2.05,1.45,
2010, 2010 春源鋼鐵  ,2286843,2218635,3.07,87099,3281,27748,28721,99811,38253,160.92,4781908,0.21,0.08,15.19,58.12,1.91,1.18,
2011, 2011 彥武企業  ,1371146,1431794,-4.24,93643,64691,-84212,-61190,9303,3391,174.34,4023144,0.02,0.01,13.16,39.8,0.7,0.09,
2012, 2012 春雨工廠  ,944506,940093,0.47,-3540,24152,54397,-9053,53223,14776,260.2,2877740,0.18,0.05,10.82,52.03,1.22,0.57,
2013, 2013 中鋼結構  ,872355,1048407,-16.79,42433,45375,14489,             ,45714,33994,34.48,1377389,0.33,   <<<<<<   ,18.98,55.96,1.3,0.7,
2014, 2014 燁隆企業  ,5726235,3976423,44,172864,-34280,-157196,-450774,15668,-485054,        ,7943361,0.02,-0.61,11.76,30.35,1.18,0.21,
2015, 2015 豐興鋼鐵  ,2122103,2253012,-5.81,124503,15144,-7864,-82095,88662,-66951,        ,5675658,0.16,-0.12,12.06,63.2,1.17,0.37,
2016, 2016 名佳利    ,702734,629605,11.62,97853,-59112,-38484,-178143,36171,-200461,        ,2659972,0.14,-0.75,8.9,36.43,0.39,0.22,
2017, 2017 嘉  益    ,1002851,932529,7.54,69381,-39189,-30611,-108478,38770,-147667,        ,4531610,0.09,-0.37,10.3,63,1.21,0.47,
2019, 2019 桂  宏    ,1405789,1485737,-5.38,63984,29686,-50515,-25931,13450,3270,311.31,5000000,0.03,0.01,15,61.94,1.04,0.67,
2020, 2020 美  亞    ,618219,584792,5.72,20680,22372,34243,-15983,51874,6389,711.93,1170118,0.44,0.05,10.39,47.99,0.91,0.5,
2022, 2022 聚    亨  ,322816,292253,10.46,-20078,5026,50878,48453,30792,62313,-50.58,4247693,0.07,0.15,10.19,71.69,0.41,0.23,
2023, 2023 燁輝企業  ,4959642,4275609,16,327752,169401,12142,-37117,256105,112834,126.98,7474811,0.34,0.19,13.91,56.08,1.26,0.63,
2024, 2024 志聯工業  ,414427,327552,26.52,-21385,-25745,-12862,-18935,-34247,-44680,        ,1548942,-0.22,-0.3,11.23,46.62,0.79,0.44,
2025, 2025 千  興    ,792551,794257,-0.21,61253,70620,33533,27726,80405,84743,-5.12,3074610,0.26,0.29,11.01,68.14,1.6,0.34,
2027, 2027 大成不銹鋼,1018349,597287,70.5,158259,37782,-112341,-34711,24668,450,++++++++,2151800,0.11,   <<<<<<   ,15,56.6,1.3,0.8,
2028, 2028 威致鋼鐵  ,948257,1005721,-5.71,-38063,-6114,1023,-190997,-36807,-199017,        ,4026892,-0.09,-0.49,11.05,41.69,1.2,0.13,
2029, 2029 盛餘      ,2229795,1768873,26.06,111947,85599,-4887,29417,115751,100861,14.76,3180000,0.36,0.32,18.76,81.71,2.65,1.37,
2030, 2030 彰源      ,602456,495094,21.69,49599,39234,-15712,-13386,29309,21252,37.91,652266,0.45,0.37,15.25,43.23,1.22,0.43,
21,   21 橡膠工業  ,7259341,7018847,3.43,246112,548354,1544388,303831,1650363,764128,115.98,32321576,0.51,0.27,14.44,62.53,1.02,0.64, 
2101, 2101 南港輪胎  ,993879,929392,6.94,27083,48741,1044872,200658,1006886,249399,303.72,2608200,3.86,1.2,20.18,39.16,0.54,0.45, 
2102, 2102 泰豐輪胎  ,612759,624008,-1.8,5284,-781,135888,-44899,145141,-42280,        ,2691583,0.54,-0.19,9.99,55.94,0.84,0.64,
2103, 2103 臺灣橡膠  ,1240164,1242069,-0.15,-14987,46770,-46591,-97641,-52080,-55530,        ,6095114,-0.09,-0.1,12.18,72.25,1.67,0.84,
2104, 2104 中國橡膠  ,507454,459932,10.33,-5549,111567,135270,-112803,141140,-28718,        ,3196661,0.44,-0.12,20.85,67.58,0.41,0.22,
2105, 2105 正新橡膠  ,1803059,1766024,2.1,185841,217741,167163,133534,272197,315976,-13.86,7476079,0.36,0.46,14.87,73.82,1.71,0.97,
2106, 2106 建大工業  ,645616,671409,-3.84,-6229,34992,53144,95055,34268,118036,-70.97,2713201,0.13,0.51,14.23,62.5,1.33,0.86,
2107, 2107 厚生橡膠  ,374923,383620,-2.27,4834,12670,17562,60552,22396,73222,-69.41,3753199,0.06,0.21,12.09,56.14,1.36,0.65,
2108, 2108 南    帝  ,497300,431098,15.36,38229,65521,-3991,5191,29612,61845,-52.12,1746550,0.17,0.41,12.77,83.15,3.1,1.69,
2109, 2109 華豐      ,584187,511295,14.26,11606,11133,41071,             ,50803,72178,-29.61,2040989,0.25,   <<<<<<   ,14.19,67.76,1.76,1.2,
22,   22 汽車工業  ,56761884,59595109,-4.75,2602276,3039084,1525647,803639,3555605,3115697,14.12,40733791,0.87,0.82,20.83,63.55,1.86,1.58, 
2201, 2201 裕隆汔車  ,14837219,16729355,-11.31,775335,1329743,685486,471012,1322837,1489640,-11.2,15665760,0.84,1.05,21.49,67.25,1.99,1.69,
2202, 2202 三富汽車  ,27628,91484,-69.8,-61182,-65231,119535,15224,57999,-50497,        ,1350000,0.43,-0.37,0.14,1.41,0.16,0.06,
2204, 2204 中華汽車  ,16912331,18371897,-7.94,1029335,1182938,635082,191885,1450417,1112823,30.34,10755392,1.35,1.13,25.83,66.45,2.35,2.03,
2206, 2206 三陽工業  ,9354095,9698218,-3.55,302273,182036,1049,43327,235972,183529,28.57,7760932,0.3,0.25,16.02,62.37,1.89,1.54,
2207, 2207 和泰汽車  ,15630611,14704155,6.3,556515,409598,84495,82191,488380,380202,28.45,5201707,0.94,0.77,21.06,53.86,1.38,1.17, 
23,   23 電子工業  ,418247102,309375792,35.19,39299565,19386764,17842005,4254380,56072956,22401303,150.31,668846854,0.84,0.43,19.1,63.68,1.68,1.2, 
2301, 2301 光寶電子  ,3185653,2781906,14.51,135894,40559,119596,59594,243233,80893,200.68,5245208,0.46,0.19,16.15,47.23,1.08,0.85,
2302, 2302 麗正電子  ,480530,212120,126.54,35179,7776,42545,21894,77724,29670,161.96,2393847,0.32,0.28,21.05,76.51,1.26,0.85,
2303, 2303 聯華電子  ,19313183,6499684,197.14,6271369,544035,1202736,407075,7446850,945916,687.26,90578687,0.82,0.17,18.64,71.91,1.43,1.21,
2304, 2304 誠   洲   ,3028628,4302432,-29.61,-153179,-166740,-38808,241762,-117312,83500,        ,6759176,-0.17,0.13,8.47,33.25,1.52,0.79,
2305, 2305 全友電腦  ,768897,726873,5.78,-62378,-65973,238277,-228632,175899,-294605,        ,4539974,0.39,-0.79,8.79,58.65,1.88,1.2,
2306, 2306 宏   電   ,28839084,32398221,-10.99,650857,1076248,2131040,-548856,2747230,527392,420.91,31076652,0.88,0.2,20.87,65.9,1.43,1.14,
2308, 2308 台達電子  ,5638967,4297963,31.2,60187,4092,1119517,892942,981943,896829,9.49,7491680,1.31,1.6,27.92,59.09,2.31,1.91,
2310, 2310 旭   麗   ,3416002,2617057,30.53,98386,38685,304573,182942,343963,177302,94,3271276,1.05,0.66,19.45,49.42,1.98,1.31,
2311, 2311 日 月 光  ,             ,             ,        ,             ,             ,             ,             ,             ,             ,        ,             ,            ,            ,        ,        ,      ,      ,
2312, 2312 金寶電子  ,2470289,2675299,-7.66,46537,9188,-16043,197885,21993,178084,-87.65,6411049,0.03,0.35,18.3,78.57,2.06,1.81,
2313, 2313 華通電腦  ,3774527,3209286,17.61,136163,279686,-43063,445549,103046,626693,-83.56,5624358,0.18,1.46,21.13,56.49,1.31,0.87,
2314, 2314 台揚科技  ,1010131,560919,80.09,63216,21199,569799,-7477,558754,13722,++++++++,2554347,2.19,0.05,14.97,67.19,1.59,0.79,
2315, 2315 神達電腦  ,9791476,6835845,43.24,157850,206854,243963,266942,371813,402796,-7.69,7691088,0.48,0.63,17.68,57.01,1.61,1.05,
2316, 2316 楠梓電子  ,1667526,1237542,34.75,135642,102216,-44148,-35989,82344,57949,42.1,3820000,0.22,0.19,15.19,56.7,1.53,1.16,
2317, 2317 鴻海精密  ,14365234,9692668,48.21,1028512,772630,938625,676222,1665420,1221536,36.34,11000000,1.51,1.66,32.86,69.24,1.75,1.01,
2318, 2318 佳錄科技  ,502682,401079,25.33,27253,11347,-3288,50617,20370,57007,-64.27,2787498,0.07,0.23,14.01,69.25,1.94,1.5,
2319, 2319 大眾電腦  ,10292740,11089959,-7.19,-131894,19636,381900,73901,249927,88094,183.7,13340280,0.19,0.08,12.07,42.71,1.77,1.27,
2320, 2320 中強電子  ,1572266,3689161,-57.38,-109235,-56139,-399846,-627173,-509081,-688572,        ,5625211,-0.9,-1.22,-1.79,-12.11,15.47,11.67,
2321, 2321 東    訊  ,2261730,1867172,21.13,69252,24775,-32299,345695,31953,369070,-91.34,2001547,0.16,2.33,17.67,53.6,1.49,0.78,
2322, 2322 致    福  ,3371230,5995012,-43.77,-122300,-425287,307438,-32010,234364,-387531,        ,7517974,0.31,-0.54,7.17,32.3,1.16,0.59,
2323, 2323 中    環  ,4314791,2152351,100.47,840505,683410,2296238,96712,3493091,702337,397.35,10691766,3.27,1.1,35.31,69.73,2.35,1.97,
2324, 2324 仁寶電腦  ,15765916,8905947,77.03,894875,1051340,319958,507312,1145110,1489816,-23.14,11767600,0.97,1.75,23.16,67.57,1.64,1.26,
2325, 2325 矽  品    ,3964803,2231977,77.64,437695,199733,80341,-20350,433173,161253,168.63,11281486,0.38,0.18,13.02,64.15,1.69,1.18,
2326, 2326 亞瑟科技  ,1445856,1517271,-4.71,-66048,140205,-1033,84497,-66630,158585,        ,5480752,-0.12,0.29,6.67,37.14,0.98,0.42,
2327, 2327 國    巨  ,1292148,781521,65.34,325719,117611,331024,159742,605737,263859,129.57,11870289,0.51,0.25,22.44,90.06,1.57,1.17,
2328, 2328 廣    宇  ,2044821,1333639,53.33,55802,-29284,51119,-37279,104760,-146824,        ,2641000,0.4,-0.56,8.4,42.14,0.94,0.52,
2329, 2329 華泰電子  ,3031138,1820906,66.46,165688,-191112,-83789,-135464,211182,-242461,        ,8187665,0.26,-0.41,16.64,57.61,1.27,0.82,
2330, 2330 台積電    ,28278119,12500554,126.21,10297048,4485255,-40294,             ,10091213,4089724,146.75,76708817,1.32,   <<<<<<   ,17.01,74.33,2.48,2.02,
2331, 2331 精英電腦  ,2938811,1689045,73.99,309907,173485,-28853,-71681,211307,101804,107.56,1530900,1.38,0.66,14.21,34.68,1.17,0.96,
2332, 2332 友訊科技  ,2547085,2178575,16.92,154377,110558,6115,129392,160159,239950,-33.25,3081084,0.52,0.89,22.44,68.61,3.8,2.31,
2333, 2333 碧悠電子  ,1297827,810057,60.21,41372,12460,53938,129785,69690,120621,-42.22,5397035,0.13,0.25,14.02,75.71,1.86,0.76,
2334, 2334 國豐興業  ,753160,1152937,-34.67,-74700,-54999,683000,124914,609318,88282,590.2,5069814,1.2,0.17,8.72,53.8,0.59,0.22,
2335, 2335 清三電子  ,412580,252031,63.7,54298,-76223,-37610,-12382,15710,-88605,        ,843779,0.19,-1.05,9.75,35.47,0.69,0.42,
2336, 2336 致伸實業  ,2414254,2332955,3.48,186240,66667,-28533,-36452,134110,20440,556.12,2877400,0.47,0.09,15.6,52.11,2.63,2.27,
2337, 2337 旺宏電子  ,5249731,3006698,74.6,792041,-161491,31115,-432313,923156,-593804,        ,21275268,0.43,-0.33,15,54.36,3.11,2.27,
2338, 2338 光    罩  ,384926,383650,0.33,43479,6337,-7119,-5660,43272,617,++++++++,2672903,0.16,   <<<<<<   ,13.54,63.46,2.87,2.01,
2340, 2340 光    磊  ,962220,783196,22.86,136345,76532,-29005,40070,110838,99266,11.66,2824104,0.39,0.47,19.54,76.09,3.04,2.2,
2341, 2341 英群企業  ,2409542,1516709,58.87,120786,-273103,107862,-18838,181423,-291999,        ,2593122,0.7,-1.26,16.01,52.61,1.74,0.69,
2342, 2342 臺灣茂矽  ,6852585,3879240,76.65,-801956,-1158322,1651061,-101422,659837,-1140215,        ,25386351,0.26,-0.48,16.59,60.82,2.35,1.57,
2343, 2343 精  業    ,2206329,1732376,27.36,178963,173147,158899,47442,292977,168339,74.04,4649691,0.63,0.73,15.17,67.6,1.85,1.28,
2344, 2344 華邦電子  ,9614334,6534303,47.14,1641319,234940,-230103,-194942,2018401,339998,493.65,31433630,0.64,0.12,21.25,63.92,1.36,0.89,
2345, 2345 智邦科技  ,2588521,2055950,25.9,48170,153756,90187,-37393,140416,99656,40.9,2394144,0.59,0.49,26.47,56.22,1.6,1.01,
2346, 2346 源興科技  ,5776474,3483815,65.81,156248,-104958,458901,100231,618545,63017,881.55,4934778,1.25,0.13,18.54,45.25,1.69,1.13,
2347, 2347 聯強國際  ,11023371,8815138,25.05,520114,396678,230358,69042,613627,363494,68.81,3500000,1.75,1.45,37.57,68,2.4,1.85,
2348, 2348 力捷電腦  ,1482208,2366743,-37.37,90746,-153573,-184563,-34219,-79817,-157452,        ,4295114,-0.19,-0.37,7.91,30.82,0.69,0.42,
2349, 2349 錸德科技  ,5863033,2266727,158.66,2191075,743810,429944,40235,2481921,704151,252.47,6346154,3.91,2.26,64.48,68.64,1.07,0.85,
2350, 2350 環隆電氣  ,8724118,6512608,33.96,389527,510513,53598,-157785,380624,299819,26.95,5703158,0.67,0.75,14.02,40.88,1.2,0.65,
2351, 2351 順德工業  ,506579,409944,23.57,29547,43067,-4440,-14388,17735,18313,-3.16,1483061,0.12,0.14,13.93,53.67,1.15,0.48,
2352, 2352 明碁電腦  ,9963203,9162747,8.74,151903,199402,574806,155181,723199,330932,118.53,8939427,0.81,0.5,26,61.83,1.27,0.89,
2353, 2353 宏碁科技  ,5119006,3777663,35.51,230520,127339,73565,-4247,245495,94902,158.68,1782044,1.38,0.65,27.44,55.55,1.35,0.94,
2354, 2354 華升電子  ,4402395,543096,710.61,110464,-55115,11906,-1629,119408,-56744,        ,1457000,0.82,-0.39,9.95,35.54,1.32,0.91,
2355, 2355 敬鵬工業  ,1409849,867964,62.43,84094,88040,-26901,30576,57820,117263,-50.69,1742475,0.33,0.81,27.18,68.39,1.99,1.71,
2356, 2356 英業達    ,18841931,15230644,23.71,517418,684707,97957,364012,567757,859223,-33.92,11400000,0.5,1,16.11,48.51,1.59,1.07,
2357, 2357 華碩電腦  ,15320667,10929581,40.18,3551948,3064557,321551,511955,3848974,3560417,8.1,11464000,3.36,4.38,40.17,86.96,6.26,5.42,
2358, 2358 美格科技  ,2307398,3103708,-25.66,-48392,-58670,-157066,-69078,-205458,-126147,        ,3832000,-0.54,-0.33,5.31,35.28,1.31,0.84,
2359, 2359 所羅門    ,1598755,1496611,6.83,-52331,95734,173959,-24015,126883,66850,89.8,2445150,0.52,0.28,21.16,54.64,0.81,0.44,
2360, 2360 致茂電子  ,556154,466921,19.11,67778,95852,41234,21407,95574,96817,-1.28,1521600,0.63,0.84,21.39,78.23,1.69,1.16,
2361, 2361 鴻友科技  ,1277985,1510937,-15.42,-38502,-106438,71276,-184358,32671,-280245,        ,2905106,0.11,-1.08,9.64,57.78,1.22,0.85,
2362, 2362 藍天電腦  ,3343080,2501842,33.62,-77152,-83953,-36091,-25220,-98448,-109201,        ,3942700,-0.25,-0.31,14.26,60.27,1.49,0.59,
2363, 2363 矽統      ,1368955,2436513,-43.81,-423883,616904,672865,18377,585082,558422,4.77,6138487,0.95,1.52,31.85,81.04,2.19,1.8,
2364, 2364 倫飛電腦  ,2335440,2846007,-17.94,-145714,-37720,-53587,-39697,-172336,-78780,        ,4804189,-0.36,-0.22,13.08,64.49,4.79,2.79,
2365, 2365 昆盈      ,846027,813135,4.05,47151,19565,103055,-40672,144368,-19903,        ,1479012,0.98,-0.15,20.03,74.35,2.11,1.41,
2366, 2366 亞旭      ,1848398,1559306,18.54,-33807,70671,36183,4971,19520,67135,-70.92,1806700,0.11,0.52,18.38,47.72,1.31,0.64,
2367, 2367 耀華      ,1387732,1058967,31.05,89753,96590,-18638,-35422,60777,50168,21.15,2992000,0.2,0.21,20.22,69.11,0.98,0.75,
2368, 2368 金像電子  ,1393802,1220715,14.18,50501,24103,37029,26122,121030,62420,93.9,2688800,0.45,0.35,25.67,74.68,1.4,1.05,
2369, 2369 菱生精密  ,666702,429038,55.39,42371,1045,4929,16074,54388,62347,-12.77,2091059,0.26,0.36,17.92,84.04,1.96,1.29,
2370, 2370 匯僑工    ,616396,335807,83.56,119909,15840,33401,46581,140854,61087,130.58,1407900,1,0.61,18.91,85.5,3.45,2.27,
2371, 2371 大同      ,19483750,14793342,31.71,307960,92128,1721517,351751,1920140,443879,332.58,36764200,0.52,0.13,14,53.23,1.03,0.65,
2372, 2372 台硝      ,456709,487799,-6.37,21173,7437,110224,-35588,125404,-21150,        ,1649140,0.76,-0.14,9.75,65.28,1.15,0.73,
2373, 2373 震旦行    ,4777556,3108004,53.72,104155,39773,497776,36268,572931,57882,889.83,5189804,1.1,0.15,18.28,67.13,1.6,0.8,
2374, 2374 佳能      ,600129,628825,-4.56,30779,26889,69837,7854,83452,25816,223.26,1734600,0.48,0.16,13.31,69.98,1.15,0.7,
2375, 2375 智寶      ,327864,445996,-26.49,-22575,-12577,28463,24073,6810,11110,-38.7,1900910,0.04,0.08,14.08,70.5,2.45,1.4,
2376, 2376 技嘉      ,4394204,2915669,50.71,626018,372228,-36995,13039,552477,367545,50.32,2201586,2.51,2.97,32.18,71.78,2.26,1.5,
2377, 2377 微星      ,5917723,3107110,90.46,545469,270567,117852,54562,565874,308600,83.37,1963760,2.88,2.26,35.21,59.96,1.7,1.23,
2378, 2378 鴻運電    ,447764,389010,15.1,4283,24925,83517,39299,91765,53374,71.93,1058000,0.87,0.75,21.79,76.27,1.74,1.18,
2379, 2379 瑞昱      ,1130826,559519,102.11,285375,109268,-14158,-11685,240442,92583,159.7,1510130,1.59,0.82,22.41,78.91,1.99,1.57,
2380, 2380 虹光      ,1666861,1169433,42.54,91884,105923,-10085,10546,81477,115105,-29.22,843350,0.97,2.34,26.37,67.06,2.37,1.66,
2381, 2381 華宇      ,13101535,7182196,82.42,662793,527318,4169,161182,604413,620315,-2.56,5858000,1.03,2.08,19.66,50.92,1.73,0.94,
2382, 2382 廣達      ,18645318,15648996,19.15,1404894,1977974,159659,310412,1525842,2213111,-31.05,11594500,1.32,5.17,23.52,66.47,2.21,1.78,
2383, 2383 台光電    ,361294,408930,-11.65,49086,32231,-995,-17151,36434,12011,203.34,1257827,0.29,0.12,13.53,71.45,1.66,1,
2384, 2384 勝華      ,1482083,746916,98.43,206778,105873,-50627,             ,132751,55417,139.55,2304629,0.58,   <<<<<<   ,14,47.95,2.19,1.15,
2385, 2385 群光      ,1290262,1834643,-29.67,70865,-5510,-54300,-8176,16569,-13686,        ,2222200,0.07,-0.07,8.93,49.99,1.15,0.51,
2386, 2386 國電      ,2771680,1822676,52.07,235739,144750,-37197,6885,199300,151537,31.52,1113904,1.79,1.94,24.84,62.53,2.18,1.58,
2387, 2387 精元      ,458324,368882,24.25,25210,6304,1991,14877,22085,17735,24.53,800000,0.28,0.32,16.1,77.65,3.14,2.42,
2388, 2388 威盛      ,5690753,1714130,231.99,1492012,240411,-431802,100977,939728,325256,188.92,3765000,2.5,1.63,40.55,76.98,1.75,1.27,
2389, 2389 世昕      ,291358,312834,-6.86,36981,24607,46681,40206,74247,58337,27.27,1241200,0.6,0.93,28.51,71.92,1.27,1.11,
2390, 2390 云辰      ,473653,276476,71.32,86441,78951,319640,             ,350316,116655,200.3,1507838,2.32,   <<<<<<   ,22.55,81.38,1.9,1.8, 
2391, 2391 合勤      ,568447,431343,31.79,75825,60376,-8459,             ,67826,69330,-2.17,1467710,0.46,   <<<<<<   ,17.43,83.14,2.78,1.56,
2392, 2392 正崴      ,808079,591812,36.54,68351,38912,-7543,             ,51539,31160,65.4,1000000,0.52,   <<<<<<   ,32.45,72.19,2.81,1.94, 
2393, 2393 億光      ,598762,468595,27.78,60253,12277,3635,             ,51909,40716,27.49,1330000,0.39,   <<<<<<   ,20.13,57.04,2.74,1.51,
2394, 2394 普立爾    ,2018628,1234020,63.58,183778,95377,37097,             ,182625,132583,37.74,1676500,1.09,   <<<<<<   ,18.15,63.7,1.44,0.91,
2395, 2395 研華      ,1214146,732799,65.69,312348,173390,-28814,             ,222534,143836,54.71,1307000,1.7,   <<<<<<   ,20.2,71.38,1.87,1.19,
2396, 2396 精碟      ,1256489,545847,130.19,355696,169072,-17593,             ,325325,169911,91.47,1390640,2.34,   <<<<<<   ,39.18,54.4,0.77,0.46,
2397, 2397 友通      ,1127375,886897,27.11,75220,62776,10424,             ,72751,59506,22.26,584000,1.25,   <<<<<<   ,22.04,64.89,2.28,1.34,
2398, 2398 博達      ,1248424,789022,58.22,169849,89317,-36485,             ,123058,69324,77.51,1412000,0.87,   <<<<<<   ,17.9,44.9,1.18,0.63,
2399, 2399 映泰      ,1137176,985808,15.35,-7597,36118,22313,             ,14056,38816,-63.79,708060,0.2,   <<<<<<   ,21.42,50.3,1.55,1,
2401, 2401 凌陽      ,1017878,706597,44.05,250324,221354,79128,             ,333833,232066,43.85,2691200,1.24,   <<<<<<   ,20.17,91.14,6.24,5.12,
2402, 2402 毅嘉      ,234156,137656,70.1,60913,840,7336,             ,51549,10634,384.76,600000,0.86,   <<<<<<   ,14.51,65.9,1.21,0.98,
2403, 2403 友尚      ,2217961,1347048,64.65,166640,80615,-3756,             ,114611,51909,120.79,916000,1.25,   <<<<<<   ,18.05,35.51,1.37,0.72,
2404, 2404 漢唐      ,991079,460615,115.16,73481,41405,3093,             ,58572,51643,13.42,1143222,0.51,   <<<<<<   ,19.55,63.91,2.06,0.66,
2405, 2405 浩鑫      ,1204645,888656,35.56,57755,19818,-21765,             ,30177,26300,14.74,932500,0.32,   <<<<<<   ,17.65,61.08,1.7,1.33,
2406, 2406 國碩      ,491413,240452,104.37,162010,107669,-11798,             ,195212,111106,75.7,1400000,1.39,   <<<<<<   ,22.21,67.15,1.52,1.04,
25,   25 建材營造  ,32553982,40187502,-18.99,665211,2216043,-764994,-4225573,-62423,-2188885,        ,203243424,   <<<<<<   ,-0.11,12.52,43.75,1.51,0.24,
2501, 2501 國泰建設  ,862904,1970999,-56.22,46097,136913,-25104,-95249,40954,41289,-0.81,16751572,0.02,0.03,12.63,85.15,7.43,0.54,
2504, 2504 國產實業  ,2062974,2084047,-1.01,47060,131310,-203629,-124703,-149051,5782,        ,11491210,-0.13,0.01,11.06,56.41,1.18,0.4,
2505, 2505 國揚建設  ,1141732,319260,257.62,85764,3999,-2503,-212159,83037,-216486,        ,5833487,0.14,-0.2,7,29.81,1.3,0.08,
2506, 2506 太平洋建設,1806599,2911797,-37.96,218865,349861,-197248,-365788,21617,-15927,        ,12400547,0.02,-0.01,12.31,34.59,1.38,0.21,
2509, 2509 保   固   ,177469,86242,105.78,27108,-29354,69137,-54587,96189,-84798,        ,1920300,0.5,-0.54,12.54,46.04,1.57,0.17,
2511, 2511 太子建設  ,272517,1465570,-81.41,-84468,303283,-197697,-153269,-282193,149906,        ,9216426,-0.31,0.17,10.96,42.04,1.57,0.05,
2512, 2512 寶成建設  ,1771847,1242184,42.64,15394,-278085,84948,-883498,100342,-1162558,        ,8549887,0.12,-1.42,9.21,44.59,2.02,0.06,
2513, 2513 潤泰建設  ,1181425,2541777,-53.52,-91339,268116,-450062,-198890,-490171,105227,        ,7830435,-0.63,0.13,10.6,29.98,0.97,0.07,
