year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200004,9939.0,788750.0,15.6629,1.09,50.9614,274154.0,-35411.0,1367334.0,238419.0,0.55,
200101,9939.0,788750.0,16.1984,1.17,54.3542,52332.0,-584.0,309164.0,42240.0,0.57,
200102,9939.0,887344.0,13.7635,1.06,52.1961,114690.0,-5638.0,689615.0,88506.0,0.59,
200103,9939.0,987344.0,15.2362,1.45,59.8911,189105.0,-12761.0,1120930.0,141541.0,0.99,
200104,9939.0,987344.0,15.6964,1.61,62.9067,248926.0,-17031.0,1458181.0,186980.0,1.1,
200201,9939.0,987344.0,16.4192,1.07,58.7497,97620.0,-3845.0,405497.0,71372.0,0.72,
200202,9939.0,1061395.0,15.5537,1.17,54.335,205403.0,27185.0,890845.0,186152.0,0.77,
200203,9939.0,1181395.0,18.1558,1.76,63.0688,343397.0,23974.0,1432230.0,311095.0,1.22,
200204,9939.0,1181395.0,18.5221,1.2,57.4504,401857.0,17914.0,1912859.0,353180.0,0.83,
200301,9939.0,1190603.0,20.0661,2.17,54.8598,99944.0,19758.0,492185.0,91682.0,1.6,
200302,9939.0,1326549.0,17.9325,1.62,53.9963,240653.0,4682.0,1119682.0,208350.0,1.19,
200303,9939.0,1326549.0,18.7249,1.79,57.5555,434985.0,-22222.0,1802793.0,334098.0,1.31,
200304,9939.0,1326549.0,19.3684,2.06,60.9646,530459.0,-61507.0,2378942.0,404092.0,1.46,
200401,9939.0,1483429.0,21.4257,2.4,65.672,99279.0,-12046.0,535089.0,64675.0,1.71,
200402,9939.0,1565898.0,19.8202,1.79,62.1409,263371.0,-43416.0,1310199.0,198395.0,1.2,
200403,9939.0,1565897.0,20.9285,1.48,60.5992,446441.0,-61282.0,2168377.0,367158.0,0.91,
200404,9939.0,1565898.0,20.8629,1.71,65.1074,537171.0,-95036.0,2756905.0,409504.0,1.14,
200501,9939.0,1565898.0,21.0543,1.58,63.4981,47015.0,-26704.0,537852.0,35292.0,0.97,
200502,9939.0,1620246.0,20.23,1.09,57.7026,164696.0,-66531.0,1306320.0,108221.0,0.54,
200503,9939.0,1620245.0,20.86,1.09,59.8095,325693.0,-67440.0,2151661.0,240676.0,0.61,
200504,9939.0,1620245.17,20.54,1.03,,421824.0,-154931.0,2830652.0,249964.0,0.58,
200601,9939.0,1620245.0,20.74,0.99,60.8917,89706.0,-23123.0,685822.0,42568.0,0.56,
200602,9939.0,1657149.0,20.65,1.01,,226488.0,-15009,1452720.0,159146.0,0.61,
200603,9939.0,1657149.0,21.04,0.89,59.7905,370925.0,-49144,2286702.0,250764.0,0.5,
200604,9939,1657149.0,21.46,1.03,61.8412,430601.0,-109938,2993214.0,320663.0,0.6,
200701,9939,1857149.0,21.93,1.18,64.5656,43624.0,-40250,640418.0,6375.0,0.61,
200702,9939,1900064.0,21.53,1.54,,135494.0,19223,1566508.0,121787.0,0.85,
200703,9939,1900064.0,21.76,1.39,,278959.0,23209,2693841.0,238076.0,0.88,
200704,9939,1900064.0,22.5315,1.74,67.6579,371345.0,-12141,3700175.0,282753.0,1.107,
200801,9939,1900064.0,22.9773,1.63,68.7083,99228.0,51989,1013452.0,116356.0,1.03,
200802,9939,1943155.0,23.46,1.47,66.2288,306764.0,130505,2305667.0,351545.0,0.99,
200803,9939,1943155.0,24.86,1.68,70.2795,578119.0,193812,3744459.0,617905.0,1.12,
200804,9939,1943155.0,25.54,1.7,73.7535,789999.0,133905,5006429.0,752237.0,1.11,
200901,9939,1943155.0,26.54,1.73,76.0317,167299.0,22662,1102449.0,138425.0,1.15,
200902,9939,2001450.0,25.93,1.22,71.9623,438370.0,102092,2468165.0,444290.0,0.86,
200903,9939,2351450.0,28.42,2.26,79.2933,728533.0,195813,4133207.0,795236.0,1.86,
200904,9939,2351450.0,29.09,2.764,84.5378,923664.0,202208,5385138.0,960653.0,2.133,
201001,9939,2351450.0,29.96,2.53,83.7672,197258.0,47493,1248374.0,193971.0,1.94,
201002,9939,2398479.0,29.4,1.7,78.79,508919.0,167861,2888943.0,604630.0,1.32,
201003,9939,2398479.0,31.03,1.96,81.5926,919516.0,305360,4832532.0,1115954.0,1.53,
