stock,93年1-9月,稅後純益,93年1-9月,增減(%),期末股本,稅後純益,93年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,93年1-9月,增減(%),營業利益,93年1-9月,營業外
01,8704162,11324467,11150551,1.56,78753979,1.51,1.48,18.910283557694,66.4296080135603,1.63157108106702,1.27116508671108,01,水泥類,39203198,38024097,3.1,4335360,3386846,7686886
1101,2200977,5034599,3301070,52.51,29493513,1.71,1.17,18.75,58.7636,1.57,1.33,1101,台泥,20830047,20468048,1.77,1805445,1423093,3614923
1102,4735444,5076527,5630954,-9.85,23445566,2.17,2.59,20.91,73.0571,1.58,1.09,1102,亞泥,7915500,7628708,3.76,1540486,1132101,3852686
1103,707147,19597,557702,-96.49,6996391,0.03,0.8,20.71,64.3473,1.35,1.29,1103,嘉泥,2011023,1964695,2.36,105088,52122,-22150
1104,426634,461650,525214,-12.1,4614553,1,1.26,20.45,70.0291,1.68,1.01,1104,環泥,2339256,2473367,-5.42,4003,99612,148867
1108,285369,165889,471229,-64.8,4047380,0.41,1.16,10.72,57.7085,1.07,0.57,1108,幸福,3046553,2749006,10.82,314164,254351,-36442
1109,163686,286036,365810,-21.81,4290898,0.67,0.85,13.44,89.3472,7.44,6.31,1109,信大,1512045,1383486,9.29,308349,269097,68321
1110,184905,280169,298572,-6.16,5865678,0.48,0.51,14.03,84.6728,4.17,2.3,1110,東泥,1548774,1356787,14.15,257825,156470,60681
02,3231725,3034006,3696277,-17.92,84882958,0.36,0.44,12.2105510359432,54.5160461661961,1.05054980020185,0.637706958782722,02,食品類,98110352,104322508,-5.95,3046710,630087,372574
1201,-247028,294546,145074,103.03,5060629,0.58,0.29,7.25,34.2692,1.06,0.8,1201,味全,7429943,7421629,0.11,464855,392102,-169508
1203,57932,-87321,176785,,2092537,-0.42,0.84,15.75,62.6023,0.83,0.5,1203,味王,1334546,2009633,-33.59,61291,132256,-124323
1207,1000679,-1861966,315153,,7320098,-2.54,0.43,7.04,20.6386,0.28,0.06,1207,嘉食化,5775259,7562463,-23.63,-762460,-752021,-1117439
1210,-36372,524111,-27819,,4020278,1.3,-0.07,14.64,56.0564,1.53,0.81,1210,大成,11821416,11639639,1.56,646254,-9063,9419
1213,1382,8331,12636,-34.07,428959,0.19,0.29,13.63,75.2835,2.55,2.06,1213,大飲,562553,527660,6.61,15060,17693,-937
1215,-15106,45277,-10597,,2320268,0.2,-0.05,10.04,68.153,2.01,1.16,1215,卜蜂,7550921,9678712,-21.98,33629,23206,20671
1216,1767756,2608712,1790329,45.71,33753848,0.77,0.53,12.82,57.4695,1.05,0.68,1216,統一,30297065,31578499,-4.06,1047209,90320,1558095
1217,-98733,125852,88205,42.68,3708261,0.34,0.24,10.73,45.6581,1.1,0.65,1217,愛之味,3475136,3426809,1.41,197037,193961,-65068
1218,67488,-8423,49129,,3225698,-0.03,0.15,11.45,47.3298,1.33,0.9,1218,泰山,3580229,3718272,-3.71,73177,-21059,-58308
1219,10397,32074,-36979,,2722294,0.12,-0.14,12.47,67.9135,4.72,3.39,1219,福壽,4062683,4164381,-2.44,110825,-49244,-61942
1220,17782,-16249,-87952,,1770779,-0.09,-0.5,9.5,68.0732,1.75,1.28,1220,台榮,1700767,1589121,7.03,7004,-121786,-31206
1225,-60403,35904,-147568,,1627000,0.22,-0.91,11.3,54.5851,1.11,0.7,1225,福懋油,3824516,3964883,-3.54,110338,-88703,-57697
1229,846738,609004,859572,-29.15,6645010,0.92,1.3,15.57,80.7135,1.6,0.86,1229,聯華,1640085,1339465,22.44,71638,16175,543250
1231,-48272,66293,32566,103.57,1154190,0.57,0.28,14.64,61.2072,2.28,1.28,1231,聯華食,2409135,2288042,5.29,118429,77158,-36822
1232,-2548,232000,129989,78.48,1599749,1.45,0.81,13.73,58.5462,1.55,0.76,1232,大統益,6595924,7253854,-9.07,274603,153566,-23363
1233,9712,132744,145118,-8.53,879533,1.51,1.65,13.11,71.8126,1.53,0.88,1233,天仁,1197744,1211429,-1.13,140099,165786,10645
1234,-65682,143111,134214,6.63,5358281,0.27,0.25,17.39,85.166,2.48,2,1234,黑松,2710708,2874913,-5.71,204905,267896,2206
1235,20011,31594,36283,-12.92,443948,0.71,0.88,16.21,66.9673,2.79,2.14,1235,興泰,831497,1002858,-17.09,45912,21869,-4046
1236,5992,118412,92139,28.51,751598,1.58,1.29,13.62,60.9318,1.22,0.85,1236,宏亞,1310225,1070246,22.42,186905,119975,-21053
03,34955266,144713045,119989320,20.6,343988382,4.47,3.71,23.9032831488406,58.3808230631901,1.77290729328078,0.90959499123717,03,塑膠類,755563867,646035876,16.95,86305470,93467912,67050118
1301,11251857,29460353,24996593,17.86,55538559,5.3,4.91,26.46,63.5788,2.02,1.09,1301,臺塑,100087324,89320692,12.05,11666039,14652958,22489463
1303,14445200,32298038,29587402,9.16,74015445,4.36,4.24,25.39,60.1437,2.45,1,1303,南亞,126318681,123233691,2.5,10141173,17281757,23529263
1304,235890,556767,734627,-24.21,7714032,0.72,0.95,13.68,69.1314,2.91,2.25,1304,臺聚,6980647,5414533,28.92,385476,683922,264576
1305,481524,-679207,705404,,4248035,-1.6,1.66,10.86,53.0897,2.04,1.27,1305,華夏,5494179,6038157,-9.01,166954,223880,-846161
1307,65252,250708,245819,1.99,2504083,1,0.98,13.74,57.6952,1.19,0.6,1307,三芳,3028740,3076820,-1.56,56159,177256,170820
1308,-8939,273953,342244,-19.95,2609316,1.05,1.39,16.64,84.2217,3.76,2.97,1308,亞聚,3491367,2958182,18.02,268054,429004,94793
1309,192180,35405,241739,-85.35,2705005,0.13,0.92,14.3,54.8758,4.42,3.2,1309,臺達化,7347359,6066316,21.12,100614,109323,-37249
1310,-122375,-193614,612342,,5665293,-0.34,1.15,12.06,67.9673,1.3,0.89,1310,台苯,9289605,8980863,3.44,-49727,1010657,-98571
1311,24407,368847,798571,-53.81,2920518,1.26,2.87,15.64,76.857,3.16,1.88,1311,福聚,10380149,8736373,18.82,397991,1039364,74219
1312,225086,252570,1038316,-75.68,6598242,0.38,1.57,9.8,46.9698,0.96,0.62,1312,國喬,9973796,9757340,2.22,16622,913718,170422
1313,561390,548624,801599,-31.56,7557975,0.73,1.11,14.1,76.9082,2.27,1.15,1313,聯成,4867337,4169840,16.73,428816,468465,283851
1314,-233682,1507495,153207,883.96,16899995,0.89,0.09,10.91,41.0306,1.71,1.05,1314,中石化,23075499,16572425,39.24,2927432,420457,-1536258
1315,23057,263638,156767,68.17,2295000,1.15,0.65,14.5,71.6009,3.4,2.53,1315,達新,2610239,2722977,-4.14,173935,170339,129944
1316,15047,-63978,-12519,,701661,-0.91,-0.09,10.69,68.7364,0.66,0.27,1316,上曜,285308,437792,-34.83,-36797,-19419,-19261
1319,438936,642521,1047929,-38.69,4135413,1.55,2.57,16.93,59.8068,1.06,0.77,1319,東陽,5495083,5463983,0.57,653849,797496,87146
1321,568951,281252,370986,-24.19,2184887,1.29,1.78,14.68,72.4668,2.09,1.16,1321,大洋,3604732,3441743,4.74,93838,-120103,202831
1323,16466,50248,49226,2.08,750918,0.67,0.67,13.02,59.2545,1.47,1.05,1323,永裕,855794,827940,3.36,24703,32477,21453
1324,-921,19410,4779,306.15,729339,0.27,0.07,12.27,72.4026,2.59,1.96,1324,地球,870322,831117,4.72,25310,-752,-500
1325,1648,13334,-37618,,891110,0.15,-0.42,12.84,83.2198,3.14,1.9,1325,恒大,592827,344252,72.21,26792,-39047,-2327
1326,9385940,34061476,29040432,17.29,53638157,6.35,5.96,28.24,65.8167,1.92,0.91,1326,臺化,119117504,105930751,12.45,13463422,21011913,20598054
6505,-2611648,44765205,29111475,53.77,89685399,4.99,3.5,22.04,49.8309,1.35,0.72,6505,台塑化,311797375,241710089,29,45374815,34224247,1473610
04,11661524,6044950,13642401,-55.69,192239270,0.32,0.71,12.5002917317802,59.1840403929188,1.22665090327051,0.514178013410765,04,紡織纖維類,181824122,178631321,1.79,-485943,3019542,7643495
1402,8894506,6520290,8348936,-21.9,41036333,1.59,2.2,18.07,63.8308,1.2,0.51,1402,遠紡,28218474,28551248,-1.17,-318975,-545570,6839265
1408,-887545,-1112681,-973065,,5450704,-2.04,-1.79,0.49,1.7969,0.29,0.06,1408,中紡,9600170,8881477,8.09,-236374,-85520,-876307
1409,420142,196198,466347,-57.93,13253409,0.15,0.35,10.68,52.2288,1.1,0.65,1409,新纖,15754370,15340207,2.7,116252,62084,110517
1410,-8454,-25115,10533,,900000,-0.28,0.12,12.51,80.755,6.38,5.2,1410,南染,296232,343919,-13.87,14016,28385,-33219
1413,36793,-290727,-40241,,2836457,-1.02,-0.14,7.63,51.219,0.96,0.26,1413,宏洲,2860069,3705581,-22.82,-337136,-44552,-763
1414,-7930,-385045,-35518,,2200000,-1.75,-0.16,7.57,32.7084,0.37,0.12,1414,東和,2819462,2950935,-4.46,-243014,-27588,-142031
1416,11795,-147644,-43379,,5497834,-0.27,-0.08,10.06,66.2368,0.51,0.25,1416,廣豐,1260158,1974618,-36.18,-74098,-55772,-73546
1417,-62052,-166959,-187904,,4157493,-0.4,-0.45,10.14,75.0839,1.51,0.96,1417,嘉裕,1278011,1350601,-5.37,-142717,-116099,-2613
1418,-7586,-475501,18528,,2638553,-1.8,0.07,8.93,55.5495,1.18,0.28,1418,東華,2108087,2268063,-7.05,-190622,21102,-331893
1419,179770,215237,154363,39.44,2904000,0.74,0.53,15.39,65.5772,0.51,0.36,1419,新紡,538734,498380,8.1,2077,-31632,207094
1423,-1712,-42719,-37145,,1793000,-0.24,-0.21,13.37,86.4931,27.65,9.96,1423,利華,1655313,2034331,-18.63,-71692,-48356,28973
