stock,稅後純益,103年1-3月,增減,期末股本,稅後純益,103年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,103年1-3月,增減,公司,,營業收入,103年1-3月,增減,營業利益,103年1-3月,營業外,103年1-3月
1236,73060,23243,214.33,1083425,0.67,0.21,17.44,60.8485782584991,1.38476392144129,0.897690943226116,87374,32404,169.64,1236,宏亞,705960,661979,6.64,87072,26625,302,5779
1702,289175,209263,38.19,2941330,1.17,0.84,21.46,30.7721812311092,1.44710697202128,1.09429465737921,368199,310955,18.41,1702,南僑,3574556,3362458,6.31,398732,329388,-30533,-18433
1737,48273,76749,-37.1,2000000,0.24,0.38,29.37,86.0940294801181,6.06959721751116,4.94516321816802,60075,87031,-30.97,1737,臺鹽,639349,628615,1.71,78211,41800,-18136,45231
03,15236788,23655802,-35.59,304918240,0.38,0.47,36.08,58.3005030812584,2.59414133086724,2.0115817409666,19796578,27588365,-28.24,03,塑膠類,275960887,308154592,-10.45,14746139,7291633,5050439,20296732
1301,3643685,7182974,-49.27,63657408,0.57,1.13,45.82,66.9721171488499,3.42042669729096,2.92292624134327,4451984,7973520,-44.17,1301,台塑,47697112,51989871,-8.26,2938983,1089369,1513001,6884151
1303,7950168,9328745,-14.78,79308216,1,1.18,40.69,60.5183143231137,3.04837490226208,2.34600461116757,9817972,10445075,-6,1303,南亞,79525772,77473959,2.65,6523855,2574974,3294117,7870101
1304,187745,140727,33.41,11426024,0.18,0.14,16.85,29.3301824630588,2.11895721630155,1.5734826064167,461549,253299,82.22,1304,台聚,13066416,13711750,-4.71,420725,287705,40824,-34406
1305,161693,154040,4.97,4683034,0.35,0.33,12.73,51.1648158730052,2.21965615496037,1.54329341490182,205086,194301,5.55,1305,華夏,3661067,3528563,3.76,216458,176432,-11372,17869
1307,284407,264750,7.42,3749817,0.76,0.71,21.38,58.0763025388121,2.50609643948491,1.83708298409579,348726,305902,14,1307,三芳,2971584,2825940,5.15,380417,278560,-31691,27342
1308,121311,105176,15.34,4696769,0.26,0.22,19.23,91.1909739997333,5.16894971928113,3.58267290273832,141255,127286,10.97,1308,亞聚,1230665,1344360,-8.46,79843,110825,61412,16461
1309,82198,-212860,,3276518,0.25,-0.65,10.7,34.0996072800224,1.41477599197803,0.941478926487828,73714,-220346,,1309,台達化,4075100,4363504,-6.61,84933,-173302,-11219,-47044
1310,27115,12550,116.06,5278698,0.05,0.02,10.37,54.8531722871678,1.26260133673055,0.937660160863528,43753,15788,177.13,1310,台苯,2268323,5258276,-56.86,59554,6361,-15801,9427
1312,292522,131043,123.23,9266203,0.32,0.14,17.32,65.2311896662845,1.94306393773012,1.04664659049396,387200,193624,99.98,1312,國喬,5008775,6201713,-19.24,316490,185530,70710,8094
1313,87486,-161020,,11652110,0.08,-0.14,16.17,44.0878598166062,1.52617169734888,1.01252405689357,108037,-223211,,1313,聯成,10934995,13147837,-16.83,103055,-72778,4982,-150433
1314,183688,-209832,,23199897,0.08,-0.09,22.99,70.0280206375261,3.77727482142116,3.01068733581428,192950,-193925,,1314,中石化,7398603,9122934,-18.9,-139755,-160306,332705,-33619
1315,6204,105,5808.57,1980000,0.03,<<<<<,38.16,78.3354498226387,4.3771959115174,3.50475392347755,6542,1296,404.78,1315,達新,638625,631838,1.07,10636,-13691,-4094,14987
1319,412748,396856,4,5914771,0.7,0.67,29.23,49.6999420114331,1.14904197393636,0.739549159226782,502207,480618,4.49,1319,東陽,5612549,5200849,7.92,481479,340709,20728,139909
1321,4225,1446,192.19,2272283,0.02,0.01,22.48,49.1611504556405,1.35594628842486,0.821356278351145,4224,1446,192.12,1321,大洋,1278856,1291037,-0.94,-11423,-18977,15647,20423
1323,47353,59005,-19.75,912745,0.52,0.65,19.34,46.2953704390344,3.50475628350794,2.10631056022822,85869,105231,-18.4,1323,永裕,754527,823477,-8.37,94387,99630,-8518,5601
1324,6902,15150,-54.44,751219,0.09,0.2,12.82,73.5925069214081,3.49144010798573,2.66406556943413,11574,18515,-37.49,1324,地球,315831,376564,-16.13,10579,14278,995,4237
1325,18494,20951,-11.73,1003308,0.18,0.21,18.17,87.6547751636476,17.8278146809047,14.2135541915412,22140,25233,-12.26,1325,恆大,279979,292973,-4.44,24082,14823,-1942,10410
1326,1486545,5678904,-73.82,58611863,0.25,0.97,48.11,53.0141276409397,2.4107967489734,1.8987414617646,2531422,7047876,-64.08,1326,台化,80909048,100960296,-19.86,2667270,1687937,-135848,5359939
1337,68099,305947,-77.74,2498291,0.27,1.22,40.33,89.2815385598269,3.20284184930237,2.26894573524876,96992,408461,-76.25,1337,F-再生,840612,1220099,-31.1,69429,351819,27563,56642
1339,73358,82633,-11.22,759259,1.02,1.25,37.94,74.7260119559834,2.62541485448642,2.16376118759211,88653,99559,-10.95,1339,昭輝,377677,360719,4.7,91593,89302,-2940,10257
1340,153403,189937,-19.23,883794,1.74,2.17,58.5,90.9193074684984,10.5699012382539,10.436056287124,183558,222634,-17.55,1340,F-勝悅,592056,517764,14.35,175635,148118,7923,74516
1715,66300,114920,-42.31,4008767,0.17,0.3,17.77,55.6377963776883,2.36403973203684,1.73348606847059,95343,151122,-36.91,1715,萬洲,2463622,2703935,-8.89,139604,105640,-44261,45482
4306,-128861,53655,,5127246,-0.25,0.11,15.72,22.8438423167609,1.30836864881649,0.545425068102555,-64172,155061,,4306,炎洲,4059093,4806334,-15.55,8310,168675,-72482,-13614
04,5177171,5003079,3.48,196114870,0.17,0.16,22.53,44.1144199543578,1.27492178583175,0.534595558626775,10332091,8257119,25.13,04,紡織纖維類,124823708,133037577,-6.17,7052800,6671655,3279291,1585464
1402,2635289,1815906,45.12,52479168,0.54,0.37,38.7,39.8010410016225,1.1388694379913,0.762002567122101,6978106,4260926,63.77,1402,遠東新,53529552,58243539,-8.09,3872118,3544335,3105988,716591
1409,186238,596988,-68.8,16592823,0.11,0.35,15.78,19.8549159129283,1.01728110041957,,279884,792220,-64.67,1409,新纖,9109647,11674304,-21.97,279884,792220,,
1410,21616,14973,44.37,720000,0.3,0.17,16.49,77.4005846142817,6.84960918175522,6.51569209458791,29115,19412,49.98,1410,南染,142816,138853,2.85,27605,17068,1510,2344
1413,-32750,-48548,,1021124,-0.32,-0.48,6.02,22.4008052087865,0.57579601157835,0.10270636663806,-29516,-48638,,1413,宏洲,579570,957423,-39.47,-32265,-42567,2749,-6071
1414,-16421,21316,,2200000,-0.07,0.1,14.31,64.8846931872576,0.993702643692054,0.299887891755109,-19930,21560,,1414,東和,296976,330362,-10.11,-19490,16233,-440,5327
1416,155747,-40659,,2933557,0.54,-0.14,19.1,52.209797611839,1.32097932035151,0.185166431070109,160117,-45582,,1416,廣豐,869625,39575,2097.41,112941,-49242,47176,3660
1417,-93089,85839,,3798837,-0.25,0.23,12.42,72.375188054205,2.45399497991451,1.19673874467002,-92584,92960,,1417,嘉裕,938842,880087,6.68,-89799,-28006,-2785,120966
1418,-61828,-41894,,1319276,-0.51,-0.35,5.3,31.0860968418934,0.578207950520775,0.0772541950266191,-60814,-41554,,1418,東華,321943,420990,-23.53,-56622,-34501,-4192,-7053
1419,-25462,-11751,,3000413,-0.09,-0.04,24.41,62.806895370328,0.544470424409303,0.442731700820618,-26393,-11689,,1419,新紡,265830,273369,-2.76,-22818,-8911,-3575,-2778
1423,-18412,-41466,,1750000,-0.11,-0.24,14.97,90.8657088933387,56.1649097954252,28.6829715428524,-19539,-31105,,1423,利華,156067,153081,1.95,-16829,-29936,-2710,-1169
1432,-76944,-60763,,1645123,-0.48,-0.37,13.26,52.1417541032637,1.88241856241791,0.641115777298548,-48878,-24809,,1432,大魯閣,60945,27086,125.01,-48269,-35949,-609,11140
1434,517351,540917,-4.36,16846646,0.31,0.32,29.35,65.258105063539,2.10091068877798,1.2532585148979,780680,730815,6.82,1434,福懋,11029926,11926770,-7.52,811189,702111,-30509,28704
1439,197,-2718,,920000,<<<<<,-0.03,22.06,92.6794458255432,135.370794013917,133.126012772853,261,-3052,,1439,中和,95543,74414,28.39,-3431,-5067,3692,2015
1440,203513,119488,70.32,16404118,0.12,0.07,15.31,60.5848193583363,1.08342997740737,0.541747122089431,237199,145570,62.94,1440,南紡,5279253,4561889,15.73,76841,104119,160358,41451
1441,-32991,-15939,,897991,-0.37,-0.18,9.43,29.1362788484269,0.910099100396276,0.480946806312877,-34667,-16054,,1441,大東,490281,331805,47.76,-16730,-24330,-17937,8276
1443,-65099,-29414,,1353430,-0.48,-0.22,9.39,26.1916200542191,0.585277763272935,0.150924114680195,-93580,-74145,,1443,立益,273825,377960,-27.55,-52372,-82943,-41208,8798
1444,96018,95467,0.58,9573029,0.1,0.1,12.13,70.0452426182775,1.56582977862847,0.988824244416139,118087,118360,-0.23,1444,力麗,2759961,2743546,0.6,160321,32170,-42234,86190
1445,16507,10779,53.14,1386670,0.12,0.08,13.76,84.9954798284562,8.94007198904586,4.28667710699146,16211,11300,43.46,1445,大宇,472498,458305,3.1,16168,4448,43,6852
1446,5107,15380,-66.79,1386215,0.04,0.11,13.61,49.4216906851865,9.98231163088192,1.03420140974484,6940,19276,-64,1446,宏和,199597,206190,-3.2,3332,14680,3608,4596
1447,-114322,226394,,8709402,-0.14,0.27,12.51,49.2838813544046,1.23074995912539,0.630698950463536,-136219,276044,,1447,力鵬,4613017,5977016,-22.82,-86754,184882,-49465,91162
1449,-61589,-86975,,1200000,-0.52,-0.84,9.14,21.6126616725669,1.19071836170868,0.546713010057252,-68506,-99654,,1449,佳和,649528,769981,-15.64,-59875,-93677,-8631,-5977
1451,49151,257726,-80.93,4000000,0.12,0.64,24.96,73.1191358314481,3.80884493584644,1.761540465574,58106,296715,-80.42,1451,年興,2742195,3075729,-10.84,54748,92154,3358,204561
1452,87614,38935,125.03,1326414,0.66,0.29,17.51,91.9585820836434,10.6501890306619,7.4130250465627,104896,47732,119.76,1452,宏益,576453,525035,9.79,82881,32091,22015,15641
1453,-16879,-4046,,879164,-0.19,-0.05,10.58,70.2668778555462,2.79064614629206,0.339430114621534,-15444,-5479,,1453,大將,30905,60064,-48.55,-17297,-6525,1853,1046
1454,25870,6687,286.87,1403098,0.2,0.05,12.62,76.8199211489329,3.16789294395981,1.55173264174004,30206,6787,345.06,1454,台富,529892,456116,16.17,31103,-3039,-897,9826
1455,-66885,80050,,6117634,-0.11,0.13,12.1,59.3938026673318,1.57139474314723,0.667783014748909,-77462,99799,,1455,集盛,4025006,4503321,-10.62,-125576,65214,48114,34585
1456,-22163,-33995,,2130000,-0.1,-0.17,4.46,21.8266812813918,1.38704965978995,0.152165742117158,-22163,-36075,,1456,怡華,137992,246999,-44.13,-6407,-15765,-15756,-20310
1457,110540,13508,718.33,3351640,0.42,0.05,14.3,45.1130831589431,1.43043476043466,0.966299011274463,118118,22190,432.3,1457,宜進,785432,1116079,-29.63,60483,6967,57635,15223
1459,88509,12498,608.19,3586289,0.28,0.04,12.41,52.8913561972778,1.5641329752847,1.34335968969118,101592,17864,468.7,1459,聯發,1003256,1011480,-0.81,66561,19330,35031,-1466
1460,110062,77669,41.71,4711891,0.25,0.18,11.15,54.6898795238808,1.84768134218001,0.622778950498726,126538,87980,43.83,1460,宏遠,2093769,1903330,10.01,117013,54340,9525,33640
1463,22601,9022,150.51,1732684,0.14,0.06,12.05,59.0969153718731,1.97954367195764,0.6930527359655,24278,11805,105.66,1463,強盛,134186,128711,4.25,6212,3890,18066,7915
1464,59627,6568,807.84,2168960,0.28,0.03,15.46,43.6644031850248,1.20773041721815,0.591718180507311,100177,4210,2279.5,1464,得力,1576218,1175205,34.12,96117,-8745,4060,12955
1465,20810,30640,-32.08,1036073,0.2,0.3,17.79,64.1484130687514,5.45370198950913,2.02836023128211,34714,48735,-28.77,1465,偉全,523707,588669,-11.04,23633,14949,11081,33786
1466,252,21053,-98.8,1111573,<<<<<,0.21,17.11,54.1554921609721,2.14715787380385,1.04453676704227,-149,21123,,1466,聚隆,1047772,1177013,-10.98,3338,16657,-3487,4466
1467,8242,18572,-55.62,2102622,0.04,0.11,11.63,35.3498205790657,1.93836887022074,1.13699012291986,1031,8504,-87.88,1467,南緯,1637948,1492632,9.74,9425,8532,-8394,-28
1468,-8033,-17445,,1604053,-0.5,-1.1,7.34,48.3737027915929,2.31465565374767,0.475398063112497,-10604,-21701,,1468,昶和,172361,207446,-16.91,-261,-28438,-10343,6737
1469,-10285,-4106,,1246000,-0.08,-0.03,14.52,84.8851760424433,2.87491446053108,1.80867336669932,-11412,-4593,,1469,理隆,75795,108522,-30.16,-10587,-6974,-825,2381
1470,15266,19918,-23.36,857670,0.18,0.23,11.32,86.4330833092212,5.11424056652084,2.35157358772148,18852,23997,-21.44,1470,大統染,199659,201412,-0.87,21302,22408,-2450,1589
1472,-29330,-17796,,716500,-0.41,-0.26,5.03,34.3323949565822,0.611355291182875,0.318224102235128,-29804,-18557,,1472,三洋紡,186329,217481,-14.32,-26649,-19280,-3155,723
