year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200001, 2706 第一飯店  ,1048484,23.86,3.31,73.46,37747,30914,56384,59711,3.16,
200002,2706,1142848.0,22.6971,2.3,72.6684,78287.0,120327.0,117579,158522,2.22,
200003,2706,1142848,23.1672,2.29,73.2368,121725,119170,180535,190268,2.2,
200004,2706,1142848,24.695,2.8,74.2194,164315,215121,246476,295003,2.74,
200101,2706,1142848,24.9063,2.99,74.1507,44527,-936,64776,32785,2.94,
200102,2706,1268561,23.5537,3.15,74.6177,88240,73144,130655,124404,3.11,
200103,2706,1268561,23.7837,4.08,74.9486,130947,72602,193403,156081,4.01,
200104,2706,1268561,24.4365,5.01,75.5077,175505,102194,257625,214380,4.92,
200201,2706,1268561,24.7101,4.9,75.5383,43636,-142,62840,32700,4.82,
200202,2706.0,1420788,21.7094,4.48,75.048,86906.0,4976.0,125010.0,73543,4.45,
200203,2706.0,1420788.0,22.3939,5.83,75.8234,132922.0,8305.0,191812.0,111427,5.78,
200204,2706.0,1420788,22.7161,8.67,76.3114,180515.0,29624.0,258631.0,164744,8.62,
200301,2706.0,1420788,22.954,7.22,76.2145,45982.0,-642.0,65578.0,34034,7.19,
200302,2706.0,1534451,21.1941,5.81,75.8853,84082.0,589.0,119393.0,65366,5.79,
200303,2706.0,1534451,21.2111,6.89,76.0264,128050.0,8087.0,182050.0,105828,6.74,
200304,2706.0,1534451,21.4232,10.4,76.6982,178102.0,-11665.0,250642.0,128487,10.34,
200401,2706.0,1534451,21.3952,8.75,76.3976,49369.0,-22.0,67885.0,37039,8.71,
200402,2706.0,1626518,20.6208,7.86,76.4924,97133.0,34320.0,136227.0,99096,7.84,
200403,2706.0,1626518,20.9393,9.57,76.9309,148074.0,38301.0,206822.0,141165,9.46,
200404,2706.0,1626518,20.63,12.57,76.8052,189833.0,63819.0,267963.0,192090,12.52,
200501,2706.0,1626518,22.4717,10.57,82.8736,45868.0,395.0,64154.0,34738,10.53,
200502,2706.0,1764772,23.24,9.51,82.5425,91849.0,147068.0,129226.0,182833,9.48,
200503,2706.0,1764772,22.08,11.89,83.2004,138601.0,152920.0,196295.0,223596,11.75,
200504,2706.0,1764772.47,22.37,16.32,,186159.0,195066.0,265434.0,292208,16.25,
200601,2706.0,1764772,23.33,13.82,83.1036,47317.0,946.0,66996.0,36276,8.43,
200602,2706.0,1888306,25.16,10.51,,96297.0,54816,135697.0,104589,6.52,
200603,2706.0,1888306.0,23.81,9.58,83.4242,151047.0,67941,210240.0,158460.0,6.03,
200604,2706,1888306.0,26.4136,14.7,83.6491,208212.0,560335,288103.0,571285.0,10.5,
200701,2706,1888306.0,26.5,11.49,83.36399999999999,50951.0,14427,71804.0,52267.0,9.14,
200702,2706,2341500.0,26.85,8.24,,99110.0,86560,141128.0,144100.0,6.6,
200703,2706,2341500.0,22.18,8.37,,156320.0,89645,219570.0,189450.0,6.77,
200704,2706,2341500.0,21.8379,14.53,85.0859,213115.0,183993,299228.0,305776.0,14.4759,
200801,2706,2341500.0,22.8721,11.97,85.9122,48732.0,2700,72845.0,38579.0,11.94,
