sDate,sPrice
2000-01-01,33189
2000-04-01,33790
2000-07-01,32203
2000-10-01,26292
2001-01-01,24290
2001-04-01,23964
2001-07-01,27682
2001-10-01,26281
2002-01-01,26077
2002-04-01,32760
2002-07-01,32418
2002-10-01,34085
2003-01-01,35897
2003-04-01,38004
2003-07-01,45270
2003-10-01,47817
2004-01-01,58695
2004-04-01,64815
2004-07-01,57354
2004-10-01,61493
2005-01-01,65148
2005-04-01,64032
2005-07-01,70946
2005-10-01,73747
2006-01-01,69746
2006-04-01,71034
2006-07-01,84648
2006-10-01,74243
2007-01-01,72557
2007-04-01,75252
2007-07-01,78147
2007-10-01,83283
2008-01-01,85450
2008-04-01,90485
2008-07-01,93767
2008-10-01,78773
2009-01-01,72001
2009-04-01,68166
2009-07-01,70055
2009-10-01,68179
2010-01-01,72021
2010-04-01,76332
2010-07-01,85547
2010-10-01,83669
2011-01-01,91405
2011-04-01,106039
2011-07-01,108610
2011-10-01,107782
2012-01-01,110304
2012-04-01,107783
2012-07-01,110247
2012-10-01,116501
2013-01-01,125024
2013-04-01,127865
2013-07-01,145343
2013-10-01,155635
2014-01-01,167574
2014-04-01,171606
2014-07-01,176560
2014-10-01,163307
2015-01-01,157079
2015-04-01,164525
2015-07-01,158941
2015-10-01,144802
2016-01-01,145705
2016-04-01,150214
2016-07-01,158087
