sDate,sPrice
2000-01-01,525129
2000-04-01,557844
2000-07-01,555378
2000-10-01,554538
2001-01-01,488247
2001-04-01,481514
2001-07-01,464978
2001-10-01,469480
2002-01-01,454686
2002-04-01,484753
2002-07-01,535903
2002-10-01,479315
2003-01-01,447506
2003-04-01,503275
2003-07-01,485122
2003-10-01,486622
2004-01-01,466775
2004-04-01,521143
2004-07-01,489306
2004-10-01,434030
2005-01-01,442924
2005-04-01,448992
2005-07-01,434553
2005-10-01,424803
2006-01-01,412258
2006-04-01,395927
2006-07-01,367580
2006-10-01,359374
2007-01-01,340329
2007-04-01,316123
2007-07-01,338204
2007-10-01,270676
2008-01-01,204946
2008-04-01,131166
2008-07-01,39591
2008-10-01,130656
2009-01-01,167323
2009-04-01,176156
2009-07-01,152927
2009-10-01,138158
2010-01-01,193017
2010-04-01,165571
2010-07-01,116515
2010-10-01,22353
2011-01-01,85272
2011-04-01,-27356
2011-07-01,-13916
2011-10-01,-44000
2012-01-01,6055
2012-04-01,-29544
2012-07-01,-21679
2012-10-01,-22886
2013-01-01,39720
2013-04-01,54456
2013-07-01,47906
2013-10-01,42209
2014-01-01,71229
2014-04-01,70963
2014-07-01,71379
2014-10-01,152618
2015-01-01,277631
2015-04-01,267995
2015-07-01,281393
2015-10-01,281791
2016-01-01,344225
2016-04-01,270066
2016-07-01,278058
