sDate,sPrice
2000-01-01,1188480
2000-04-01,1339930
2000-07-01,1421710
2000-10-01,1423210
2001-01-01,1216620
2001-04-01,1232030
2001-07-01,1185880
2001-10-01,1308150
2002-01-01,1233280
2002-04-01,1376600
2002-07-01,1359920
2002-10-01,1457310
2003-01-01,1351800
2003-04-01,1404050
2003-07-01,1506710
2003-10-01,1661610
2004-01-01,1607020
2004-04-01,1766300
2004-07-01,1797610
2004-10-01,1811500
2005-01-01,1619160
2005-04-01,1753420
2005-07-01,1833970
2005-10-01,2123250
2006-01-01,1864300
2006-04-01,2038460
2006-07-01,2192220
2006-10-01,2221100
2007-01-01,2066650
2007-04-01,2263680
2007-07-01,2469890
2007-10-01,2549270
2008-01-01,2364260
2008-04-01,2463420
2008-07-01,2478650
2008-10-01,1924460
2009-01-01,1597140
2009-04-01,1847070
2009-07-01,2119520
2009-10-01,2263610
2010-01-01,2290920
2010-04-01,2592880
2010-07-01,2596530
2010-10-01,2533210
2011-01-01,2493910
2011-04-01,2655580
2011-07-01,2611930
2011-10-01,2658290
2012-01-01,2440160
2012-04-01,2608780
2012-07-01,2655460
2012-10-01,2640980
2013-01-01,2481400
2013-04-01,2690280
2013-07-01,2671450
2013-10-01,2736750
2014-01-01,2604690
2014-04-01,2842810
2014-07-01,2875080
2014-10-01,2931550
2015-01-01,2680750
2015-04-01,2666830
2015-07-01,2687180
2015-10-01,2741620
2016-01-01,2513330
2016-04-01,2618300
2016-07-01,2695770
