sDate,sPrice
2000-01-01,5666
2000-04-01,-601
2000-07-01,4150
2000-10-01,8138
2001-01-01,6221
2001-04-01,16192
2001-07-01,8982
2001-10-01,2269
2002-01-01,5901
2002-04-01,5821
2002-07-01,12940
2002-10-01,12430
2003-01-01,21097
2003-04-01,4085
2003-07-01,-1489
2003-10-01,2903
2004-01-01,12481
2004-04-01,6450
2004-07-01,495
2004-10-01,630
2005-01-01,2242
2005-04-01,482
2005-07-01,1128
2005-10-01,2234
2006-01-01,369
2006-04-01,-1893
2006-07-01,-7733
2006-10-01,5237
2007-01-01,11322
2007-04-01,4590
2007-07-01,-2598
2007-10-01,12960
2008-01-01,12889
2008-04-01,11821
2008-07-01,11761
2008-10-01,17655
2009-01-01,13401
2009-04-01,15377
2009-07-01,7998
2009-10-01,3397
2010-01-01,4589
2010-04-01,4903
2010-07-01,-3464
2010-10-01,211
2011-01-01,5094
2011-04-01,3111
2011-07-01,3696
2011-10-01,3583
2012-01-01,2151
2012-04-01,3880
2012-07-01,2612
2012-10-01,2675
2013-01-01,2622
2013-04-01,4393
2013-07-01,4181
2013-10-01,1819
2014-01-01,3811
2014-04-01,4174
2014-07-01,5685
2014-10-01,1341
2015-01-01,3845
2015-04-01,-1819
2015-07-01,-3811
2015-10-01,-4174
