sDate,sPrice
2000-01-01,444804
2000-04-01,463755
2000-07-01,471220
2000-10-01,499665
2001-01-01,440452
2001-04-01,468701
2001-07-01,478126
2001-10-01,538032
2002-01-01,440502
2002-04-01,483034
2002-07-01,483679
2002-10-01,552216
2003-01-01,453370
2003-04-01,457228
2003-07-01,502589
2003-10-01,533307
2004-01-01,459725
2004-04-01,469988
2004-07-01,505350
2004-10-01,533507
2005-01-01,450157
2005-04-01,492916
2005-07-01,506075
2005-10-01,527600
2006-01-01,439748
2006-04-01,478739
2006-07-01,505990
2006-10-01,539796
2007-01-01,446688
2007-04-01,485446
2007-07-01,524368
2007-10-01,551026
2008-01-01,460411
2008-04-01,493370
2008-07-01,516346
2008-10-01,568318
2009-01-01,476303
2009-04-01,505060
2009-07-01,537522
2009-10-01,585151
2010-01-01,485762
2010-04-01,516841
2010-07-01,544488
2010-10-01,579033
2011-01-01,498231
2011-04-01,521351
2011-07-01,553060
2011-10-01,594953
2012-01-01,509430
2012-04-01,542358
2012-07-01,557105
2012-10-01,605554
2013-01-01,509351
2013-04-01,533317
2013-07-01,554807
2013-10-01,599579
2014-01-01,529372
2014-04-01,546963
2014-07-01,575020
2014-10-01,623784
2015-01-01,515008
2015-04-01,549932
2015-07-01,576852
2015-10-01,628814
2016-01-01,547430
2016-04-01,562320
2016-07-01,597384
