date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,違約金收入,遞延所得稅費用（利益）,重估增值,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,,,-310,2625,,908,,,,,908,1.28,,,,8349,,,,135438,2013年01月01日至2013年03月31日,,42735,43643,,41759,42625,48813,2271,244416,485293,240877,240877,192064,,8349.0,34463,,,1.27,,22163,42735,51084,,0.0,,,,,44.0,,,0.0,,,,1475,,486768,485293,976,1018
2013-08-13,2,2013,,,,,,-257,1618,,572,,,,,572,1.96,,,,13542,,,,143648,2013年04月01日至2013年06月30日,,64979,65551,,63703,64230,77199,1322,280323,553399,273076,273076,195877,,13542.0,31806,,,1.94,,20423,64979,78521,,0.0,,,,,39.0,,,,,,,2440,,555839,553399,1276,1321
2013-11-12,3,2013,,,,,,-65,2744,,-89,,,,,-89,2.18,,,,15030,,,,146584,2013年07月01日至2013年09月30日,,71115,71026,,70540,70485,83504,2641,298835,589875,291040,291040,207536,,15030.0,36998,,,2.16,,23954,71115,86145,,0.0,,,,,38.0,,,,,,,2868,,592743,589875,575,541
2014-03-25,4,2013,,,1892.0,,,-2668,11061,2606.0,8085,8455.0,157.0,,,2476,7.46,,739.0,,48133,,,,556654,2013年01月01日至2013年12月31日,,244318,252403,,241423,249378,284215,8236,1123542,2197961,1074419,1074419,790204,,48133.0,144659,,6758.0,7.37,,88891,244318,292451,,1149.0,,11.0,236.0,,157.0,188.0,,,,1123542.0,1123542.0,10134,,2208095,2197961,2895,3025
2014-05-08,1,2014,,,0.0,,,262,2429,105.0,-366,2324.0,15.0,,,-366,1.58,,-226.0,,11774,,,,142066,2014年01月01日至2014年03月31日,,53535,53169,,52265,51947,62633,2676,292615,557904,265289,265289,202656,,11774.0,36284,,0.0,1.57,,24306,53535,65309,,0.0,,,5.0,,15.0,41.0,,,,292615.0,292615.0,2439,,560343,557904,1270,1222
2014-08-13,2,2014,,,0.0,,,90,4821,2158.0,-981,2663.0,3.0,,,-981,2.57,,-49.0,,16620,,,,144101,2014年第2季,,85822,84841,,84694,83814,97534,4908,314617,624866,310249,310249,212715,,16620.0,42557,,,2.54,,26057,85822,102442,,0.0,,,0.0,,3.0,41.0,,,,314617.0,314617.0,2816,,627682,624866,1128,1027
2014-11-13,3,2014,,,2.0,,,237,7647,4553.0,1306,3094.0,2.0,,,1306,3.11,,-31.0,,21297,,,,141922,2014年第3季,,103046,104352,,102619,103756,116461,7882,322346,650674,328328,328328,211867,,21297.0,42679,,,3.09,,27266,103046,124343,,0.0,,,-167.0,,2.0,41.0,,,,322346.0,322346.0,1896,,652570,650674,427,596
2015-03-24,4,2014,,,66.0,,,8408,20149,,-5071,,6.0,,,-6086,9.41,,-893.0,,57175,,,,595620,2014年度,,313002,307931,,310589,305276,341626,28551,1247158,2462778,1215620,1215620,873994,,57175.0,169710,,1223.0,9.32,,108664,313002,370177,,208.0,,143.0,0.0,7284.0,6.0,154.0,,,,1247158.0,1247158.0,9547,2472325.0,2472325,2462778,2413,2655
2015-05-12,1,2015,0.0,0.0,,,0.0,135,3550,46.0,-394,3504.0,0.0,0.0,0.0,-394,2.07,,,-394.0,12890,0.0,0.0,,152102,2015年01月01日至2015年03月31日,12890.0,68004,67610,0.0,68544,68219,77209,3685,308497,607092,298595,298595,221386,0.0,,41053,0.0,,2.05,,28231,68004,80894,0.0,,0.0,,,,0.0,,,,0.0,308497.0,308497.0,2099,,609191,607092,-540,-609
2015-08-05,2,2015,,,,,,26,5566,856.0,-733,3834.0,0.0,,,-733,3.21,,,-733.0,18047,,,,158846,2015年第2季,18047.0,106425,105692,,106025,105375,118880,5592,320837,678990,358153,358153,239273,,,46836,,,3.17,,33591,106425,124472,,,,,,,0.0,,876.0,,,320837.0,320837.0,1699,,680689,678990,400,317
