date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,3895.0,20778,32571,118441,125060,0.15,0.15,,21370,-10514.0,1100,,186207,2013年01月01日至2013年03月31日,37185,155626,42305,161485,5416,53139,2163695,2608594,444899,444899,439483,121844,,,0.15,0.15,131432,37185,58555,,,1310,-5120,-5859
2013-08-09,2,2013,,,-5771.0,-2627,62946,65382,71153,0.05,0.05,,52591,0.0,0,,164554,2013年04月01日至2013年06月30日,16151,81533,13143,79282,9967,58775,2581248,3023301,442053,442053,432086,139191,,,0.05,0.05,128341,16151,68742,,,1544,3008,2251
2013-11-12,3,2013,,0.0,0.0,-34543,33413,-57071,-54384,0.38,0.38,,49097,-2687.0,-871,,162997,2013年07月01日至2013年09月30日,104807,47736,104606,47391,158263,-4359,2829578,3408602,579024,579024,420761,137752,,,0.38,0.38,120012,104807,153904,,,2358,201,345
2014-03-21,4,2013,,,-1875.0,-13071,160280,210568,220192,0.55,0.55,,146321,-8950.0,5006,,675319,2013年01月01日至2013年12月31日,150515,361083,152534,364551,153488,143348,10227880,12081088,1853208,1853208,1699720,493492,,1447.0,0.55,0.55,530909,150515,296836,,246.0,8867,-2019,-3468
2014-05-15,1,2014,,0.0,0.0,6993,30993,59481,66678,0.02,0.02,,20664,-7197.0,5412,,158182,2014年01月01日至2014年03月31日,5958,65439,6060,65725,-12404,39026,2385168,2776835,391667,391667,404071,96764,,,0.02,0.02,149125,5958,26622,,,4372,-102,-286
2014-08-08,2,2014,,,0.0,-25948,54426,-89233,-92859,0.15,0.15,,22817,3626.0,-3573,,172934,2014年第2季,41851,-47382,41972,-47434,46747,17921,2810392,3291573,481181,481181,434434,109243,,,0.14,0.14,152257,41851,64668,,,6984,-121,52
2014-11-07,3,2014,,,0.0,21069,38290,91171,81314,0.29,0.29,,24986,9857.0,2389,,172844,2014年第3季,80168,171339,80133,171473,50333,54821,2871229,3363106,491877,491877,441544,116095,,,0.24,0.24,152605,80168,105154,,,6927,35,-134
2015-03-13,4,2014,,,0.0,137825,156794,252152,272140,0.53,0.53,,150171,-10771.0,11794,,652670,2014年度,147593,399745,147847,400549,16864,280900,10705420,12435980,1730560,1730560,1713696,434525,,-11105.0,0.49,0.49,626501,147593,297764,,-1888.0,25513,-254,-804
2015-05-08,1,2015,,,,1765,28247,-78837,-80438,-0.46,-0.46,-78837.0,9204,,22,1601.0,148556,2015年01月01日至2015年03月31日,-128849,-207686,-128767,-207731,-142847,23202,2226323,2465767,239444,239444,382291,102763,,,0.0,0.0,130972,-128849,-119645,,,6832,-82,45
2015-08-06,2,2015,,,,-14169,36363,-6585,-27688,-0.92,-0.92,-6585.0,6156,,266,21103.0,173693,2015年第2季,-256929,-263514,-253625,-263409,-266158,15385,2511664,2674971,163307,163307,429465,129065,,,0.0,0.0,126707,-256929,-250773,,,7075,-3304,-105
2015-11-06,3,2015,,,,64555,35974,160479,150885,-0.24,-0.24,160479.0,4629,,-5358,9594.0,163146,2015年第3季,-66914,93565,-66882,94195,-149239,86954,2648768,2936903,288135,288135,437374,128485,,,0.0,0.0,145743,-66914,-62285,,,8217,-32,-630
2016-03-18,4,2015,-5886.0,,,35589,159126,30184,-48480,-1.83,-1.83,36070.0,47047,,-9988,84550.0,650203,2015年度,-511804,-481620,-508566,-481114,-617770,153013,10112614,11123315,1010701,1010701,1628471,468364,-7092.0,,0.0,0.0,509904,-511804,-464757,-1206.0,,31714,-3238,-506
2016-05-06,1,2016,,,,-17805,30572,-116516,-91332,-0.72,-0.72,-116516.0,-2374,,1656,-25184.0,194988,2016年01月01日至2016年03月31日,-198645,-315161,-198640,-315340,-205490,4471,2357384,2580129,222745,222745,428235,128925,,,,,104322,-198645,-201019,,,9952,-5,179
2016-08-11,2,2016,,,,-28109,37480,-64670,-77457,-0.67,-0.67,-64670.0,5303,,2725,12787.0,185193,2016年第2季,-186447,-251117,-186436,-251084,-184951,3807,2227374,2479890,252516,252516,437467,127260,,,,,125014,-186447,-181144,,,8289,-11,-33
2016-11-10,3,2016,,,,-41800,33374,-160263,-181940,-0.21,-0.21,-160263.0,4922,,-4881,21677.0,196762,2016年第3季,-58946,-219209,-58940,-219507,-32818,-21206,2563417,2961513,398096,398096,430914,123487,,,,,110665,-58946,-54024,,,7899,-6,298
