date,season,year,不重分類至損益之項目總額,什項支出,佣金支出,保全費,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他勞務收入,其他勞務收入淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,分期付款銷貨收入,利息收入合計,利息費用,勞務收入合計,可能重分類至損益之其他項目,呆帳損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,專櫃銷貨收入（百貨業適用）,廣告費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,折舊及折耗,捐贈,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,稅捐,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,遞延所得稅費用（利益）,金融資產減損損失,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,858,11,,,976.0,1,-291,978.0,978.0,1183,1075,,3929,3929,1703,,108,813,978.0,,11,946,-0.34,-0.34,,,92.0,,5077.0,,58,,,1767,300.0,,,,,,,43931,2013年01月01日至2013年03月31日,,,-36202,-34499,,-35817,-34114,,,,-36223,79,363142,425723,62581,62581,98804,58.0,11,35373,,,,-0.34,-0.34,,19500,6,-36202,-36144,,,219.0,,0.0,,,813,0.0,199.0,1480,,,,107,363142,363142,1823,424830,424830,420816,2191,,-385,-385
2013-08-02,2,2013,,,237,10,,,-4750.0,8,8964,1153.0,1153.0,2975,2786,,2696,2696,-4147,,189,1209,1153.0,,401,397,-0.34,-0.34,,2613.0,0.0,,7400.0,,-2,,,1708,220.0,,,,,,,49320,2013年04月01日至2013年06月30日,,,-37329,-41476,,-36920,-41075,,,,-48061,10730,425892,483663,57771,57771,105832,-2.0,14,33715,,,,-0.34,-0.34,,22797,0,-37329,-37331,,,-206.0,,0.0,,6567.0,1209,,216.0,1658,0.0,,,181,425892,425892,2756,485847,485847,479814,3277,,-409,-401
2013-11-06,3,2013,,,194,11,,,0.0,33,2566,-19.0,-19.0,2426,2276,,5518,5518,-224,,150,1535,-19.0,,154,-284,-0.01,-0.01,,2566.0,0.0,,5796.0,,0,,,1650,0.0,,,,,,,47412,2013年07月01日至2013年09月30日,,,-2001,-2225,,-1433,-1684,0.0,,,-5458,3457,442904,541625,98721,98721,104179,0.0,10,35872,,,,-0.01,-0.01,,20895,0,-2001,-2001,0.0,,-60.0,,0.0,,0.0,1535,,0.0,1551,0.0,,,117,442904,442904,442,537284,537284,536126,716,,-568,-541
2014-03-18,4,2013,,95.0,1631,47,,,-3774.0,274,13720,2723.0,2723.0,8331,7421,,22254,22254,4714,,874,5405,2723.0,,733,1582,-0.93,-0.93,0.0,9664.0,,,,,1958,,,6951,,,8593.0,8642.0,-49.0,,,183596,2013年01月01日至2013年12月31日,,,-101593,-96879,,-99716,-95004,2000.0,,,-116232,16597,1715195,2009330,294135,294135,410367,1958.0,36,139086,,8306.0,36.0,-0.93,-0.93,,87685,6,-101593,-99635,0.0,,1400.0,,0.0,2.0,6568.0,5405,,415.0,6497,0.0,2000.0,,600,1715195,1715195,7011,2001382,2001382,1984353,10018,,-1877,-1875
2014-05-05,1,2014,,,215,10,,,0.0,236,306,0.0,0.0,1766,1411,,4525,4525,282,,353,2002,0.0,,1,336,-0.29,-0.29,,775.0,0.0,,4563.0,,54,,,1900,0.0,,829.0,1048.0,-219.0,,,53389,2014年01月01日至2014年03月31日,,,-32546,-32264,,-31386,-31118,,,,-32343,-149,458447,539127,80680,80680,113023,54.0,0,37869,,,2.0,-0.29,-0.29,,21765,0,-32546,-32492,,,54.0,,,469.0,,2002,,0.0,1612,,,,117,458447,458447,887,537788,537788,534602,2299,,-1160,-1146
2014-08-11,2,2014,,,149,11,,,0.0,-227,-635,0.0,0.0,1069,1049,,3291,3291,-560,0.0,15,2510,0.0,,3,-674,-0.45,-0.45,,0.0,634.0,0.0,2181.0,,-1,,,1689,0.0,,-829.0,-563.0,-266.0,,,44748,2014年第2季,29.0,,-48690,-49250,0.0,-47412,-47951,,,,-46349,-2342,431774,491755,59981,59952,106301,-1.0,30,37760,,,5.0,-0.45,-0.45,,23793,0,-48690,-48691,,,-114.0,,,1.0,0.0,2510,,0.0,1685,,,,242,431774,431774,530,490058,490058,488464,1064,,-1278,-1299
2014-11-11,3,2014,,,227,10,,,0.0,0,1242,0.0,0.0,1087,941,,2115,2115,877,,141,3050,0.0,,53,1059,-0.18,-0.18,,1190.0,,,,,0,,,1193,0.0,,,338.0,-338.0,,,49998,2014年第3季,-29.0,,-20264,-19387,,-19446,-18666,0.0,,,-19205,-1059,448984,542201,93217,93246,112451,0.0,60,37450,,,5.0,-0.18,-0.18,,25003,0,-20264,-20264,,,182.0,,96.0,44.0,0.0,3050,,0.0,1408,,,,141,448984,448984,465,541723,541723,540086,1172,,-818,-721
2015-02-11,4,2014,,0.0,991,41,,,0.0,18,-8187,0.0,0.0,6646,5849,,12532,12532,1591,,742,10632,0.0,,23,2555,-1.26,-1.26,,4383.0,,,,,312,,,5339,300.0,,,1296.0,-1296.0,,,199294,2014年度,,,-141356,-139765,,-135116,-133809,12148.0,,12148.0,-127575,-13469,1812387,2129478,317091,317091,444666,312.0,234,150595,,-637.0,55.0,-1.26,-1.26,,94777,0,-141356,-141044,,,327.0,,96.0,518.0,0.0,10632,,0.0,6056,,0.0,,724,1812387,1812387,3184,2125402,2125402,2116946,5272,,-6240,-5956
2015-05-07,1,2015,,124.0,245,15,,,,3,137248,,,1021,874,,43312,43312,-486,,136,3086,,,1,-586,1.53,1.53,,0.0,1082.0,,4451.0,-486.0,48,,,389,,,,296.0,-296.0,,,45553,2015年01月01日至2015年03月31日,,48.0,162232,161746,,163520,163086,4519.0,,4519.0,27393,134887,414000,541090,127090,127090,99697,,8,32754,,,11.0,1.53,1.53,13.0,21390,17,162232,162280,,,,-100.0,142973.0,0.0,,3086,,,1489,,,,133,414000,414000,461,500200,500200,497778,1961,,-1288,-1340
2015-08-11,2,2015,,1.0,662,15,,,,7,2438,,,2156,1905,,3436,3436,-670,,219,2340,,,-16,-807,-0.39,-0.39,,0.0,1480.0,,8087.0,-670.0,3359,,,442,195.0,,,583.0,-583.0,,,55334,2015年第2季,0.0,3359.0,-42651,-43321,,-40984,-41583,0.0,,0.0,-40963,1671,511449,588177,76728,76728,117691,,0,36443,,,32.0,-0.39,-0.39,,25914,23,-42651,-39292,,,,-137.0,3919.0,0.0,,2340,,,1675,,,,212,511449,511449,602,587059,587059,584741,1716,,-1667,-1738
