date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,2464,478,1098,,,12391,,11760,-0.01,-243,,268,,-1833.0,23043.0,23043,,213159,2013年01月01日至2013年03月31日,17,-892,11499,-1762,10629,145.0,933.0,933.0,-8270,7646,2090365,2371390,281025,280765,289035,,,225.0,1357.0,-0.01,75876,-892,-624,,0.0,,16973,,2089995.0,2369100.0,870,870
2013-08-13,2,2013,,-6194,36585,1239,,-195.0,-1028,,8084,0.06,226,,12276,,-1311.0,,77159,,269142,2013年04月01日至2013年06月30日,311,17868,16840,18730,17660,,,,-67724,97868,2116454,2391644,275190,275105,342634,,-1607.0,,,0.05,73492,17868,30144,,0.0,,17115,,,,-862,-820
2013-11-11,3,2013,,-4070,38191,738,,651.0,-7494,,-3626,0.17,328,,4887,,202.0,,91674,,390138,2013年07月01日至2013年09月30日,37,56302,48808,56197,48703,,,,-53807,114996,2032975,2462785,429810,430101,484559,,0.0,,,0.16,94421,56302,61189,,0.0,,15607,,,,105,105
2014-03-26,4,2013,,-1085,62008,5290,,,-904,5290.0,20959,-0.35,-16,,13789,,-17929.0,,243874,,1157823,2013年01月01日至2013年12月31日,410,-119327,-120231,-119396,-120302,0.0,,,-349231,243693,7967825,9112164,1144339,1143913,1493144,,-2849.0,,,,335321,-119327,-105538,,0.0,,67479,7967825.0,7967825.0,,69,71
2014-05-09,1,2014,,3870,13617,1246,,0.0,18850,1246.0,-2904,0.07,410,,2060,,17884.0,,46223,,240910,2014年01月01日至2014年03月31日,1107,24056,42906,24000,42850,,,,-18805,44921,1776178,2100231,324053,323356,342161,,,,,0.07,101251,24056,26116,,0.0,,16165,1776178.0,1776178.0,,56,56
2014-08-11,2,2014,,1378,-9955,1370,,,-2273,1370.0,-2286,-0.06,1517,,120,,-1365.0,,90737,,308996,2014年第2季,1020,-21431,-23704,-21423,-23696,,,,-82742,61431,2032867,2337869,305002,305499,388241,,0.0,,,0.0,79245,-21431,-21311,,0.0,,20721,2032867.0,2032867.0,,-8,-8
2014-11-11,3,2014,,-4840,-37226,495,,0.0,-4803,495.0,3558,0.21,610,,5456,,-3521.0,,98848,,326557,2014年第3季,192,72290,67487,72256,67453,0.0,,,37568,40178,2178615,2624740,446125,446543,408975,,0.0,,,0.2,82418,72290,77746,,0.0,,21939,2178615.0,2178615.0,,34,34
2015-03-27,4,2014,,1094,-43421,6116,0.0,,143,6116.0,-407,0.2,410,,6908,,2085.0,,284392,,1105270,2014年度,182,67839,67982,67717,67860,,,,-101930,176677,7638438,9001125,1362687,1362915,1464845,,-2629.0,,,0.2,359575,67839,74747,,0.0,,70410,,7638438.0,9001125.0,122,122
2015-05-11,1,2015,,3326,-1058,902,,,-7631,902.0,-392,-0.03,182,-7631.0,472,,,,33065,-10565.0,227621,2015年01月01日至2015年03月31日,820,-9727,-17358,-9803,-17434,,,,-25419,16164,1695365,1982171,286806,286168,311587,,,,,0.0,83966,-9727,-9255,,,0.0,16745,1695365.0,1695365.0,,76,76
2015-08-12,2,2015,,7081,19286,903,,,1172,903.0,-4098,-0.04,820,1172.0,2829,,,,69599,-1811.0,265157,2015年第2季,570,-12600,-11428,-12630,-11458,,,,-67618,57847,1613110,1910399,297289,297539,365157,,,,,0.0,100000,-12600,-9771,,,0.0,31941,1613110.0,1613110.0,,30,30
2015-11-11,3,2015,,-16447,-21583,428,,,-12733,428.0,2122,0.3,570,-12733.0,4970,,,,97445,1592.0,311526,2015年第3季,533,101589,88856,101487,88754,,,,45235,61324,1866665,2320798,454133,454170,408935,,,,,0.3,97409,101589,106559,,,0.0,14966,,,,102,102
2016-03-30,4,2015,-49299.0,-1838,967,4284,,,-70077,4284.0,-4901,0.36,182,-20778.0,-19669,-24259.0,,,273815,-14039.0,1024480,2015年度,208,123951,53874,123750,53673,,,,-102703,206985,6710735,8018394,1307659,1307633,1410336,-25040.0,,,,0.36,385856,123951,104282,0.0,,0.0,72081,,6710735.0,8018394.0,201,201
2016-05-10,1,2016,,2468,47485,628,,,3082,628.0,-3213,0.16,208,3082.0,2852,,,,36115,3827.0,207304,2016年01月01日至2016年03月31日,366,53065,56147,52973,56055,,,,-14325,70242,1528612,1821955,293343,293185,307510,,,,,0.15,100206,53065,55917,,,0.0,13986,,,,92,92
