date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,天然氣銷貨收入（天然氣業）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,金融資產（負債）出售淨利益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,1077665,-3599,15162,,16519.0,16519,-2633729,341682,1.2,1.2,,,46064,,1079956,,-4053076.0,655369,,,,,,,300865,2013年01月01日至2013年03月31日,1392874,-1240855,954816,-2034941,24715,34533,24715,34533.0,34533,836309,602629,1338067,2590167,1252100,1252100,415791,,,1.17,1.17,114926,1392874,1438938,64303,,1313352.0,1313352,717,1475036.0,1475036,1459159,15160,438058,794086
2013-08-14,2,2013,,-183911,771,44683,,18793.0,18793,-6017607,558496,1.89,1.89,,,39952,,551721,,-6392192.0,1391287,,,,,,,291818,2013年04月01日至2013年06月30日,1676843,-4340764,1498444,-4738065,2346,7529,2346,7529.0,7529,346550,1370245,1327382,2063748,736366,736366,389816,,,1.82,1.82,97998,1676843,1716795,66496,551721.0,1325036.0,1325036,599,1498990.0,1498990,1485705,12686,178399,397301
2014-01-23,3,2013,,110444,-11663,91380,,,16613,-4801655,-302257,1.95,1.95,,,26726,,664907,,-4609842.0,1366657,,,,,,,302313,2013年07月01日至2013年09月30日,1804250,-2997405,1548771,-3066610,92596,136644,92596,,136644,459881,1371095,1680622,2553016,872394,872394,412513,,,1.87,1.87,110200,1804250,1830976,75279,,1588026.0,1588026,865,1750061.0,1750061,1734852,14344,255479,69205
2014-03-18,4,2013,,1066993,-351,207811,,,70753,-13850653,809392,54.85,54.85,,,138557,70467347.0,70467347,,-15715513.0,9852896,,,,,,,1216842,2013年01月01日至2013年12月31日,78952538,65101885,43587278,30214498,122383,186064,122383,,186064,69325322,9765773,5298626,76546540,71247914,71247914,1922592,,-11525.0,50.51,50.51,705750,78952538,79091095,294583,,5176243.0,5176243,2937,5888178.0,5888178,5822376,62865,35365260,34887387
2014-05-15,1,2014,,288220,-22486,24499,,13678.0,13678,3909495,2094301,1.15,1.15,,,54059,,1251998,,1526974.0,627360,,,,,,,304748,2014年01月01日至2014年03月31日,1555750,5465245,1021382,3879851,2287,7128,2287,7128.0,7128,1042214,567595,1254962,2703303,1448341,1448341,406127,,,1.11,1.11,101379,1555750,1609809,61778,,1252675.0,1252675,1617,1445771.0,1445771,1430499,13655,534368,1585394
2014-08-14,2,2014,,888777,264581,25135,,20479.0,20479,1305689,-2115234,-0.95,-0.95,,,2215361,,553009,,2532146.0,961606,,,,,,,295955,2014年第2季,-667071,638618,-846722,1506296,2249,7113,2249,7113.0,7113,360711,1187579,1322069,2063799,741730,741730,381019,,,-0.95,-0.95,85064,-667071,1548290,63743,553009.0,1319820.0,1319820,2553,1498379.0,1498379,1483198,12628,179651,-867678
2014-11-14,3,2014,,-110831,348490,307009,,15823.0,15823,-5035680,1749627,3.53,3.53,,,6425,768251.0,768251,,-6674476.0,2394137,,,,,,,305082,2014年第3季,3487056,-1548624,3138079,-2847648,2200,7131,2200,7131.0,7131,505861,2987620,1359137,2287799,928662,928662,422801,,,3.36,3.36,117719,3487056,3493481,62016,,1356937.0,1356937,1620,1512627.0,1512627,1496594,14413,348977,1299024
2015-03-25,4,2014,,1063333,557664,388914,,,71120,8076762,5726857,8.0,8.0,,,94354,3190374.0,3190374,,1302822.0,5486991,,,,,,,1222986,2014年度,8415632,16492394,7113076,12077828,9268,28602,9268,,28602,2332677,6177309,5054891,9044771,3989880,3989880,1657203,,-16250.0,7.65,7.65,434217,8415632,8509986,256260,,5045623.0,5045623,7239,5817179.0,5817179,5754675,55265,1302556,4414566
2015-05-13,1,2015,65.0,131804,-431691,29429,,,22686,1577856,-366205,1.6,1.6,,1577791.0,44019,,1174676,65.0,,1302546,1812192.0,,,,,,300842,2015年第1季,1675475,3253331,1424730,3038184,2291,7334,2291,7334.0,7334,885000,834494,1424211,2704131,1279920,1279920,394920,,,1.54,1.54,94078,1675475,1719494,65790,,1421920.0,1421920,2362,,1522691,1499435,20894,250745,215147
2015-08-13,2,2015,0.0,-267763,93387,46913,,22154.0,22154,-4236382,-269370,1.9,1.9,,-4236382.0,60729,,450047,0.0,,1569858,-3699249.0,0.0,0.0,0.0,0.0,0.0,287972,2015年第2季,1832238,-2404144,1685405,-2503969,9272,7254,9272,7254.0,7254,250222,1642745,1227114,1854931,627817,627817,377595,,,1.82,1.82,89623,1832238,1892967,67413,450047.0,1217842.0,1217842,1069,1389886.0,1389886,1375476,13341,146833,99825
